label,count,avg_gap_pct,avg_next_day_oc,avg_fwd_3d,win_rate_1d,win_rate_3d,median_next_day_oc,median_fwd_3d,best_next_day,worst_next_day
CLEARED,5,12.68,0.71,3.61,60.0,80.0,0.87,4.09,4.57,-2.15
NOT CLEARED,7,1.75,-4.57,-8.2,0.0,0.0,-2.81,-6.77,-0.4,-10.93
