ticker,date,gap_pct,open_price,round_level,level_broken,break_bar_idx,break_bar_cs,break_candle_color,break_price,break_time,fwd_15m,fwd_30m,fwd_1hr,fwd_2hr,fwd_eod,max_adverse_excursion,max_favorable_excursion
AA,2024-01-23 05:00:00+00:00,0.055585732391816,29.15,30.0,True,1.0,0.974544833706934,GRAY,30.33,2024-01-23 14:35:00+00:00,-0.017144741180349476,-0.007583250906692941,-0.021101219914276197,-0.030003297065611494,-0.026706231454005892,-0.033959775799538336,0.0029673590504452163
AA,2024-09-16 04:00:00+00:00,0.0561193111931117,34.345,35.0,True,4.0,0.557261729291998,GRAY,35.08,2024-09-16 13:50:00+00:00,0.011402508551881374,-0.0014253135689850957,-0.0038483466362599205,-0.005701254275940586,-0.016533637400228004,-0.018956670467502826,0.01453819840364895
AA,2024-09-24 04:00:00+00:00,0.0691217302352767,36.58,40.0,False,,,,,,,,,,,,
AA,2024-09-26 04:00:00+00:00,0.0633157456262149,38.29,40.0,False,,,,,,,,,,,,
AA,2024-11-15 05:00:00+00:00,0.0683967984477322,44.05,45.0,True,37.0,1.2874933781011928,GRAY,45.04,2024-11-15 17:35:00+00:00,-0.008325932504440497,-0.004662522202486697,-0.004440497335701504,-0.016207815275310764,-0.02242451154529303,-0.024755772646536455,0.002442273534635867
AA,2025-05-12 04:00:00+00:00,0.0613662678502508,27.5,30.0,False,,,,,,,,,,,,
AA,2025-10-23 04:00:00+00:00,0.0567863151991028,37.685,40.0,True,4.0,1.4332515715052327,GRAY,40.54,2025-10-23 13:50:00+00:00,-0.008510113468179549,-0.020966946225949714,0.006660088801184093,0.014800197335964514,-0.010360138135175178,-0.02442032560434144,0.024913665515540157
AAL,2024-11-06 05:00:00+00:00,0.0602044680045437,14.0,15.0,False,,,,,,,,,,,,
AAL,2024-12-05 05:00:00+00:00,0.0745967741935483,15.99,20.0,False,,,,,,,,,,,,
AAL,2025-04-23 04:00:00+00:00,0.0569892473118278,9.83,10.0,False,,,,,,,,,,,,
AAL,2025-05-12 04:00:00+00:00,0.0765765765765765,11.95,15.0,False,,,,,,,,,,,,
AAL,2025-07-10 04:00:00+00:00,0.0728621291448515,12.295,15.0,False,,,,,,,,,,,,
AAL,2025-10-09 04:00:00+00:00,0.0538135593220338,12.435,15.0,False,,,,,,,,,,,,
AAL,2025-10-23 04:00:00+00:00,0.0559237779618888,12.745,15.0,False,,,,,,,,,,,,
AAPL,2024-05-03 04:00:00+00:00,0.0780916074626004,186.65,190.0,False,,,,,,,,,,,,
AAPL,2025-04-14 04:00:00+00:00,0.0670704012112036,211.44,215.0,False,,,,,,,,,,,,
