Symbol
AA
AAL
AAPL
ABBV
ABNB
ACHR
AEO
AFRM
AI
AIQ
AIS
ALAB
AMD
AMZN
ANF
APLD
APP
ARKK
ARKQ
ARKX
ARM
ASML
ASTS
AVGO
BA
BABA
BAC
BE
BIDU
BLSH
BROS
BRZU
BULL
CASY
CAT
CCL
CDE
CELH
CIFR
CL
CLF
CLOU
CLSK
COIN
COP
COST
CPNG
CRCL
CRDO
CRWD
CRWV
CSCO
CVNA
CVS
CVX
DAL
DASH
DELL
DHI
DIA
DIS
DJT
DKNG
DLTR
DOCU
DTCR
DVN
EBAY
EDC
ENPH
EOG
EOSE
ETHU
ETOR
ETSY
EURL
EZJ
EZU
FAZ
FCG
FIG
FSLY
FTXH
FUBO
GE
GEMI
GILD
GLD
GM
GME
GOLD
GOOGL
GS
HAL
HD
HIMS
HON
HOOD
IBB
IBKR
IBOT
ICLN
IGV
IHE
INDL
INTC
IONQ
IPO
IREN
ITA
ITB
IWC
IWM
JD
JETS
JNJ
JPM
KORU
KRE
KTOS
KWEB
LEN
LI
LLY
LULU
LUNR
LYFT
M
MAGS
MARA
MEME
META
MEXX
MMM
MP
MRK
MRNA
MRVL
MS
MSFT
MU
NCLH
NET
NFLX
NIO
NKE
NLR
NNE
NRG
NVDA
NVO
OIH
OKLO
OPEN
ORCL
OSCR
OXY
PALL
PANW
PATH
PBW
PDD
PENN
PEP
PG
PL
PLTR
PLUG
PPH
PSX
QBTS
QCOM
QQQ
QTUM
QUBT
RBLX
RCAT
RDDT
RGTI
RILY
RIOT
RIVN
RKLB
RKT
ROKU
RR
RTX
RUM
RUN
SCHW
SERV
SHOP
SLB
SLV
SMCI
SMH
SMR
SNAP
SNDK
SNOW
SOFI
SOUN
SOXS
SOXX
SPX
SPY
SQQQ
TAN
TEM
TGT
TIGR
TSLA
TSM
U
UAL
UBER
UFO
UNH
UPST
VLO
VRT
VST
WMT
XBI
XHB
XLE
XLF
XLI
XLK
XLP
XLV
XOM
XOP
XPEV
YANG
Z
ZETA
ZM
ZS
