ticker,date,gap_pct,candle_color,entry_price,eod_close,eod_return,atr,price_below_entry_after_ft,a1_pullback_before_high,a2_deepest_pullback_pct,a3_pullback_bar_idx,a3_pullback_minutes,a4_recovered_above_ft_high,b1_drawdown_from_session_high,b2_multiple_hod_attempts,hod_minutes_from_open,session_high_price,e1_entry,e1_mae,e1_mfe,e1_eod_return,e2_found,e2_entry,e2_mae,e2_mfe,e2_eod_return,e2_price_improvement,e2_cheaper,e3_found,e3_entry,e3_mae,e3_mfe,e3_eod_return,e3_price_improvement,e3_cheaper,full_mfe_pct,hold_return_930,hold_return_1000,hold_return_1030,hold_return_1100,hold_return_1130,hold_return_1200,hold_mfe_pct_930,hold_mfe_pct_1000,hold_mfe_pct_1030,hold_mfe_pct_1100,hold_mfe_pct_1130,hold_mfe_pct_1200
AA,2024-03-07,0.0239276852180078,BULLISH,29.37,29.87,0.017024174327545112,1.1810714285714283,True,True,-0.010554988083078047,1,10.0,True,-0.009302325581395387,False,355.0,30.1,29.37,-0.01668369084099428,0.02485529451821588,0.017024174327545112,True,29.27,-0.0034164673727365177,0.028356679193713763,0.02049880423641959,0.003404834865509071,True,True,29.12,-0.0020604395604396386,0.033653846153846166,0.025755494505494504,0.008512087163772556,True,0.02485529451821588,0.0023833844058563257,0.017705141300646904,0.004766768811712651,0.0057882192713652756,0.006809669731018021,0.008852570650323391,9.589041095890446,71.23287671232868,19.17808219178089,23.287671232876445,27.397260273972492,35.616438356164096
AAL,2024-01-25,0.0470039468963042,BULLISH,14.92,15.37,0.03016085790884714,0.658571428571429,True,True,-0.008042895442359197,16,85.0,True,-0.015852474927207972,True,215.0,15.455,14.92,-0.024798927613940966,0.035857908847185,0.03016085790884714,True,14.95,-0.010033444816053417,0.033779264214046874,0.02809364548494983,-0.0020107238605897694,False,True,14.815,-0.0010124873439081197,0.04319946000674996,0.037462031724603426,0.007037533512064372,True,0.035857908847185,0.015750670241286825,-0.0006702412868632565,0.014745308310992,0.01876675603217154,0.015415549597855257,0.03451742627345848,43.925233644859695,-1.8691588785046325,41.12149532710291,52.3364485981307,42.99065420560755,96.26168224299073
AAL,2024-09-26,0.0336669699727023,BULLISH,11.67,11.8,0.011139674378748996,0.4207142857142855,True,True,-0.004284490145672726,0,5.0,True,-0.03005008347245419,False,75.0,11.98,11.67,-0.02742073693230508,0.026563838903170565,0.011139674378748996,True,11.805,-0.015671325709445193,0.014824227022448176,-0.0004235493434984333,-0.011568123393316178,False,True,11.725,-0.008955223880597052,0.021748400852878533,0.006396588486140816,-0.0047129391602399075,False,0.026563838903170565,0.011568123393316178,0.011139674378748996,0.005998286203941755,0.0047129391602399075,0.005569837189374422,-0.0012853470437018482,43.54838709677406,41.93548387096793,22.580645161290377,17.74193548387085,20.967741935483676,-4.83870967741953
AAL,2024-10-04,0.0493542435424354,BULLISH,11.96,11.52,-0.036789297658862984,0.4317857142857143,True,True,-0.019230769230769267,0,5.0,False,-0.05599665691600501,False,5.0,11.965,11.96,-0.055602006688963285,0.0004180602006688131,-0.036789297658862984,True,11.83,-0.045224006762468315,0.0016906170752324238,-0.02620456466610317,0.010869565217391368,True,False,,,,,,False,0.0004180602006688131,-0.036789297658862984,-0.03553511705685625,-0.0493311036789299,-0.04389632107023414,-0.048913043478260934,-0.05434782608695655,-8800.000000001777,-8500.000000001706,-11800.000000002381,-10500.000000002095,-11700.000000002345,-13000.000000002596
AAL,2024-10-15,0.0235888795282225,BULLISH,12.38,12.04,-0.027463651050080907,0.4710714285714288,True,False,0.0,0,0.0,True,-0.03728949478748996,False,15.0,12.47,12.38,-0.030290791599353793,0.007269789983844899,-0.027463651050080907,True,12.355,-0.028328611898016966,0.006070416835289299,-0.0254957507082154,0.002019386106623615,True,False,,,,,,False,0.007269789983844899,-0.008885298869143876,0.0016155088852988345,-0.0012116316639741978,-0.011308562197092129,-0.012116316639741546,-0.020193861066235864,-122.22222222222373,22.22222222222178,-16.666666666667325,-155.55555555555642,-166.6666666666673,-277.7777777777783
AAL,2025-06-24,0.0279816513761467,BULLISH,11.39,11.38,-0.0008779631255487082,0.449642857142857,True,True,-0.01053555750658481,3,20.0,True,-0.007856831078131808,False,285.0,11.455,11.39,-0.01053555750658481,0.0057067603160666815,-0.0008779631255487082,True,11.315,-0.003977021652673436,0.012372956252761871,0.00574458683163953,0.006584723441615545,True,True,11.28,0.0,0.015514184397163185,0.008865248226950482,0.009657594381036102,True,0.0057067603160666815,-0.003950834064969265,-0.008779631255487395,-0.0074626865671642536,-0.003511852502194989,-0.005267778753292405,0.0017559262510974164,-69.23076923076964,-153.84615384615722,-130.76923076923308,-61.53846153846343,-92.30769230769377,30.769230769230347
AAL,2026-02-26,0.0214044310927525,BULLISH,13.88,14.01,0.009365994236311168,0.6674999999999999,True,True,-0.009005763688760807,10,55.0,True,-0.036460176991150485,False,90.0,14.125,13.88,-0.020172910662824287,0.017651296829971123,0.009365994236311168,True,13.905,-0.02121539014742898,0.0158216468896081,0.00755124056094933,-0.001801152737752059,False,True,13.76,-0.0109011627906977,0.02652616279069769,0.018168604651162792,0.008645533141210446,True,0.017651296829971123,-0.002881844380403525,0.014409221902017239,0.012247838616714692,-0.0014409221902018264,-0.008285302593659958,-0.013688760806916517,-16.326530612245328,81.63265306122446,69.38775510204101,-8.163265306123026,-46.93877551020432,-77.55102040816404
AAPL,2024-04-29,0.0248832673325847,BULLISH,175.3,173.48,-0.010382201939532354,3.608928571428572,True,True,-0.0013690815744438623,0,5.0,True,-0.016389251832074025,False,15.0,176.03,175.3,-0.012293211637193388,0.004164289788933199,-0.010382201939532354,True,175.63,-0.014149063371861215,0.001964356886636673,-0.01224164436599673,-0.0018824871648601487,False,True,175.48,-0.013306359699110894,0.0031342603145658276,-0.011397310234784592,-0.0010268111808327347,False,0.004164289788933199,-0.00199657729606402,-0.001711351968054828,-0.005790074158585366,-0.003650884198516912,-0.005618938961779884,-0.0035938391329151387,-47.94520547945583,-41.09589041096103,-139.0410958904149,-87.67123287671556,-134.93150684931882,-86.30136986301818
ABBV,2025-07-31,0.0321371042277324,BULLISH,197.265,189.0,-0.041897954528172694,4.317142857142857,True,False,0.0,0,0.0,False,-0.05518352550224061,False,0.0,198.61,197.265,-0.04874154056725715,0.006818239424125047,-0.041897954528172694,True,195.8,-0.04162410623084783,0.003268641470888592,-0.034729315628192085,0.007426558183154513,True,False,,,,,,False,0.006818239424125047,-0.02336957899272545,-0.021519276100676634,-0.014675690061592183,-0.012647960864826382,-0.018832534914961983,-0.012495881175068944,-342.75092936802173,-315.6133828996201,-215.2416356877266,-185.50185873605395,-276.2081784386543,-183.27137546467844
ABNB,2024-09-17,0.0239026879891119,NEUTRAL,122.08,122.13,0.00040956749672343675,2.9960714285714283,True,True,-0.003768020969855781,1,10.0,True,-0.02518245248215575,False,70.0,124.69,122.08,-0.004750982961992122,0.02137942332896461,0.00040956749672343675,True,121.86,-0.002543902839323833,0.023223371081569,0.0022156573116690957,0.0018020969855832149,True,True,121.72,-0.0013966480446927514,0.024400262898455462,0.0033683864607295154,0.0029488859764089078,True,0.02137942332896461,0.018676277850589788,0.006061598951507167,0.0010648754914809589,0.00491480996068159,0.0037680209698558974,-0.0006553079947575221,87.35632183908052,28.35249042145575,4.980842911877222,22.988505747126766,17.624521072797243,-3.065134099616793
