ticker,date,gap_pct,open_price,atr,candle_color,orig_entry_price,orig_entry_time,orig_eod_return,orig_mae_pct,orig_mfe_pct,orig_rr,fpb_occurred,fpb_bar_idx,fpb_entry_price,fpb_entry_time,fpb_eod_return,fpb_mae_pct,fpb_mfe_pct,fpb_rr,price_improvement,bars_until_fpb,fpb_time_minutes
AA,2024-03-07 05:00:00+00:00,0.0239276852180078,28.885,1.1810714285714283,BULLISH,29.37,2024-03-07 09:30:00-05:00,0.0170241743275451,-0.0166836908409942,0.0248552945182158,1.4897959183673442,True,4.0,29.33,2024-03-07 09:50:00-05:00,0.018411183088987478,-0.00545516535969985,0.026252983293556194,4.812500000000122,0.001361933946203701,4.0,20.0
AAL,2024-01-25 05:00:00+00:00,0.0470039468963042,14.59,0.658571428571429,BULLISH,14.92,2024-01-25 09:30:00-05:00,0.0301608579088471,-0.0247989276139409,0.035857908847185,1.4459459459459534,True,4.0,15.02,2024-01-25 09:50:00-05:00,0.023302263648468685,-0.01464713715046597,0.028961384820239713,1.9772727272727395,-0.006702412868632684,4.0,20.0
AAL,2024-09-26 04:00:00+00:00,0.0336669699727023,11.36,0.4207142857142855,BULLISH,11.67,2024-09-26 09:30:00-04:00,0.0111396743787489,-0.027420736932305,0.0265638389031705,0.9687500000000011,True,4.0,11.805,2024-09-26 09:50:00-04:00,-0.0004235493434984333,-0.015671325709445193,0.014824227022448176,0.9459459459459472,-0.011568123393316178,4.0,20.0
AAL,2024-10-04 04:00:00+00:00,0.0493542435424354,11.375,0.4317857142857143,BULLISH,11.96,2024-10-04 09:30:00-04:00,-0.0367892976588629,-0.0556020066889632,0.0004180602006688,0.007518796992479471,True,4.0,11.755,2024-10-04 09:50:00-04:00,-0.01999149298171001,-0.03913228413441096,0.0046788600595491035,0.1195652173913035,0.017140468227424755,4.0,20.0
AAL,2024-10-15 04:00:00+00:00,0.0235888795282225,12.15,0.4710714285714288,BULLISH,12.38,2024-10-15 09:40:00-04:00,-0.0274636510500809,-0.0302907915993537,0.0072697899838448,0.2399999999999971,True,5.0,12.28,2024-10-15 09:55:00-04:00,-0.019543973941368097,-0.022394136807817475,0.012214983713355079,0.5454545454545496,0.00807754442649446,3.0,25.0
AAL,2025-06-24 04:00:00+00:00,0.0279816513761467,11.205,0.449642857142857,BULLISH,11.39,2025-06-24 10:20:00-04:00,-0.0008779631255487,-0.0105355575065848,0.0057067603160666,0.5416666666666509,True,13.0,11.31,2025-06-24 10:35:00-04:00,0.006189213085764835,-0.003536693191865687,0.012820512820512782,3.624999999999906,0.007023705004389822,3.0,65.0
AAL,2026-02-26 05:00:00+00:00,0.0214044310927525,13.6,0.6674999999999999,BULLISH,13.88,2026-02-26 09:30:00-05:00,0.0093659942363111,-0.0201729106628242,0.0176512968299711,0.8749999999999962,True,4.0,13.905,2026-02-26 09:50:00-05:00,0.00755124056094933,-0.02121539014742898,0.0158216468896081,0.745762711864409,-0.001801152737752059,4.0,20.0
AAPL,2024-04-29 04:00:00+00:00,0.0248832673325847,173.4,3.608928571428572,BULLISH,175.3,2024-04-29 09:35:00-04:00,-0.0103822019395323,-0.0122932116371933,0.0041642897889331,0.33874709976797096,True,6.0,175.63,2024-04-29 10:00:00-04:00,-0.01224164436599673,-0.014149063371861215,0.001964356886636673,0.13883299798792795,-0.0018824871648601487,5.0,30.0
ABBV,2025-07-31 04:00:00+00:00,0.0321371042277324,195.43,4.317142857142857,BULLISH,197.265,2025-07-31 09:30:00-04:00,-0.0418979545281726,-0.0487415405672571,0.006818239424125,0.13988559542381923,True,4.0,193.205,2025-07-31 09:50:00-04:00,-0.02176444708987869,-0.028751843896379525,0.01674387308817052,0.582358235823579,0.020581451347172455,4.0,20.0
ABNB,2024-09-17 04:00:00+00:00,0.0239026879891119,120.37,2.9960714285714283,NEUTRAL,122.08,2024-09-17 09:45:00-04:00,0.0004095674967234,-0.0047509829619921,0.0213794233289646,4.500000000000032,True,17.0,123.11,2024-09-17 10:55:00-04:00,-0.007960360653074518,-0.012671594508975731,0.004914304280724587,0.3878205128205148,-0.008437090432503286,14.0,85.0
