date,gap_pct,gap_band,rs_z_prior,rs_class_prior,ts_zone_prior_daily,slope_state_at_open,trend_score_at_open,ts_zone_at_open,bar_of_first_rising,has_rising_in_opening,open,high,low,close,open_to_close,open_to_high,open_to_low,reversal_ratio,cond1_gap,cond2_slope,cond3_rs,is_primary_event,gap_band_variant,rs_threshold_variant,slope_variant
2023-07-05,-0.4293910770951488,Tiny,-0.7048864367031458,Weak,NEUT,1.0,-38.263178777396845,BEAR,1.0,True,363.2283427115424,366.48921845817017,363.1889279109318,364.7848815917969,0.4285290262964467,0.8977481554123689,-0.0108512458902161,0.4835797509405786,True,True,True,True,Tiny,-0.5,RISING
2023-08-01,-0.3570735026485936,Tiny,-0.8707051256949138,Weak,NEUT,-1.0,-77.46629404581128,OS,4.0,True,376.6363350175519,377.8677844219054,375.04038139985886,377.1092224121094,0.1255554365288264,0.326959799111286,-0.4237386224615533,0.731710688613833,True,True,True,True,Tiny,-0.5,RISING
2023-12-05,-0.4995809565784533,Tiny,-1.0409618955183535,Crushed,BULL,-1.0,-22.600224741782903,NEUT,4.0,True,379.2336950637311,383.2885478750258,379.0560867539073,382.09478759765625,0.7544404864774334,1.0692227151949922,-0.0468334729048589,0.7179512715632237,True,True,True,True,Tiny,-0.5,RISING
2023-12-08,-0.4507888200881627,Tiny,-1.0374933223745602,Crushed,BULL,-1.0,-84.71774686674064,OS,3.0,True,383.4562520350247,387.353247228677,383.2687983557027,386.9093017578125,0.9005068256058572,1.0162815635344855,-0.048885284390899,0.8913083540347486,True,True,True,True,Tiny,-0.5,RISING
2024-01-04,-0.4744753782972365,Tiny,-0.5387829845856955,Weak,BULL,1.0,-82.04994803757442,OS,1.0,True,392.10939718203656,395.2249813820951,391.7335433716032,391.9511413574219,-0.0403601203521308,0.7945701435490313,-0.0958543235980777,0.0623233135357887,True,True,True,True,Tiny,-0.5,RISING
2024-01-16,-0.3052155104936,Tiny,-0.7431693447196611,Weak,NEUT,-1.0,-60.0501938819101,BEAR,2.0,True,403.8497045100903,406.62900624283634,402.3858608543528,405.0464782714844,0.2963413735428815,0.6882019973538431,-0.362472384996116,0.6270389471812206,True,True,True,True,Tiny,-0.5,RISING
2024-02-20,-0.4691524759146657,Tiny,-2.305929111120738,Crushed,NEUT,1.0,-44.03118723577621,BEAR,1.0,True,423.86861355765257,425.38189900812085,418.87379058422897,422.6520690917969,-0.2870098013733263,0.3570175762170365,-1.1783894380620905,0.5805494102860188,True,True,True,True,Tiny,-0.5,RISING
2024-02-28,-0.4958828744183432,Tiny,-1.426148143502513,Crushed,NEUT,-1.0,-75.6274623921825,OS,3.0,True,430.6734841008683,431.8999592325404,429.5558230574909,430.5152282714844,-0.0367461279196931,0.2847807392258429,-0.2595147100153521,0.4092787885811313,True,True,True,True,Tiny,-0.5,RISING
2024-03-11,-0.3439393151470198,Tiny,-1.5680164538301835,Crushed,NEUT,-1.0,-49.48685022619766,BEAR,2.0,True,432.7307448633055,433.8681764747113,430.68334985224834,432.612060546875,-0.0274268278460335,0.2628497339067184,-0.4731337062042874,0.6055936235345587,True,True,True,True,Tiny,-0.5,RISING
2024-03-19,-0.4640317754446361,Tiny,-1.1901151198619755,Crushed,BEAR,-1.0,-69.76371451318167,BEAR,2.0,True,431.2627591956044,434.7588137847426,429.1631195603212,434.3527526855469,0.7164990308242577,0.8106553405304563,-0.4868585544458974,0.9274332937236756,True,True,True,True,Tiny,-0.5,RISING
2025-07-11,-0.3870893242429121,Tiny,-1.0764731959022251,Crushed,BULL,-1.0,-86.55307071004336,OS,4.0,True,551.948121861809,554.432028356728,550.7011759598594,552.845947265625,0.1626648172635305,0.4500253550171293,-0.2259172289133773,0.5748743390560784,True,True,True,True,Tiny,-0.5,RISING
2025-11-17,-0.4204537514768969,Tiny,-0.8886653558563423,Weak,OS,-1.0,-21.1965954655001,NEUT,2.0,True,605.5198574697043,611.6918983068232,599.098138309288,602.8832397460938,-0.4354304307423147,1.019296190039095,-1.0605299035527802,0.3005537216483873,True,True,True,True,Tiny,-0.5,RISING
2025-12-16,-0.373439608637112,Tiny,-1.2901148122382655,Crushed,BEAR,-1.0,-37.5108202474,BEAR,2.0,True,607.4773301066649,612.7205746597449,606.1290306476157,610.9628295898438,0.57376618195231,0.8631177318434822,-0.2219505802484044,0.7333333333333311,True,True,True,True,Tiny,-0.5,RISING
2026-02-09,-0.3461078163240829,Tiny,-1.526929707588866,Crushed,BEAR,-1.0,-93.89360603068695,OS,2.0,True,607.5399780273438,616.4600219726562,605.0700073242188,614.3200073242188,1.1159807653957958,1.4682233709583197,-0.4065527854059726,0.8121148466888872,True,True,True,True,Tiny,-0.5,RISING
2023-08-01,-0.3570735026485936,Tiny,-0.8707051256949138,Weak,NEUT,-1.0,-77.46629404581128,OS,4.0,True,376.6363350175519,377.8677844219054,375.04038139985886,377.1092224121094,0.1255554365288264,0.326959799111286,-0.4237386224615533,0.731710688613833,True,True,True,True,Tiny,-0.5,DROPPING
2023-12-05,-0.4995809565784533,Tiny,-1.0409618955183535,Crushed,BULL,-1.0,-22.600224741782903,NEUT,4.0,True,379.2336950637311,383.2885478750258,379.0560867539073,382.09478759765625,0.7544404864774334,1.0692227151949922,-0.0468334729048589,0.7179512715632237,True,True,True,True,Tiny,-0.5,DROPPING
2023-12-08,-0.4507888200881627,Tiny,-1.0374933223745602,Crushed,BULL,-1.0,-84.71774686674064,OS,3.0,True,383.4562520350247,387.353247228677,383.2687983557027,386.9093017578125,0.9005068256058572,1.0162815635344855,-0.048885284390899,0.8913083540347486,True,True,True,True,Tiny,-0.5,DROPPING
2024-01-16,-0.3052155104936,Tiny,-0.7431693447196611,Weak,NEUT,-1.0,-60.0501938819101,BEAR,2.0,True,403.8497045100903,406.62900624283634,402.3858608543528,405.0464782714844,0.2963413735428815,0.6882019973538431,-0.362472384996116,0.6270389471812206,True,True,True,True,Tiny,-0.5,DROPPING
2024-02-28,-0.4958828744183432,Tiny,-1.426148143502513,Crushed,NEUT,-1.0,-75.6274623921825,OS,3.0,True,430.6734841008683,431.8999592325404,429.5558230574909,430.5152282714844,-0.0367461279196931,0.2847807392258429,-0.2595147100153521,0.4092787885811313,True,True,True,True,Tiny,-0.5,DROPPING
2024-03-11,-0.3439393151470198,Tiny,-1.5680164538301835,Crushed,NEUT,-1.0,-49.48685022619766,BEAR,2.0,True,432.7307448633055,433.8681764747113,430.68334985224834,432.612060546875,-0.0274268278460335,0.2628497339067184,-0.4731337062042874,0.6055936235345587,True,True,True,True,Tiny,-0.5,DROPPING
2024-03-19,-0.4640317754446361,Tiny,-1.1901151198619755,Crushed,BEAR,-1.0,-69.76371451318167,BEAR,2.0,True,431.2627591956044,434.7588137847426,429.1631195603212,434.3527526855469,0.7164990308242577,0.8106553405304563,-0.4868585544458974,0.9274332937236756,True,True,True,True,Tiny,-0.5,DROPPING
2024-04-03,-0.4874057530869097,Tiny,-1.5057879288787903,Crushed,BEAR,-1.0,-11.44295610352678,NEUT,,False,434.7389953416227,439.7305396599772,434.7291120530437,437.8488159179688,0.7153304878717844,1.148170367011151,-0.0022733844179792,0.6237626754009709,True,True,True,True,Tiny,-0.5,DROPPING
2025-01-23,-0.4647148664268408,Tiny,-0.7757737167272815,Weak,NEUT,-1.0,-82.79037499438816,OS,,False,526.3704605822451,530.0717211689421,525.7834717090722,529.9523315429688,0.6804847971068869,0.703166469980639,-0.1115163021351189,0.9721588897542942,True,True,True,True,Tiny,-0.5,DROPPING
2025-03-27,-0.4067004836524387,Tiny,-0.581505713251302,Weak,BEAR,-1.0,-5.369767233014652,NEUT,,False,480.691552269481,484.8466807759458,478.53924301933046,479.90435791015625,-0.163762886118591,0.8644063925915179,-0.4477526680027743,0.2164293875740651,True,True,True,True,Tiny,-0.5,DROPPING
2025-04-01,-0.3454786216235725,Tiny,-0.5167604832041044,Weak,BEAR,-1.0,19.29786934982801,NEUT,,False,465.6353253704141,471.94279304476703,462.7656103358645,471.01611328125,1.1555798320403396,1.354593891547069,-0.6163009716384211,0.8990235028645466,True,True,True,True,Tiny,-0.5,DROPPING
2025-07-07,-0.4854075936870096,Tiny,-0.9639977500454512,Weak,BULL,-1.0,-88.55025221501482,OS,,False,552.1676854094138,552.9856893302406,548.2373089969742,550.6813354492188,-0.2691845248229244,0.1481441131818918,-0.7118084807019034,0.5147073908806541,True,True,True,True,Tiny,-0.5,DROPPING
2025-07-11,-0.3870893242429121,Tiny,-1.0764731959022251,Crushed,BULL,-1.0,-86.55307071004336,OS,4.0,True,551.948121861809,554.432028356728,550.7011759598594,552.845947265625,0.1626648172635305,0.4500253550171293,-0.2259172289133773,0.5748743390560784,True,True,True,True,Tiny,-0.5,DROPPING
2025-08-29,-0.4193644158109196,Tiny,-1.3782322282216155,Crushed,NEUT,-1.0,-100.0,OS,,False,573.2559494077193,573.6251014295405,567.1509068169219,569.0064086914062,-0.7412990167312908,0.0643956721604989,-1.0649767520258775,0.2865996445129879,True,True,True,True,Tiny,-0.5,DROPPING
2025-11-17,-0.4204537514768969,Tiny,-0.8886653558563423,Weak,OS,-1.0,-21.1965954655001,NEUT,2.0,True,605.5198574697043,611.6918983068232,599.098138309288,602.8832397460938,-0.4354304307423147,1.019296190039095,-1.0605299035527802,0.3005537216483873,True,True,True,True,Tiny,-0.5,DROPPING
2025-12-03,-0.382637001180663,Tiny,-1.5050552276849984,Crushed,BEAR,-1.0,-88.01312191062435,OS,,False,618.8227062993094,623.4167629201941,617.2347863490129,622.7177124023438,0.6294219755327511,0.7423865630849403,-0.2566033751076469,0.8869211958665277,True,True,True,True,Tiny,-0.5,DROPPING
2025-12-16,-0.373439608637112,Tiny,-1.2901148122382655,Crushed,BEAR,-1.0,-37.5108202474,BEAR,2.0,True,607.4773301066649,612.7205746597449,606.1290306476157,610.9628295898438,0.57376618195231,0.8631177318434822,-0.2219505802484044,0.7333333333333311,True,True,True,True,Tiny,-0.5,DROPPING
2026-02-09,-0.3461078163240829,Tiny,-1.526929707588866,Crushed,BEAR,-1.0,-93.89360603068695,OS,2.0,True,607.5399780273438,616.4600219726562,605.0700073242188,614.3200073242188,1.1159807653957958,1.4682233709583197,-0.4065527854059726,0.8121148466888872,True,True,True,True,Tiny,-0.5,DROPPING
2023-12-05,-0.4995809565784533,Tiny,-1.0409618955183535,Crushed,BULL,-1.0,-22.600224741782903,NEUT,4.0,True,379.2336950637311,383.2885478750258,379.0560867539073,382.09478759765625,0.7544404864774334,1.0692227151949922,-0.0468334729048589,0.7179512715632237,True,True,True,True,Tiny,-1.0,RISING
2023-12-08,-0.4507888200881627,Tiny,-1.0374933223745602,Crushed,BULL,-1.0,-84.71774686674064,OS,3.0,True,383.4562520350247,387.353247228677,383.2687983557027,386.9093017578125,0.9005068256058572,1.0162815635344855,-0.048885284390899,0.8913083540347486,True,True,True,True,Tiny,-1.0,RISING
