Date,Close,High,Low,Open,Volume,atr,raw_pc,raw_ema_slope,raw_ma_dist,norm_pc,norm_ema,norm_ma,consensus,trend_score,signal_line,slope,slope_state,momentum,acceleration,ts_zone,warmup,ticker_close,bench_close,rs_raw,rs_z,rs_class
2023-01-03,259.7959289550781,265.3654934443189,257.48754271282064,263.8920592442093,42335300,7.877950731498231,,,,,,,,,,,,,,,True,259.7959289550781,366.069091796875,,,
2023-01-04,261.0335693359375,262.7133057533719,257.8804288307471,261.91765375652096,47754900,7.471940890315106,,,,,,,,,,,,,,,True,261.0335693359375,368.8952331542969,,,
2023-01-05,256.9472961425781,259.5307225443291,256.6329862583549,259.3637501022572,45396700,7.062426515284107,,,,,,,,,,,,,,,True,256.9472961425781,364.6848754882813,,,
2023-01-06,264.03936767578125,265.1591919339073,255.7292080932525,258.6859086561472,54659700,7.378100825333535,,,,,,,,,,,,,,,True,264.03936767578125,373.0478515625,,,
2023-01-09,265.74859619140625,270.41447107881527,265.1395815287533,266.03343854839227,45568700,7.244367835693599,,,,,,,,,,,,,,,True,265.74859619140625,372.83636474609375,,,
2023-01-10,267.9980773925781,268.10614484433734,264.2064536565697,264.7172334930537,35247800,6.798410949303472,,0.0404578577515375,,,,,,,,,,,,,True,267.9980773925781,375.450927734375,,,
2023-01-11,272.6344299316406,272.74249736124165,268.28289478164135,269.06874434252666,44077000,6.5245454852181455,,0.0692138328840591,,,,,,,,,,,,,True,272.6344299316406,380.1996765136719,,,
2023-01-12,274.1078186035156,275.13924036014834,268.89186479148395,273.19429674425373,60600000,6.48758949634431,,0.1100105165651883,,,,,,,,,,,,,True,274.1078186035156,381.58392333984375,,,
2023-01-13,275.9938659667969,276.2394383275184,271.2690561446822,271.60303095801214,44802900,6.285295187876563,,0.1357514449671815,,,,,,,,,,,,,True,275.9938659667969,383.0642395019531,,,
2023-01-17,276.5537414550781,277.84053805638007,274.6284328189318,275.7973594990596,36269700,5.875536527819457,,0.1587324770212299,,,,,,,,,,,,,True,276.5537414550781,382.3624572753906,,,
2023-01-18,272.95855712890625,279.6479449041405,272.7522847682458,278.0959110135961,47754500,6.01155300889616,,0.161112762602257,,,,,,,,,,,,,True,272.95855712890625,376.3258056640625,,,
2023-01-19,270.2769470214844,272.4674633746698,269.0392826492269,271.3280039696785,44150400,5.73258253833392,,0.1420777697589553,,,,,,,,,,,,,True,270.2769470214844,373.586181640625,,,
2023-01-20,277.673583984375,278.00755881149314,270.8270250857129,271.88791451500214,60613600,5.998986438557233,,0.1423832800407589,,,,,,,,,,,,,True,277.673583984375,380.5457763671875,,,
2023-01-23,283.8422546386719,285.0701160339872,277.7226126297545,278.51826441575207,52799900,6.185325853364559,,0.1534504741273297,,,,,,,,,,,,,True,283.8422546386719,385.1117248535156,,,
