ticker,signal_time,signal_bar_bucket,entry_price,cs_score,group,ticker_quality,return_6bar,win_raw_6bar,win_thr_6bar,return_12bar,win_raw_12bar,win_thr_12bar,return_24bar,win_raw_24bar,win_thr_24bar,return_eod,win_raw_eod,win_thr_eod,mfe_session,mae_session
NVDA,2024-11-07T09:30:00-05:00,FIRST_BAR,147.1,-59.1553,B,HIGH,-0.007545887151597646,0,0,-0.005948334466349422,0,0,-0.006356220258327684,0,0,-0.011420802175390937,0,0,0.0022093813732154224,0.012372535690006752
NVDA,2024-11-07T09:35:00-05:00,EARLY_OPEN,147.325,-43.6749,D,HIGH,-0.007500424232139951,0,0,-0.0041405056847107664,0,0,-0.0037332428304769146,0,0,-0.009876124215170626,0,0,0.0017987442728660198,0.010826404208382821
NVDA,2024-11-07T09:40:00-05:00,EARLY_OPEN,147.44,-21.2513,D,HIGH,-0.00708762886597949,0,0,-0.005222463374932245,0,0,-0.0040694519804665924,0,0,-0.009088442756375497,0,0,0.002577319587628835,0.010037981551817619
NVDA,2024-11-07T09:45:00-05:00,OPEN_WINDOW,147.21,-12.1614,D,HIGH,-0.009714013993614417,0,0,-0.0076761089599890996,0,0,-0.007234562869370272,0,0,-0.01066503634263972,0,0,0.0007472318456627514,0.011616058691664828
NVDA,2024-11-07T09:50:00-05:00,OPEN_WINDOW,147.6,13.4439,D,HIGH,-0.005995934959349724,0,0,-0.002134146341463399,0,0,-0.004200542005420085,0,0,-0.007994579945799505,0,0,0.0020325203252031365,0.008943089430894263
NVDA,2024-11-07T09:55:00-05:00,OPEN_WINDOW,148.16,32.983,D,HIGH,0.00026997840172780807,1,0,0.001214902807775424,1,1,-0.0004724622030237121,0,0,-0.004184665226781888,0,0,0.005804535637148929,0.005129589632829313
NVDA,2024-11-08T09:30:00-05:00,FIRST_BAR,149.12,26.5861,D,HIGH,0.011266094420600904,1,1,0.011769045064377651,1,1,0.011701984978540803,1,1,0.010394313304721106,1,1,0.019112124463519276,0.004224785407725291
NVDA,2024-11-08T09:35:00-05:00,EARLY_OPEN,149.54,43.335,D,HIGH,0.015982345860639204,1,1,0.016851678480673947,1,1,0.01501270563060054,1,1,0.013173732780526942,1,1,0.02186705898087456,0.0008024608800321289
NVDA,2024-11-08T09:40:00-05:00,EARLY_OPEN,147.98,-34.7712,D,HIGH,0.00993377483443708,1,1,0.006284633058521276,1,1,0.004595215569671431,1,1,0.0027706446817137224,1,1,0.0115556156237328,0.004933099067441669
NVDA,2024-11-08T09:45:00-05:00,OPEN_WINDOW,148.125,-46.582,D,HIGH,0.004827004219409306,1,1,0.005805907172995873,1,1,0.0032742616033756195,1,1,0.0037468354430380208,1,1,0.012523206751054783,0.003949367088607649
NVDA,2024-11-08T09:50:00-05:00,OPEN_WINDOW,148.45,-57.5797,B,HIGH,0.009397103401818672,1,1,0.0071404513304142965,1,1,0.004715392388009354,1,1,0.005927921859211826,1,1,0.014685079151229226,0.0016840687100033683
NVDA,2024-11-08T09:55:00-05:00,OPEN_WINDOW,148.4,-67.6836,B,HIGH,0.00859164420485179,1,1,0.007479784366576911,1,1,0.004649595687331521,1,1,0.005592991913746715,1,1,0.01435309973045819,0.0020215633423179445
NVDA,2024-11-11T09:30:00-05:00,FIRST_BAR,147.43,-18.8054,D,HIGH,0.025028827240046108,1,1,0.012650071220240176,1,1,0.014040561622464852,1,1,0.014549277623278912,1,1,0.026046259241674037,0.0019670352031472024
NVDA,2024-11-11T09:35:00-05:00,EARLY_OPEN,146.63,-58.5411,B,HIGH,0.011934801882288754,1,1,0.0034440428288890095,1,1,0.008627156789197206,1,1,0.009172747732387635,1,1,0.020732455841232983,0.0036145399986360306
NVDA,2024-11-11T09:40:00-05:00,EARLY_OPEN,145.2,-100.0,A,HIGH,0.0005509641873277141,1,0,-0.003960055096418851,0,0,-0.0012396694214876504,0,0,-0.0005853994490358675,0,0,0.011088154269972351,0.008746556473829272
NVDA,2024-11-11T09:45:00-05:00,OPEN_WINDOW,145.64,-100.0,A,HIGH,0.0050810216973357645,1,1,-0.0022658610271904184,0,0,0.001029936830540904,1,1,0.0024375171656137724,1,1,0.014075803350727707,0.005698983795660619
NVDA,2024-11-11T09:50:00-05:00,OPEN_WINDOW,145.08,-100.0,A,HIGH,0.0005514199062587021,1,0,-0.007409704990350072,0,0,-0.0016542597187757144,0,0,-0.0014130135097875935,0,0,0.010270195754066784,0.009580920871243357
NVDA,2024-11-11T09:55:00-05:00,OPEN_WINDOW,143.99,-100.0,A,HIGH,-0.0069449267310229875,0,0,-0.01548718661018119,0,0,-0.00944510035419116,0,0,-0.008993680116674682,0,0,0.0027779706924092344,0.017223418292936936
NVDA,2024-11-12T09:30:00-05:00,FIRST_BAR,146.65,100.0,D,HIGH,-0.006955335833617332,0,0,-0.020115922263893547,0,0,-0.014183429935219802,0,0,-0.011933174224343675,0,0,0.0026593931128538343,0.020184111830889927
NVDA,2024-11-12T09:35:00-05:00,EARLY_OPEN,147.86,100.0,D,HIGH,-0.00033815771675898106,0,0,-0.006154470445015532,0,0,-0.006357365075070997,0,0,-0.0036521033409981874,0,0,0.010821046936291238,0.011835520086568374
NVDA,2024-11-12T09:40:00-05:00,EARLY_OPEN,147.05,100.0,D,HIGH,-0.008228493709622437,0,0,-0.014076844610676592,0,0,-0.011356681400883967,0,0,-0.009180550833049944,0,0,0.005372322339340499,0.017409044542672576
NVDA,2024-11-12T09:45:00-05:00,OPEN_WINDOW,146.975,100.0,D,HIGH,-0.010103759142711439,0,0,-0.01636332709644498,0,0,-0.010205817315870046,0,0,-0.009695526450076621,0,0,0.0025514543289675115,0.017928219084878513
NVDA,2024-11-12T09:50:00-05:00,OPEN_WINDOW,147.23,100.0,D,HIGH,-0.01141071792433612,0,0,-0.012837057664878183,0,0,-0.013618148475175059,0,0,-0.007946749983019873,0,0,0.004279019221625996,0.016165183726142934
NVDA,2024-11-12T09:55:00-05:00,OPEN_WINDOW,147.88,100.0,D,HIGH,-0.009331890722207165,0,0,-0.0029753854476602497,0,0,-0.004801190154179118,0,0,-0.0035163646199622006,0,0,0.00865566675682987,0.011698674601027984
NVDA,2024-11-13T09:30:00-05:00,FIRST_BAR,149.16,74.6059,D,HIGH,0.011330115312416183,1,1,0.01005631536604988,1,1,0.013911236256368923,1,1,0.01816840976133017,1,1,0.021788683293108072,0.0
NVDA,2024-11-13T09:35:00-05:00,EARLY_OPEN,147.8,20.8688,D,HIGH,0.00439783491204334,1,1,0.005006765899864743,1,1,0.007713125845737583,1,1,0.009133964817320856,1,1,0.012787550744249084,0.006089309878213648
NVDA,2024-11-13T09:40:00-05:00,EARLY_OPEN,148.5,37.8602,D,HIGH,0.008215488215488207,1,1,0.009764309764309687,1,1,0.016026936026935997,1,1,0.013804713804713882,1,1,0.017441077441077465,0.0013468013468012703
NVDA,2024-11-13T09:45:00-05:00,OPEN_WINDOW,148.05,24.7656,D,HIGH,0.004255319148936331,1,1,0.007125970955758235,1,1,0.009557581898007567,1,1,0.01080715974333011,1,1,0.014454576156703916,0.00432286389733189
NVDA,2024-11-13T09:50:00-05:00,OPEN_WINDOW,148.45,20.1428,D,HIGH,0.007948804311215753,1,1,0.010306500505220622,1,1,0.010676995621421216,1,1,0.013472549680026947,1,1,0.017110138093634167,0.0
NVDA,2024-11-13T09:55:00-05:00,OPEN_WINDOW,148.035,2.8093,D,HIGH,0.005505454791096685,1,1,0.005944540142533829,1,1,0.008545276454892331,1,1,0.010706927415813881,1,1,0.014354713412368696,0.00037153375890841236
NVDA,2024-11-14T09:30:00-05:00,FIRST_BAR,147.19,-27.2498,D,HIGH,-0.007745091378490487,0,0,-0.00672600040763645,0,0,-0.010530606698824725,0,0,0.0024458183300494953,1,1,0.010802364291052404,0.012297031048304928
NVDA,2024-11-14T09:35:00-05:00,EARLY_OPEN,146.78,-26.6457,D,HIGH,-0.008516146613980107,0,0,-0.010628150974247188,0,0,-0.013898351274015478,0,0,-0.0003406458645592817,0,0,0.008039242403597267,0.015124676386428662
NVDA,2024-11-14T09:40:00-05:00,EARLY_OPEN,146.1,-48.4441,D,HIGH,-0.01635865845311441,0,0,-0.016290212183435973,0,0,-0.01851471594798092,0,0,-0.00499657768651621,0,0,0.003422313483915127,0.019849418206707773
NVDA,2024-11-14T09:45:00-05:00,OPEN_WINDOW,146.05,-44.0662,D,HIGH,-0.008798356727148213,0,0,-0.018486819582334738,0,0,-0.01814447107155068,0,0,-0.005340636768230066,0,0,0.0019513865114688463,0.02019856213625463
NVDA,2024-11-14T09:50:00-05:00,OPEN_WINDOW,146.425,-33.223,D,HIGH,-0.007205053781799408,0,0,-0.014717432132491043,0,0,-0.014717432132491043,0,0,-0.0027659211200273255,0,0,0.004507427010415059,0.01758579477548225
NVDA,2024-11-14T09:55:00-05:00,OPEN_WINDOW,147.53,-5.7792,D,HIGH,-0.005320951670846584,0,0,-0.005625974378092676,0,0,-0.006168236968752095,0,0,0.004744797668270783,1,1,0.011963668406425912,0.009964075103368799
NVDA,2024-11-15T09:30:00-05:00,FIRST_BAR,143.7,-83.8798,A,HIGH,0.00027835768963112073,1,0,0.004801670146137771,1,1,0.005288796102992282,1,1,0.010647181628392493,1,1,0.02505219206680581,0.006019485038274246
NVDA,2024-11-15T09:35:00-05:00,EARLY_OPEN,144.09,-86.8712,A,HIGH,0.005552085502116812,1,1,0.00902213894093977,1,1,0.010861267263515842,1,1,0.013325005205080268,1,1,0.027691026441807265,0.0032965507668817704
NVDA,2024-11-15T09:40:00-05:00,EARLY_OPEN,143.76,-100.0,A,HIGH,0.004730105731775031,1,1,0.008868948247078307,1,1,0.010503617139677178,1,1,0.011060100166944933,1,1,0.025459098497495804,0.00559961046188096
NVDA,2024-11-15T09:45:00-05:00,OPEN_WINDOW,144.26,-100.0,A,HIGH,0.012338832663246924,1,1,0.009358103424372622,1,1,0.01531956190212103,1,1,0.014487730486621402,1,1,0.028836822403992768,0.0021142381810620187
NVDA,2024-11-15T09:50:00-05:00,OPEN_WINDOW,144.23,-100.0,A,HIGH,0.01154406156832831,1,1,0.008874713998474667,1,1,0.015218747833321732,1,1,0.01428274284129517,1,1,0.02863481938570336,0.001456007765374804
NVDA,2024-11-15T09:55:00-05:00,OPEN_WINDOW,143.84,-100.0,A,HIGH,0.010150166852057897,1,1,0.004449388209121348,1,1,0.016893770856507277,1,1,0.011610122358175861,1,1,0.02600111234705234,0.0031284760845382968
