regime,ticker,window,n,win_rate,avg_return,median_return,std,confidence
RISK-OFF,SPY,+5d,189,0.544973544973545,0.001526697372565152,0.004365753300418884,0.03763504024012009,[RELIABLE]
RISK-OFF,SPY,+10d,187,0.5401069518716578,0.002483392827469185,0.004273089298701516,0.05407827857955931,[RELIABLE]
RISK-OFF,SPY,+20d,187,0.5240641711229946,0.0014119960874481587,0.008178546936593811,0.07624614225681242,[RELIABLE]
RISK-OFF,QQQ,+1d,189,0.48148148148148145,-0.0011030849774145545,-0.00040689024401030505,0.022681432733114074,[RELIABLE]
RISK-OFF,QQQ,+3d,189,0.48148148148148145,-0.0014548813946518458,-0.0014362569428822969,0.03626760406489101,[RELIABLE]
RISK-OFF,QQQ,+5d,189,0.5396825396825397,0.0015438501644032222,0.004490794396253994,0.04300760278486047,[RELIABLE]
RISK-OFF,QQQ,+10d,187,0.5347593582887701,0.0016529599739144383,0.006297734518635023,0.06083626463073161,[RELIABLE]
RISK-OFF,QQQ,+20d,187,0.47593582887700536,-0.0026577478692182445,-0.007695533572105728,0.08487918527087532,[RELIABLE]
RISK-OFF,IWM,+1d,189,0.48677248677248675,-0.0004994378025872592,-0.0008749407709032209,0.021276483195073963,[RELIABLE]
RISK-OFF,IWM,+3d,189,0.5396825396825397,-0.0010778733506172486,0.0036416601121669334,0.03660015938458463,[RELIABLE]
RISK-OFF,IWM,+5d,189,0.5185185185185185,0.0010746518698753012,0.0035817975329541785,0.04506223099459973,[RELIABLE]
RISK-OFF,IWM,+10d,187,0.5508021390374331,0.0020670108036228477,0.006860847394006164,0.06341445846279971,[RELIABLE]
RISK-OFF,IWM,+20d,187,0.5508021390374331,0.005280900601336788,0.012589418055243495,0.09356778376679684,[RELIABLE]
MILD RISK-OFF,SPY,+1d,482,0.5518672199170125,0.0005240620836658457,0.001124254944990577,0.011668082793245958,[RELIABLE]
MILD RISK-OFF,SPY,+3d,480,0.6020833333333333,0.0022945209826431166,0.004682845878663522,0.019493411180224178,[RELIABLE]
MILD RISK-OFF,SPY,+5d,478,0.6255230125523012,0.0036847912102915665,0.006564623014560844,0.024480188568683652,[RELIABLE]
MILD RISK-OFF,SPY,+10d,475,0.6589473684210526,0.00709296110132696,0.014210399464778867,0.031810849530552104,[RELIABLE]
MILD RISK-OFF,SPY,+20d,465,0.6666666666666666,0.010952184493218794,0.021031839302825928,0.04578420007168391,[RELIABLE]
