ticker,date,prev_close,open_price,day_high,day_low,day_close,gap_pct,atr,follow_through_level
AA,2024-01-24 05:00:00+00:00,29.52,30.24,30.34,29.335,29.775,0.024390243902438987,1.3971428571428566,30.79885714285714
AA,2024-02-27 05:00:00+00:00,25.34,26.1,27.0,25.235,26.7,0.0299921073401737,1.213928571428571,26.58557142857143
AA,2024-03-06 05:00:00+00:00,26.9,27.67,28.72,26.91,28.21,0.028624535315985248,1.1046428571428568,28.111857142857144
AA,2024-03-07 05:00:00+00:00,28.21,28.885,30.1,28.88,29.87,0.023927685218007824,1.1810714285714283,29.357428571428574
AA,2024-04-09 04:00:00+00:00,36.385,37.305,37.47,36.285,36.82,0.02528514497732587,1.2503571428571438,37.805142857142854
AA,2024-04-12 04:00:00+00:00,36.23,37.545,38.02,34.99,35.2,0.03629588738614421,1.3553571428571434,38.08714285714286
AA,2024-04-15 04:00:00+00:00,35.2,36.95,37.53,36.47,36.58,0.04971590909090909,1.4603571428571434,37.53414285714286
AA,2024-04-17 04:00:00+00:00,36.08,37.0,37.45,35.235,35.57,0.025498891352549936,1.5325000000000009,37.613
AA,2024-05-03 04:00:00+00:00,35.925,36.8,37.08,36.25,36.76,0.024356297842727907,1.619642857142858,37.44785714285714
AA,2024-05-06 04:00:00+00:00,36.76,37.585,37.89,37.03,37.3,0.022442872687704105,1.5942857142857154,38.22271428571429
AA,2024-05-28 04:00:00+00:00,41.65,42.76,43.56,42.5,43.24,0.02665066026410563,1.5824999999999991,43.393
AA,2024-06-12 04:00:00+00:00,40.21,41.93,42.21,39.72,39.72,0.042775428997761725,1.6560714285714293,42.59242857142857
AA,2024-06-21 04:00:00+00:00,38.95,39.815,40.54,39.175,40.4,0.022207958921694346,1.4724999999999997,40.403999999999996
AA,2024-06-28 04:00:00+00:00,38.805,39.82,40.07,39.11,39.775,0.02615642314134778,1.330714285714286,40.35228571428571
AA,2024-07-03 04:00:00+00:00,40.85,41.75,42.99,41.715,42.395,0.02203182374541,1.3246428571428568,42.27985714285714
AA,2024-07-11 04:00:00+00:00,38.485,40.19,40.2,38.36,39.165,0.044302975185137025,1.4146428571428575,40.75585714285714
AA,2024-07-12 04:00:00+00:00,39.165,40.06,40.38,38.875,38.96,0.022852036256862076,1.4085714285714295,40.623428571428576
AA,2024-07-26 04:00:00+00:00,32.925,33.81,34.18,32.92,33.445,0.02687927107061519,1.5503571428571423,34.43014285714286
AA,2024-07-31 04:00:00+00:00,31.755,33.19,33.54,32.775,33.035,0.04518973390017316,1.4271428571428562,33.76085714285714
AA,2024-08-07 04:00:00+00:00,29.4,30.07,30.505,28.93,29.23,0.022789115646258563,1.4510714285714283,30.65042857142857
AA,2024-08-12 04:00:00+00:00,30.56,31.21,31.66,31.02,31.19,0.021269633507853474,1.4928571428571433,31.807142857142857
AA,2024-08-15 04:00:00+00:00,31.09,31.78,32.35,31.72,32.1,0.022193631392730822,1.443928571428572,32.35757142857143
AA,2024-08-26 04:00:00+00:00,33.91,35.065,35.17,34.495,34.555,0.03406074904158069,1.1817857142857149,35.53771428571429
AA,2024-09-04 04:00:00+00:00,30.225,30.97,31.21,30.47,30.49,0.024648469809760046,1.3007142857142864,31.490285714285715
AA,2024-09-11 04:00:00+00:00,28.13,28.995,29.905,28.3,29.85,0.0307500888730893,1.3375000000000004,29.53
AA,2024-09-12 04:00:00+00:00,29.85,31.075,31.75,30.6,31.36,0.041038525963149004,1.3992857142857147,31.634714285714285
AA,2024-09-13 04:00:00+00:00,31.36,32.05,32.96,32.025,32.52,0.02200255102040809,1.4035714285714291,32.61142857142857
AA,2024-09-16 04:00:00+00:00,32.52,34.345,35.59,33.69,34.5,0.056119311193111795,1.5328571428571431,34.95814285714285
AA,2024-09-19 04:00:00+00:00,34.36,35.68,35.76,34.81,34.93,0.03841676367869617,1.5439285714285724,36.29757142857143
