ticker,date,gap_pct,atr,candle_color,follow_through_level,ft_bar_idx,ft_minutes_from_open,entry_price,eod_close,eod_return,mae_pct,mfe_pct,mae_price,mfe_price,price_above_entry_after_ft,bounce_above_entry_before_lod,bounce_depth_before_lod,session_low_price,session_high_price,lod_minutes_from_open,hod_minutes_from_open
AA,2024-02-05,-0.033395,1.4011,BEARISH,27.9496,2,10.0,27.81,26.85,0.03452,0.005753,0.038296,27.97,26.745,True,True,0.005753,26.745,28.51,375.0,0.0
AA,2024-02-20,-0.023163,1.2725,NEUTRAL,26.271,2,10.0,26.22,26.655,-0.01659,0.022693,0.001526,26.815,26.18,True,True,0.006865,26.18,26.815,35.0,230.0
AA,2024-03-19,-0.024799,1.2804,NEUTRAL,29.7679,3,15.0,29.55,29.67,-0.004061,0.013198,0.02775,29.94,28.73,True,True,0.003892,28.73,30.36,90.0,0.0
AA,2024-06-04,-0.034985,1.7439,NEUTRAL,42.3324,2,10.0,42.21,42.05,0.003791,0.008766,0.021085,42.58,41.32,True,True,0.008766,41.32,43.26,185.0,0.0
AA,2024-06-07,-0.024971,1.7511,BEARISH,40.8846,54,270.0,40.76,40.935,-0.004293,0.006869,0.008096,41.04,40.43,True,False,-0.002453,40.43,41.83,285.0,0.0
AA,2024-10-08,-0.029635,1.5907,NEUTRAL,37.6737,10,50.0,37.61,37.72,-0.002925,0.007977,0.010635,37.91,37.21,True,True,0.002659,37.21,38.67,135.0,0.0
AA,2024-11-12,-0.021834,1.665,BEARISH,41.894,3,15.0,41.805,40.92,0.02117,0.003588,0.040306,41.955,40.12,False,False,-0.002033,40.12,42.67,210.0,0.0
AA,2025-07-07,-0.022742,1.1261,NEUTRAL,30.0596,19,95.0,30.025,29.83,0.006495,0.002498,0.013156,30.1,29.63,True,True,0.000167,29.63,30.69,290.0,25.0
AA,2025-10-21,-0.032581,1.7493,BEARISH,37.0103,3,15.0,36.84,37.235,-0.010722,0.017644,0.020901,37.49,36.07,True,True,0.001086,36.07,37.98,60.0,0.0
AA,2025-10-30,-0.031985,2.1125,BEARISH,36.835,0,0.0,36.615,36.75,-0.003687,0.035095,0.007237,37.9,36.35,True,True,0.007511,36.35,37.9,0.0,195.0
AA,2026-02-13,-0.026281,3.4846,BEARISH,57.5161,1,5.0,57.44,59.95,-0.043698,0.049878,0.011838,60.305,56.76,True,True,0.00087,56.76,60.305,10.0,115.0
AA,2026-02-17,-0.022018,3.6436,BEARISH,57.1726,2,10.0,56.83,57.455,-0.010998,0.015485,0.031058,57.71,55.065,True,False,-0.001408,55.065,58.63,25.0,0.0
AA,2026-02-26,-0.028514,3.525,BEARISH,61.62,2,10.0,61.53,63.44,-0.031042,0.041606,0.005038,64.09,61.22,True,True,0.001138,61.22,64.09,15.0,335.0
AA,2026-03-03,-0.034187,3.6918,BEARISH,60.3933,3,15.0,59.95,63.83,-0.064721,0.080067,0.033528,64.75,57.94,True,True,0.00809,57.94,64.75,50.0,250.0
AAL,2024-04-02,-0.022078,0.3593,BEARISH,14.9163,0,0.0,14.84,14.41,0.028976,0.01752,0.032008,15.1,14.365,True,True,0.001011,14.365,15.1,355.0,0.0
AAL,2024-07-11,-0.041741,0.2739,BEARISH,10.5654,0,0.0,10.515,10.73,-0.020447,0.0233,0.016643,10.76,10.34,True,True,0.000951,10.34,10.76,10.0,375.0
AAL,2024-08-02,-0.026121,0.4854,BEARISH,9.6859,45,225.0,9.67,9.64,0.003102,0.006722,0.007756,9.735,9.595,True,True,0.006722,9.595,9.88,380.0,0.0
AAL,2025-03-31,-0.030812,0.4754,BEARISH,10.1899,2,10.0,10.08,10.545,-0.046131,0.059524,0.001984,10.68,10.06,True,True,0.00496,10.06,10.68,15.0,370.0
AAL,2025-04-01,-0.020863,0.4693,BEARISH,10.1373,2,10.0,10.135,10.29,-0.015294,0.021707,0.02072,10.355,9.925,True,True,0.003453,9.925,10.355,40.0,375.0
AAL,2025-04-03,-0.061792,0.5182,BEARISH,9.7377,8,40.0,9.68,9.5,0.018595,0.012397,0.018595,9.8,9.5,True,True,0.012397,9.5,9.945,370.0,0.0
AAL,2025-04-04,-0.031579,0.5504,BEARISH,8.9799,2,10.0,8.93,9.45,-0.058231,0.072228,0.048152,9.575,8.5,True,True,0.010078,8.5,9.575,80.0,375.0
AAL,2025-04-10,-0.04946,0.8814,BEARISH,10.2174,1,5.0,10.215,9.5,0.069995,0.01909,0.075869,10.41,9.44,True,True,0.002447,9.44,10.66,385.0,0.0
AAL,2025-07-24,-0.070922,0.5818,BEARISH,11.5573,0,0.0,11.415,11.45,-0.003066,0.036794,0.007008,11.835,11.335,True,True,0.018397,11.335,11.835,15.0,125.0
AAL,2025-08-01,-0.025217,0.4289,BEARISH,11.0384,0,0.0,11.03,11.02,0.000907,0.016319,0.011786,11.21,10.9,True,True,0.00408,10.9,11.21,30.0,0.0
AAPL,2025-02-03,-0.025343,7.0721,NEUTRAL,227.1511,8,40.0,226.67,227.92,-0.005515,0.013676,0.004279,229.77,225.7,True,True,0.013676,225.7,231.82,130.0,5.0
ABBV,2024-11-11,-0.107118,5.4971,BEARISH,175.9311,0,0.0,175.715,174.4,0.007484,0.015622,0.017102,178.46,172.71,True,True,0.011297,172.71,178.46,40.0,0.0
ABBV,2025-04-07,-0.035202,6.4939,BEARISH,177.7424,1,5.0,176.94,186.51,-0.054086,0.062903,0.003334,188.07,176.35,True,True,0.00616,176.35,188.07,5.0,45.0
ABBV,2025-04-09,-0.038273,8.3539,BEARISH,165.6434,16,80.0,165.3,179.65,-0.086812,0.090442,0.004991,180.25,164.475,True,True,0.003206,164.475,180.25,100.0,385.0
ABNB,2024-02-14,-0.031254,5.4068,BEARISH,144.1373,0,0.0,143.77,148.22,-0.030952,0.039786,0.007755,149.49,142.655,True,True,0.011964,142.655,149.49,30.0,380.0
ABNB,2024-07-25,-0.023564,3.9771,NEUTRAL,139.2991,1,5.0,138.29,140.0,-0.012365,0.02549,0.002169,141.815,137.99,True,True,0.008967,137.99,141.815,5.0,210.0
ABNB,2024-08-02,-0.042857,4.1479,BEARISH,127.6509,0,0.0,127.15,128.2,-0.008258,0.018325,0.002045,129.48,126.89,True,True,0.015022,126.89,129.48,5.0,10.0
ABNB,2025-03-06,-0.022093,6.4279,BEARISH,136.8589,35,175.0,136.51,134.77,0.012746,0.00304,0.013918,136.925,134.61,True,True,0.002564,134.61,139.78,385.0,0.0
ACHR,2024-01-30,-0.023166,0.2996,BEARISH,4.9401,35,185.0,4.94,4.99,-0.010121,0.010121,0.002024,4.99,4.93,True,False,0.0,4.93,5.06,190.0,0.0
ACHR,2024-02-05,-0.030395,0.3136,NEUTRAL,4.6596,6,30.0,4.635,4.68,-0.009709,0.011866,0.002157,4.69,4.625,True,True,0.011866,4.625,4.79,160.0,5.0
ACHR,2024-02-13,-0.061662,0.2879,BEARISH,5.1349,8,40.0,5.11,5.17,-0.011742,0.031311,0.005871,5.27,5.08,True,True,0.031311,5.08,5.27,345.0,65.0
ACHR,2024-02-27,-0.033503,0.2639,BEARISH,4.6544,0,0.0,4.64,4.8,-0.034483,0.060345,0.008621,4.92,4.6,True,True,0.008621,4.6,4.92,5.0,60.0
