label,N,win_rate,mean_return,median_return,std_return,min_return,max_return,avg_winner,avg_loser,profit_factor,sharpe_like,t_stat,p_value,breakdown_type,breakdown_value
Gap: Primary,1,100.0,0.0683078790870726,0.0683078790870726,,0.0683078790870726,0.0683078790870726,0.0683078790870726,0,inf,0,,,gap_band,Primary
RS: Crushed,1,100.0,0.0683078790870726,0.0683078790870726,,0.0683078790870726,0.0683078790870726,0.0683078790870726,0,inf,0,,,rs_class,Crushed
TS Zone: OS,1,100.0,0.0683078790870726,0.0683078790870726,,0.0683078790870726,0.0683078790870726,0.0683078790870726,0,inf,0,,,ts_zone,OS
Day: Friday,1,100.0,0.0683078790870726,0.0683078790870726,,0.0683078790870726,0.0683078790870726,0.0683078790870726,0,inf,0,,,day_of_week,Friday
