label,N,win_rate,mean_return,median_return,std_return,min_return,max_return,avg_winner,avg_loser,profit_factor,sharpe_like,t_stat,p_value
Open→Close,1,100.0,0.0683078790870726,0.0683078790870726,,0.0683078790870726,0.0683078790870726,0.0683078790870726,0.0,inf,0,,
T+1,1,100.0,1.1222163447167506,1.1222163447167506,,1.1222163447167506,1.1222163447167506,1.1222163447167506,0.0,inf,0,,
T+2,1,100.0,0.04912519430587571,0.04912519430587571,,0.04912519430587571,0.04912519430587571,0.04912519430587571,0.0,inf,0,,
T+3,1,0.0,-1.0102636808337635,-1.0102636808337635,,-1.0102636808337635,-1.0102636808337635,0.0,-1.0102636808337635,0.0,0,,
T+5,1,0.0,-2.2143891821721033,-2.2143891821721033,,-2.2143891821721033,-2.2143891821721033,0.0,-2.2143891821721033,0.0,0,,
