gap_bin,n,p_close_strong,p_close_weak,avg_same_day_ret,avg_next_day_ret,avg_two_day_ret
1-3%,535,0.1308411214953271,0.4523364485981308,0.018888388762927456,0.0028910341342211453,0.006076935185843295
3-5%,68,0.04411764705882353,0.5,0.03364928239205151,-0.005719512785918805,0.0032342914692537147
5-8%,18,0.1111111111111111,0.6666666666666666,0.05055774020616642,-0.002350797313263881,0.006963052604243686
8-12%,7,0.5714285714285714,0.42857142857142855,0.12256612503303914,0.006645133256264099,0.010054498930339875
12-20%,2,0.5,0.0,0.21914070274844843,-0.032597743765182985,-0.013561476714596066
20%+,1,0.0,1.0,0.24369629287537253,0.025434458377952884,0.05610848293434212
