direction,n_break,new_extreme_rate_after_break,structural_failure_rate,close_ge_1atr_after_break_rate,favorable_close_after_break_rate,avg_return_break_to_extreme,median_return_break_to_extreme,avg_return_break_to_close,median_return_break_to_close,median_min_break_to_new_extreme,median_min_break_to_close,confidence
long,3589,0.7018668152688772,0.29439775910364147,1.0,0.8837535014005602,0.0383288829214195,0.020417297778486394,0.03034742792620865,0.01530517268623962,75.0,250.0,RELIABLE
short,3466,0.7152336987882285,0.279150915963943,0.9994184355917418,0.9054957836580402,0.02951133882010665,0.019059052305738476,0.02317336435708132,0.014846451088061907,70.0,240.0,RELIABLE
combined,7055,0.708433734939759,0.28691682122984735,0.9997146525895277,0.8944214581252675,0.03400251194632821,0.019675925925925916,0.026827438681775936,0.01501046402540221,70.0,245.0,RELIABLE
