direction,early_expansion_bucket,n,pct_cloud_pullback,pct_ema21_break,pct_new_extreme_given_break,pct_close_ge_1atr_given_break,median_min_peak_to_pullback,median_min_break_to_new_extreme,confidence
long,0.50-0.60,470,0.8787234042553191,0.8148936170212766,0.6997389033942559,1.0,40.0,70.0,RELIABLE
long,0.60-0.70,403,0.8833746898263027,0.8163771712158809,0.6656534954407295,1.0,37.5,80.0,RELIABLE
long,0.70-0.80,360,0.9277777777777778,0.8777777777777778,0.7025316455696202,1.0,35.0,75.0,RELIABLE
long,0.80-1.00,489,0.901840490797546,0.869120654396728,0.6141176470588235,1.0,35.0,90.0,RELIABLE
long,1.00+,737,0.9158751696065129,0.8805970149253731,0.49922958397534667,1.0,35.0,105.0,RELIABLE
short,0.50-0.60,421,0.8812351543942993,0.8076009501187649,0.6941176470588235,0.9969879518072289,40.0,65.0,RELIABLE
short,0.60-0.70,394,0.8934010152284264,0.8197969543147208,0.739938080495356,1.0,40.0,85.0,RELIABLE
short,0.70-0.80,365,0.9205479452054794,0.8657534246575342,0.7246835443037974,1.0,40.0,85.0,RELIABLE
short,0.80-1.00,487,0.9137577002053389,0.8357289527720739,0.601965601965602,1.0,50.0,90.0,RELIABLE
short,1.00+,612,0.9035947712418301,0.869281045751634,0.4906015037593985,1.0,35.0,110.0,RELIABLE
combined,0.50-0.60,891,0.8799102132435466,0.8114478114478114,0.6970954356846473,0.9985935302390999,40.0,65.0,RELIABLE
combined,0.60-0.70,797,0.8883312421580929,0.8180677540777918,0.7024539877300614,1.0,40.0,80.0,RELIABLE
combined,0.70-0.80,725,0.9241379310344827,0.8717241379310345,0.7136075949367089,1.0,35.0,80.0,RELIABLE
combined,0.80-1.00,976,0.9077868852459017,0.8524590163934426,0.6081730769230769,1.0,45.0,90.0,RELIABLE
combined,1.00+,1349,0.910303928836175,0.8754633061527057,0.4953429297205758,1.0,35.0,105.0,RELIABLE
