event_date,date,rel_day,open,high,low,close,volume,close_to_close_return_pct,gap_pct,intraday_return_pct,daily_range_pct,true_range,atr_14
2020-12-15,2020-12-01,-10,265.37,265.49,261.6,264.07,846984,,,-0.4898820514753029,1.4658778309530038,3.8899999999999864,
2020-12-15,2020-12-02,-9,262.13,263.055,260.18,261.27,684421,-1.060324913848605,-0.7346536903093868,-0.3280814862854361,1.096784038454202,3.8899999999999864,
2020-12-15,2020-12-03,-8,263.77,268.49,263.16,267.03,479729,2.20461591457113,0.9568645462548323,1.235925237896649,2.0206998521439075,7.220000000000027,
2020-12-15,2020-12-04,-7,271.165,271.23,266.305,267.13,426942,0.03744897577052119,1.5485151481107173,-1.488023896889357,1.8162373462651933,4.925000000000011,6.920714285714295
2020-12-15,2020-12-07,-6,265.74,265.93,262.75,263.96,470422,-1.1866881293752165,-0.5203458990004816,-0.6698276510875403,1.196658387897948,4.3799999999999955,6.839642857142863
2020-12-15,2020-12-08,-5,265.29,268.11,263.9,266.0,278017,0.7728443703591531,0.5038642218518112,0.2676316483847787,1.586942591126705,4.210000000000036,6.8760714285714375
2020-12-15,2020-12-09,-4,267.78,267.78,263.15,263.75,378949,-0.8458646616541353,0.6691729323308168,-1.5049667637612867,1.7290312943461035,4.6299999999999955,6.799642857142865
2020-12-15,2020-12-10,-3,262.225,266.035,261.26,264.95,243996,0.45497630331753125,-0.5781990521326927,1.0391839069501252,1.820955286490622,4.775000000000034,6.588214285714295
2020-12-15,2020-12-11,-2,263.88,265.23,262.51,264.53,322189,-0.1585204755614327,-0.4038497829779178,0.2463240867060699,1.0307715628316005,2.7200000000000273,5.887500000000013
2020-12-15,2020-12-14,-1,260.33,260.85,256.28,256.38,551649,-3.0809359996975685,-1.5877216194760477,-1.5173049590903809,1.7554642184919336,8.25,5.83107142857144
2020-12-15,2020-12-15,0,255.415,255.505,252.305,255.3,515857,-0.42124970746547474,-0.37639441454091715,-0.04502476361998343,1.2528629876867017,4.074999999999989,5.420714285714297
2020-12-15,2020-12-16,1,257.87,263.14,257.04,261.91,851255,2.5891108499804205,1.0066588327457866,1.5666808857176175,2.3655330205141993,7.839999999999975,5.550714285714292
2020-12-15,2020-12-17,2,264.665,264.83,260.34,264.4,596442,0.9507082585620832,1.0518880531480261,-0.10012657510439354,1.696484234787376,4.490000000000009,5.652500000000008
