date,premarket_bars,rth_bars,full_session_bars,premarket_return_pct,rth_return_pct,full_session_range_pct,session_high_time_ct,session_low_time_ct,largest_5min_move_pct,largest_5min_move_time_ct,full_session_realized_vol_annualized,premarket_realized_vol_annualized,rth_realized_vol_annualized,event_date,rel_day
2020-12-15,1,78,79,0.0,0.3064592173503069,1.7427369732845106,07:05:00,10:15:00,-0.4162903035777411,09:55:00,22.151090278583364,,17.198805367593167,2020-12-15,0
2020-12-16,2,78,80,0.2568093385214105,1.193879916544329,2.389105058365754,14:35:00,07:10:00,-0.4092899295640544,13:05:00,21.378861263501335,,20.1712318034261,2020-12-15,1
2021-12-15,4,78,82,-0.7835218093699506,1.5504518696625524,5.161550888529887,08:10:00,10:45:00,-1.647231509418573,08:30:00,54.89100002760623,105.80457248742871,44.260676633410526,2021-12-15,0
2021-12-16,2,78,80,-0.1383801383801282,-2.130081300813012,5.4945054945054945,08:45:00,11:40:00,-1.447714764297677,08:50:00,46.98847211853723,,47.343884603293716,2021-12-15,1
2022-12-15,2,78,80,4.395604395604382,-7.612419700214132,8.914554832922182,08:30:00,12:05:00,-1.382192221150747,08:35:00,83.06081163014085,,45.74799195716939,2022-12-15,0
2022-12-16,1,78,79,0.0,-3.7603993344425963,4.401487826871056,08:35:00,14:55:00,1.4288928892889403,08:30:00,37.49786973954167,,28.2022631748929,2022-12-15,1
2023-12-15,0,78,78,,0.9482525060959128,2.957461174881853,09:55:00,08:35:00,0.44163609186031094,08:40:00,22.84369180771419,,22.84369180771419,2023-12-15,0
2023-12-18,0,78,78,,0.2716653083401095,1.344412917173361,11:25:00,08:30:00,-0.5269558167815168,08:30:00,14.999890625870929,,14.999890625870929,2023-12-15,1
2024-12-18,0,75,75,,-1.8480018480018414,2.7440785673021377,08:35:00,14:45:00,0.5314232902033199,08:35:00,23.296258843002693,,23.296258843002693,2024-12-18,0
2024-12-19,0,78,78,,-1.009863785814936,1.3295681844923046,08:30:00,14:55:00,0.38482031851282084,09:40:00,15.306887587112541,,15.306887587112541,2024-12-18,1
