ticker,date,gap_pct,atr,candle_color,follow_through_level,ft_bar_idx,ft_minutes_from_open,entry_price,eod_close,eod_return,mae_pct,mfe_pct,mae_price,mfe_price,price_above_entry_after_ft,bounce_above_entry_before_lod,bounce_depth_before_lod,session_low_price,session_high_price,lod_minutes_from_open,hod_minutes_from_open,gap_abs
AIQ,2025-04-04,-0.040626,0.9736,NEUTRAL,33.0256,6,40.0,33.02,32.44,0.017565,0.006663,0.023319,33.24,32.25,True,False,-0.002726,32.25,33.43,80.0,5.0,0.040626
AIQ,2025-11-04,-0.028582,0.8786,BEARISH,51.6486,62,315.0,51.64,51.56,0.001549,0.001549,0.00213,51.72,51.53,True,True,0.001549,51.53,52.5,385.0,30.0,0.028582
ALAB,2024-04-19,-0.023377,5.9707,NEUTRAL,66.9617,6,30.0,66.5,64.49,0.030226,0.006165,0.093008,66.91,60.315,False,False,-0.001504,60.315,69.35,335.0,0.0,0.023377
ALAB,2024-05-01,-0.056391,7.0582,BEARISH,76.9117,13,65.0,76.735,74.9,0.023913,0.041767,0.029843,79.94,74.445,True,True,0.041767,74.445,80.16,385.0,10.0,0.056391
ALAB,2024-09-03,-0.021613,3.4846,NEUTRAL,40.7061,5,25.0,40.59,39.105,0.036585,0.014659,0.039911,41.185,38.97,True,True,0.012811,38.97,42.6,380.0,0.0,0.021613
ALAB,2025-01-27,-0.118224,11.2625,NEUTRAL,97.49,4,20.0,97.155,83.16,0.144048,0.024909,0.180279,99.575,79.64,True,True,0.019711,79.64,101.995,290.0,0.0,0.118224
ALAB,2025-05-30,-0.024739,5.4618,BEARISH,92.0353,2,10.0,91.75,90.7,0.011444,0.006649,0.047193,92.36,87.42,False,False,-0.001253,87.42,94.22,180.0,0.0,0.024739
AMD,2025-01-27,-0.041104,4.6871,NEUTRAL,115.9351,1,5.0,115.745,115.05,0.006005,0.019828,0.025357,118.04,112.81,True,True,0.019828,112.81,118.04,320.0,20.0,0.041104
AMD,2026-02-04,-0.112846,15.1929,BEARISH,209.0179,5,25.0,207.49,200.16,0.035327,0.010314,0.039665,209.63,199.26,True,True,0.010314,199.26,217.83,190.0,0.0,0.112846
AMZN,2024-11-15,-0.022322,6.0057,BEARISH,204.3277,19,95.0,204.09,201.285,0.013744,0.004238,0.021706,204.955,199.66,True,True,0.004238,199.66,207.3,255.0,0.0,0.022322
ANF,2024-07-17,-0.042671,7.3546,BEARISH,159.9381,32,160.0,159.72,155.935,0.023698,0.006449,0.026546,160.75,155.48,True,True,0.002692,155.48,167.07,385.0,20.0,0.042671
ANF,2024-12-05,-0.027807,8.4371,BEARISH,153.6051,2,10.0,152.87,149.98,0.018905,0.013377,0.026787,154.915,148.775,True,True,0.011088,148.775,157.28,300.0,0.0,0.027807
ANF,2025-04-03,-0.109712,4.2768,NEUTRAL,72.5393,6,30.0,71.87,70.26,0.022402,0.007444,0.047308,72.405,68.47,False,False,-0.002713,68.47,76.34,110.0,5.0,0.109712
APLD,2024-02-05,-0.027719,0.39,NEUTRAL,4.404,6,30.0,4.365,4.265,0.02291,0.038946,0.041237,4.535,4.185,True,True,0.038946,4.185,4.595,350.0,5.0,0.027719
APLD,2024-02-21,-0.030688,0.3871,BEARISH,4.4251,32,165.0,4.415,4.395,0.00453,0.016988,0.01359,4.49,4.355,True,True,0.016988,4.355,4.58,335.0,0.0,0.030688
APLD,2024-03-11,-0.027263,0.3311,BEARISH,4.3276,4,20.0,4.295,4.2,0.022119,0.050058,0.022119,4.51,4.2,True,True,0.050058,4.2,4.51,380.0,115.0,0.027263
APLD,2024-04-02,-0.023114,0.34,BEARISH,3.879,1,5.0,3.82,3.81,0.002618,0.020942,0.020942,3.9,3.74,True,True,0.020942,3.74,4.015,265.0,0.0,0.023114
APLD,2024-04-05,-0.029096,0.3161,BEARISH,3.0436,18,100.0,3.025,2.975,0.016529,0.024793,0.021488,3.1,2.96,True,True,0.024793,2.96,3.17,370.0,0.0,0.029096
APLD,2024-06-21,-0.039735,0.5218,BEARISH,5.5913,3,15.0,5.57,5.515,0.009874,0.027828,0.067325,5.725,5.195,True,True,0.004488,5.195,5.86,135.0,10.0,0.039735
APLD,2024-07-09,-0.113445,0.7854,NEUTRAL,6.0159,1,5.0,5.87,5.465,0.068995,0.082624,0.12862,6.355,5.115,True,True,0.060477,5.115,6.575,210.0,0.0,0.113445
APLD,2025-02-25,-0.038333,0.9821,BEARISH,8.2621,1,5.0,8.165,7.89,0.03368,0.041029,0.093693,8.5,7.4,True,True,0.014697,7.4,8.655,120.0,0.0,0.038333
APLD,2026-02-05,-0.048819,4.2868,NEUTRAL,28.2903,69,345.0,28.16,27.84,0.011364,0.003906,0.018999,28.27,27.625,True,True,0.001065,27.625,31.45,380.0,10.0,0.048819
APP,2024-07-17,-0.030177,3.475,BEARISH,82.49,7,35.0,81.7,80.22,0.018115,0.017625,0.030967,83.14,79.17,True,True,0.010771,79.17,84.24,260.0,20.0,0.030177
APP,2024-07-24,-0.029343,3.5586,NEUTRAL,79.9516,36,190.0,79.93,78.695,0.015451,0.01445,0.016264,81.085,78.63,True,True,0.01445,78.63,82.655,385.0,65.0,0.029343
APP,2025-03-06,-0.03855,42.01,BEARISH,289.216,26,130.0,288.15,259.56,0.099219,0.004893,0.101926,289.56,258.78,True,True,0.002672,258.78,306.02,380.0,0.0,0.03855
APP,2025-06-09,-0.039451,19.1486,BEARISH,393.5906,0,0.0,392.075,383.54,0.021769,0.029726,0.023184,403.73,382.985,True,True,0.029726,382.985,403.73,380.0,125.0,0.039451
APP,2026-02-12,-0.123929,45.2996,NEUTRAL,382.7701,7,35.0,382.38,366.92,0.040431,0.011533,0.0454,386.79,365.02,True,True,0.010278,365.02,402.75,380.0,10.0,0.123929
ARKK,2024-07-24,-0.024487,1.3807,BEARISH,46.0577,4,20.0,45.95,44.75,0.026115,0.005005,0.027095,46.18,44.705,True,True,0.003917,44.705,46.75,385.0,10.0,0.024487
ARKK,2024-08-02,-0.027845,1.7439,BEARISH,41.3724,7,35.0,41.32,41.23,0.002178,0.009439,0.011859,41.71,40.83,True,True,0.002178,40.83,42.22,90.0,10.0,0.027845
