earnings_date,pre_earn_day,pre_close,next_day,next_open,next_high,next_low,next_close,gap_pct,strike,strike_increment,distance_to_strike_pct,clear_level,cleared,high_reached_strike,next_day_return_oc_pct,fwd_1d_return_cc_pct,fwd_3d_return_pct
2025-11-19,2025-11-19,186.7,2025-11-20,195.91,195.97,179.87,180.92,4.93,190.0,5,1.77,191.9,False,True,-7.65,-3.1,-6.67
2025-08-27,2025-08-27,181.57,2025-08-28,180.88,184.42,176.43,180.16,-0.38,185.0,5,1.89,186.85,False,False,-0.4,-0.78,-5.6
2025-05-28,2025-05-28,134.83,2025-05-29,142.25,143.48,137.91,139.18,5.5,135.0,5,0.13,136.35,True,True,-2.15,3.23,-3.43
2025-02-26,2025-02-26,131.53,2025-02-27,135.0,135.0,120.05,120.25,2.64,135.0,5,2.64,136.35,False,True,-10.93,-8.58,-15.51
2024-11-20,2024-11-20,145.89,2024-11-21,149.27,152.87,140.7,146.65,2.32,150.0,5,2.82,151.5,False,True,-1.76,0.52,-8.9
2024-08-28,2024-08-28,125.57,2024-08-29,121.0,124.4,116.76,117.6,-3.64,130.0,5,3.53,131.3,False,False,-2.81,-6.35,-10.74
2024-05-22,2024-05-22,948.75,2024-05-23,1020.28,1062.66,1015.69,1038.64,7.54,950.0,10,0.13,959.5,True,True,1.8,9.48,11.79
2024-02-21,2024-02-21,674.72,2024-02-22,750.97,785.63,742.64,785.27,11.3,680.0,10,0.78,686.8,True,True,4.57,16.38,5.36
2023-11-21,2023-11-21,499.93,2023-11-22,498.7,503.22,477.66,487.06,-0.25,500.0,10,0.01,505.0,False,True,-2.33,-2.57,-3.23
2023-08-23,2023-08-23,471.07,2023-08-24,502.26,502.66,471.62,471.62,6.62,480.0,10,1.9,484.8,False,True,-6.1,0.12,-6.77
2023-05-24,2023-05-24,305.46,2023-05-25,385.45,394.75,366.35,379.57,26.19,310.0,10,1.49,313.1,True,True,-1.53,24.26,4.09
2023-02-22,2023-02-22,207.69,2023-02-23,234.46,238.8,230.25,236.51,12.89,210.0,10,1.11,212.1,True,True,0.87,13.88,0.22
