ticker,date,direction,gap_bucket,candle_tier,win,eod_return,hod_pct,lod_pct,hod_atr,lod_atr,reverse_ft_minutes,cs_bar1,cs_at_ft,cs_prior,cs_slope_raw,ts_slope,ts_level_at_ft,ft_bar_number,ft_bar_candle
AIQ,2025-03-31,GAP_DN,2-5%,MAX_BEARISH,1,0.016643,0.018741,0.007552,0.8397,0.3384,215.0,-79.53,-66.76,,,UNKNOWN,BEARISH,4,NEUTRAL
AIQ,2025-04-03,GAP_DN,2-5%,BULLISH,0,-0.020529,0.000562,0.020529,0.0236,0.8628,50.0,9.5,-100.0,-38.13,-61.87,TS_FALLING,BEARISH,7,BEARISH
AIQ,2025-04-07,GAP_DN,2-5%,BEARISH,1,0.036232,0.08277,0.009018,2.3078,0.2514,30.0,-24.87,-41.6,,,UNKNOWN,BEARISH,4,NEUTRAL
AIQ,2025-09-02,GAP_DN,2-5%,MAX_BEARISH,1,0.011106,0.011786,0.00102,0.9204,0.0796,20.0,-73.41,-100.0,,,UNKNOWN,BEARISH,3,NEUTRAL
AIQ,2025-11-04,GAP_DN,2-5%,MAX_BEARISH,0,-0.008462,0.009615,0.009038,0.5691,0.5349,25.0,-100.0,-100.0,-100.0,0.0,TS_FLAT,BEARISH,5,NEUTRAL
AIQ,2026-01-20,GAP_DN,2-5%,MAX_BEARISH,0,-0.007214,0.008774,0.008189,0.6023,0.5622,60.0,-76.06,-100.0,-100.0,0.0,TS_FLAT,BEARISH,12,BULLISH
ALAB,2024-12-13 05:00:00+00:00,GAP_UP,2-5%,BEARISH,0,-0.032586,0.036298,0.019262,0.604,0.3205,310.0,90.36,100.0,22.68,77.32,TS_RISING,BULLISH,61,NEUTRAL
ALAB,2025-07-23 04:00:00+00:00,GAP_UP,2-5%,BULLISH,1,0.002422,0.047152,0.029026,0.7317,0.4504,245.0,0.03,-100.0,-70.4,-29.6,TS_FALLING,BEARISH,49,BEARISH
ALAB,2025-12-02 05:00:00+00:00,GAP_UP,2-5%,BULLISH,1,0.176321,0.05153,0.177532,0.6122,2.1093,95.0,-100.0,-100.0,-64.31,-35.69,TS_FALLING,BEARISH,19,BEARISH
ALAB,2024-04-25,GAP_DN,2-5%,MAX_BEARISH,1,0.040701,0.06374,0.016934,0.7399,0.1966,45.0,-100.0,-61.24,-100.0,38.76,TS_RISING,BEARISH,7,BULLISH
ALAB,2024-05-16,GAP_DN,2-5%,BULLISH,0,-0.036856,0.00811,0.047406,0.1088,0.6363,185.0,19.81,-100.0,-100.0,0.0,TS_FLAT,BEARISH,33,BEARISH
ALAB,2024-08-02,GAP_DN,5-8%,BEARISH,1,0.13486,0.178519,0.008169,1.9039,0.0871,20.0,2.54,-13.11,,,UNKNOWN,NEUTRAL,4,BEARISH
ALAB,2024-12-20,GAP_DN,2-5%,BEARISH,1,0.081101,0.090017,0.009325,1.2883,0.1335,40.0,-2.51,43.79,-2.16,45.95,TS_RISING,BULLISH,8,BULLISH
ALAB,2025-04-03,GAP_DN,8-12%,BULLISH,0,-0.032684,0.039725,0.037118,0.5114,0.4779,385.0,-77.53,5.04,-18.22,23.25,TS_RISING,NEUTRAL,77,BEARISH
ALAB,2025-12-11,GAP_DN,2-5%,BEARISH,1,0.087302,0.090087,0.040929,1.054,0.4789,225.0,-45.92,100.0,100.0,0.0,TS_FLAT,BULLISH,45,BULLISH
AMD,2024-01-24 05:00:00+00:00,GAP_UP,2-5%,BEARISH,0,-0.033114,0.046267,0.011096,1.0592,0.254,20.0,44.77,100.0,,,UNKNOWN,BULLISH,4,BULLISH
AMD,2024-09-19 04:00:00+00:00,GAP_UP,2-5%,BEARISH,0,-0.018091,0.03446,0.007373,0.8966,0.1918,50.0,14.85,100.0,100.0,0.0,TS_FLAT,BULLISH,10,BULLISH
AMD,2024-09-26 04:00:00+00:00,GAP_UP,2-5%,BULLISH,0,-0.00398,0.009547,0.017867,0.3079,0.5763,85.0,28.73,1.26,77.0,-75.74,TS_FALLING,NEUTRAL,17,BEARISH
AMD,2025-05-07 04:00:00+00:00,GAP_UP,2-5%,MAX_BULLISH,1,0.002881,0.027024,0.037059,0.698,0.9572,30.0,93.24,-17.91,55.39,-73.3,TS_FALLING,BEARISH,6,BEARISH
AMD,2025-05-14 04:00:00+00:00,GAP_UP,5-8%,MAX_BULLISH,1,0.017034,0.022879,0.026219,0.5964,0.6835,90.0,100.0,-51.35,5.97,-57.32,TS_FALLING,BEARISH,18,BEARISH
AMD,2025-05-27 04:00:00+00:00,GAP_UP,2-5%,BEARISH,0,-0.011398,0.019394,0.007952,0.4776,0.1958,115.0,100.0,100.0,100.0,0.0,TS_FLAT,BULLISH,23,BULLISH
AMZN,2024-10-04 04:00:00+00:00,GAP_UP,2-5%,BULLISH,0,-0.003714,0.009661,0.011679,0.4528,0.5474,55.0,62.27,88.97,100.0,-11.03,TS_FALLING,BULLISH,11,BEARISH
ANF,2024-05-24 04:00:00+00:00,GAP_UP,2-5%,BEARISH,0,-0.007584,0.016007,0.003859,0.5656,0.1364,80.0,31.35,100.0,100.0,0.0,TS_FLAT,BULLISH,15,BULLISH
ANF,2024-08-08 04:00:00+00:00,GAP_UP,2-5%,BEARISH,0,-0.044435,0.045323,0.010886,0.7482,0.1797,165.0,-27.99,100.0,92.47,7.53,TS_FLAT,BULLISH,30,BULLISH
ANF,2025-03-24 04:00:00+00:00,GAP_UP,2-5%,BULLISH,1,0.022318,0.011467,0.037115,0.1756,0.5682,130.0,-5.06,-87.49,-45.94,-41.55,TS_FALLING,BEARISH,26,BEARISH
ANF,2025-11-25 05:00:00+00:00,GAP_UP,12%+,MAX_BULLISH,0,-0.151786,0.154974,0.02551,3.1012,0.5105,15.0,82.28,100.0,,,UNKNOWN,BULLISH,3,BEARISH
ANF,2024-04-02,GAP_DN,2-5%,BEARISH,1,0.033669,0.033748,0.023914,0.7601,0.5386,345.0,-41.51,100.0,100.0,0.0,TS_FLAT,BULLISH,65,BULLISH
ANF,2024-07-17,GAP_DN,2-5%,MAX_BEARISH,0,-0.042639,0.025724,0.045432,0.5697,1.0062,20.0,-83.4,-61.04,,,UNKNOWN,BEARISH,4,BULLISH
ANF,2024-08-05,GAP_DN,5-8%,BEARISH,1,0.082207,0.098986,0.022936,1.5197,0.3521,15.0,6.79,-5.77,,,UNKNOWN,NEUTRAL,3,BULLISH
ANF,2025-03-04,GAP_DN,2-5%,MAX_BEARISH,1,0.01713,0.037115,0.021466,0.7604,0.4398,220.0,-20.86,100.0,100.0,0.0,TS_FLAT,BULLISH,44,BULLISH
ANF,2025-03-05,GAP_DN,12%+,BEARISH,1,0.039106,0.041959,0.051468,0.6349,0.7788,380.0,-1.12,54.66,92.68,-38.02,TS_FALLING,BULLISH,76,BULLISH
ANF,2025-11-24,GAP_DN,2-5%,BULLISH,0,-0.03739,0.007185,0.040029,0.1996,1.112,30.0,-18.58,-91.75,-28.72,-63.02,TS_FALLING,BEARISH,6,BEARISH
ANF,2026-01-12,GAP_DN,12%+,MAX_BEARISH,0,-0.002767,0.030047,0.040726,0.5117,0.6936,150.0,-54.64,-16.87,-75.26,58.39,TS_RISING,BEARISH,30,BULLISH
ANF,2026-02-27,GAP_DN,2-5%,MAX_BEARISH,1,0.008664,0.022898,0.010057,0.5301,0.2328,30.0,88.23,100.0,,,UNKNOWN,BULLISH,4,BULLISH
ANF,2026-03-03,GAP_DN,2-5%,BEARISH,1,0.039049,0.044075,0.030779,0.9809,0.685,200.0,-57.79,100.0,100.0,0.0,TS_FLAT,BULLISH,36,BEARISH
ANF,2026-03-05,GAP_DN,2-5%,BULLISH,0,-0.051666,0.008477,0.063898,0.1548,1.1671,25.0,-8.75,-100.0,-8.75,-91.25,TS_FALLING,BEARISH,5,BEARISH
APLD,2024-02-01 05:00:00+00:00,GAP_UP,2-5%,BULLISH,1,0.049336,0.010436,0.059772,0.1095,0.6269,80.0,-100.0,-100.0,-84.97,-15.03,TS_FALLING,BEARISH,15,BEARISH
APLD,2024-05-14 04:00:00+00:00,GAP_UP,2-5%,BEARISH,0,-0.007022,0.053371,0.030899,0.7766,0.4496,135.0,-22.63,100.0,100.0,0.0,TS_FLAT,BULLISH,25,BULLISH
APLD,2024-05-15 04:00:00+00:00,GAP_UP,2-5%,BULLISH,0,-0.018792,0.024161,0.037584,0.3642,0.5665,55.0,53.49,6.47,31.61,-25.14,TS_FALLING,NEUTRAL,11,NEUTRAL
