Date,Close,High,Low,Open,Volume
2023-01-03,259.7959289550781,265.3654934443189,257.48754271282064,263.8920592442093,42335300
2023-01-04,261.0335693359375,262.7133057533719,257.8804288307471,261.91765375652096,47754900
2023-01-05,256.9472961425781,259.5307225443291,256.6329862583549,259.3637501022572,45396700
2023-01-06,264.03936767578125,265.1591919339073,255.72920809325254,258.6859086561472,54659700
2023-01-09,265.74859619140625,270.41447107881527,265.1395815287533,266.03343854839227,45568700
2023-01-10,267.9980773925781,268.10614484433734,264.2064536565697,264.71723349305375,35247800
2023-01-11,272.6344299316406,272.74249736124165,268.28289478164135,269.06874434252666,44077000
2023-01-12,274.1078186035156,275.13924036014834,268.89186479148395,273.19429674425373,60600000
2023-01-13,275.9938659667969,276.2394383275184,271.2690561446822,271.60303095801214,44802900
2023-01-17,276.5537414550781,277.84053805638007,274.6284328189318,275.7973594990596,36269700
2023-01-18,272.95855712890625,279.6479449041405,272.7522847682458,278.09591101359615,47754500
2023-01-19,270.2769470214844,272.4674633746698,269.0392826492269,271.3280039696785,44150400
2023-01-20,277.673583984375,278.00755881149314,270.8270250857129,271.88791451500214,60613600
2023-01-23,283.8422546386719,285.0701160339872,277.7226126297545,278.51826441575207,52799900
2023-01-24,283.2627868652344,284.42188115202566,281.7009503309119,282.2215625090194,44875100
2023-01-25,282.6341247558594,283.25294186404454,276.2001115432987,278.744237356144,50872000
2023-01-26,288.1448059082031,288.32161082834824,283.4101631992241,286.0623569097901,51596300
2023-01-27,291.0130615234375,292.97764028486847,286.71062923956885,286.82849916891985,56441900
2023-01-30,285.12908935546875,289.1663137546794,284.7558446218129,287.74198235359313,49405800
2023-01-31,289.40216064453125,289.50039560113544,285.06045734736597,285.16849481566055,46705100
2023-02-01,295.590576171875,298.05610248785,287.1232153108514,289.1958617905142,67562200
2023-02-02,306.1993103027344,308.12458949365566,301.29769487157955,302.12281452483154,83070600
2023-02-03,300.75732421875,306.85736222421656,299.14638538944257,299.53929510558413,76170800
2023-02-06,298.2132263183594,300.4921448518524,296.8674946774453,298.13465635865975,40802300
2023-02-07,304.3918762207031,305.5215031546049,296.96576997046435,298.0855644166576,67584000
2023-02-08,298.9793701171875,304.01851869676693,298.29178563789054,303.07552942331165,56720900
2023-02-09,296.33709716796875,303.5176312087087,294.8833278540521,303.37029377514915,49137800
2023-02-10,294.3921203613281,296.22899658819284,291.98549954330554,294.17601551245633,50050100
2023-02-13,299.1071472167969,299.6965269013132,294.6180770903373,295.79683645936996,39636700
2023-02-14,301.3172607421875,302.27008261908674,295.5806944853738,297.525638207101,64079100
2023-02-15,303.6257019042969,303.7926743384244,298.8124891680649,299.5000738577565,43100600
2023-02-16,297.9283447265625,302.96749383532796,297.7810073210326,298.9892340005614,59498600
2023-02-17,295.8262634277344,296.5826154333962,292.82046042318797,295.7378609837291,58230700
2023-02-21,288.82257080078125,293.4393432868049,288.68506586348246,291.99537657114183,46526700
2023-02-22,289.0386657714844,291.1112820869066,287.37859423090794,289.40210806549914,51389200
2023-02-23,291.5631103515625,292.84990690607964,287.3687159540404,292.69273702453154,69294400
2023-02-24,286.68121337890625,287.78137288707455,284.91307418898003,286.59281091597467,74332000
2023-02-27,288.734130859375,291.2389566843378,288.14475126023916,289.8441226093777,48995000
2023-02-28,288.3608093261719,290.8754672291846,287.77142982266554,288.10540454666557,48243100
2023-03-01,286.0426940917969,288.72432505115296,285.0604046615051,288.06620792003037,58287000
2023-03-02,288.40997314453125,289.2154576380953,283.26278633831913,283.5476586547441,53565900
2023-03-03,294.3724365234375,294.6082063288815,289.6476276085931,290.1584372061476,60511500
2023-03-06,294.7064514160156,298.6159739722746,294.5100115246582,295.610170842958,56736300
2023-03-07,291.0916442871094,295.67894908673577,290.4826296406142,294.75559463008375,65955800
2023-03-08,292.54547119140625,293.14465340785966,289.65753761282446,291.514049212143,50876300
2023-03-09,287.4768371582031,295.6494926655165,286.66152011867,293.0464016130532,71456700
2023-03-10,283.4395751953125,289.13687131596237,282.2903134622696,287.6437723436789,98593600
2023-03-13,285.5416259765625,289.2546776417893,280.13903583007937,281.6517694646784,97123600
