ticker,signal_time,signal_bar_bucket,entry_price,cs_score,gap_pct,is_earnings,catalyst_proxy,catalyst_strength_bucket,group,group_primary,ticker_quality,return_6bar,win_raw_6bar,win_thr_6bar,return_12bar,win_raw_12bar,win_thr_12bar,return_24bar,win_raw_24bar,win_thr_24bar,return_eod,win_raw_eod,win_thr_eod,mfe_session,mae_session
NVDA,2024-11-11T09:40:00-05:00,EARLY_OPEN,145.2,-100.0,0.7112,False,NONE,NONE,E,E,STRONG_SHORT,0.0005509641873277141,1,0,-0.003960055096418851,0,0,-0.0012396694214876504,0,0,-0.0005853994490358675,0,0,0.011088154269972351,0.008746556473829272
NVDA,2024-11-11T09:45:00-05:00,OPEN_WINDOW,145.64,-100.0,0.7112,False,NONE,NONE,E,E,STRONG_SHORT,0.0050810216973357645,1,1,-0.0022658610271904184,0,0,0.001029936830540904,1,1,0.0024375171656137724,1,1,0.014075803350727707,0.005698983795660619
NVDA,2024-11-11T09:50:00-05:00,OPEN_WINDOW,145.08,-100.0,0.7112,False,NONE,NONE,E,E,STRONG_SHORT,0.0005514199062587021,1,0,-0.007409704990350072,0,0,-0.0016542597187757144,0,0,-0.0014130135097875935,0,0,0.010270195754066784,0.009580920871243357
NVDA,2024-11-11T09:55:00-05:00,OPEN_WINDOW,143.99,-100.0,0.7112,False,NONE,NONE,E,E,STRONG_SHORT,-0.0069449267310229875,0,0,-0.01548718661018119,0,0,-0.00944510035419116,0,0,-0.008993680116674682,0,0,0.0027779706924092344,0.017223418292936936
NVDA,2024-11-15T09:30:00-05:00,FIRST_BAR,143.7,-83.8798,-1.2878,False,NONE,NONE,E,E,STRONG_SHORT,0.00027835768963112073,1,0,0.004801670146137771,1,1,0.005288796102992282,1,1,0.010647181628392493,1,1,0.02505219206680581,0.006019485038274246
NVDA,2024-11-15T09:35:00-05:00,EARLY_OPEN,144.09,-86.8712,-1.2878,False,NONE,NONE,E,E,STRONG_SHORT,0.005552085502116812,1,1,0.00902213894093977,1,1,0.010861267263515842,1,1,0.013325005205080268,1,1,0.027691026441807265,0.0032965507668817704
NVDA,2024-11-15T09:40:00-05:00,EARLY_OPEN,143.76,-100.0,-1.2878,False,NONE,NONE,E,E,STRONG_SHORT,0.004730105731775031,1,1,0.008868948247078307,1,1,0.010503617139677178,1,1,0.011060100166944933,1,1,0.025459098497495804,0.00559961046188096
NVDA,2024-11-15T09:45:00-05:00,OPEN_WINDOW,144.26,-100.0,-1.2878,False,NONE,NONE,E,E,STRONG_SHORT,0.012338832663246924,1,1,0.009358103424372622,1,1,0.01531956190212103,1,1,0.014487730486621402,1,1,0.028836822403992768,0.0021142381810620187
NVDA,2024-11-15T09:50:00-05:00,OPEN_WINDOW,144.23,-100.0,-1.2878,False,NONE,NONE,E,E,STRONG_SHORT,0.01154406156832831,1,1,0.008874713998474667,1,1,0.015218747833321732,1,1,0.01428274284129517,1,1,0.02863481938570336,0.001456007765374804
NVDA,2024-11-15T09:55:00-05:00,OPEN_WINDOW,143.84,-100.0,-1.2878,False,NONE,NONE,E,E,STRONG_SHORT,0.010150166852057897,1,1,0.004449388209121348,1,1,0.016893770856507277,1,1,0.011610122358175861,1,1,0.02600111234705234,0.0031284760845382968
