ticker,session_date,direction,atr14_prev,session_open,trigger_bar_exact,trigger_timing_bucket,trigger_magnitude_atr,trigger_magnitude_bucket,trigger_time,cloud_touch_any,touch_ema10,cloud_entry,touch_ema21,cloud_contact_time,directional_breach,directional_breach_time,cloud_flip,cloud_flip_time,new_extreme_after_breach,min_breach_to_new_extreme,new_extreme_after_flip,min_flip_to_new_extreme
AA,2025-04-10,short,2.4364285714285705,24.71,3,first_30m,0.5664028144239238,0.50-0.70,2025-04-10 08:40:00-05:00,True,True,True,True,2025-04-10 08:45:00-05:00,True,2025-04-10 09:20:00-05:00,False,,True,75.0,False,
AA,2025-05-12,long,1.1328571428571437,27.5,1,first_30m,0.7944514501891533,0.70-1.00,2025-05-12 08:30:00-05:00,True,True,True,True,2025-05-12 08:35:00-05:00,True,2025-05-12 08:35:00-05:00,True,2025-05-12 08:35:00-05:00,True,250.0,True,250.0
AA,2025-05-13,long,1.0475000000000008,28.2,1,first_30m,0.563245823389021,0.50-0.70,2025-05-13 08:30:00-05:00,True,True,True,True,2025-05-13 08:35:00-05:00,True,2025-05-13 08:35:00-05:00,True,2025-05-13 08:35:00-05:00,False,,False,
AA,2025-05-14,long,1.0239285714285722,28.79,1,first_30m,0.6348099058249057,0.50-0.70,2025-05-14 08:30:00-05:00,True,True,True,True,2025-05-14 08:35:00-05:00,True,2025-05-14 08:55:00-05:00,False,,True,125.0,False,
AA,2025-05-15,long,1.0550000000000008,28.135,1,first_30m,0.5071090047393362,0.50-0.70,2025-05-15 08:30:00-05:00,True,True,True,True,2025-05-15 08:35:00-05:00,True,2025-05-15 08:35:00-05:00,True,2025-05-15 08:35:00-05:00,True,100.0,True,100.0
AA,2025-05-19,long,1.112500000000001,28.72,7,second_30m,0.7820224719101126,0.70-1.00,2025-05-19 09:00:00-05:00,True,True,True,False,2025-05-19 09:30:00-05:00,False,,False,,False,,False,
AA,2025-05-21,long,1.1185714285714297,28.58,2,first_30m,0.5542784163473822,0.50-0.70,2025-05-21 08:35:00-05:00,True,True,True,True,2025-05-21 09:00:00-05:00,True,2025-05-21 09:05:00-05:00,False,,False,,False,
AA,2025-05-28,short,1.0810714285714291,28.24,5,first_30m,0.5041295011562583,0.50-0.70,2025-05-28 08:50:00-05:00,True,True,True,True,2025-05-28 08:55:00-05:00,True,2025-05-28 09:30:00-05:00,False,,False,,False,
AA,2025-05-29,short,1.0321428571428577,28.325,8,second_30m,0.5280276816608975,0.50-0.70,2025-05-29 09:05:00-05:00,True,True,True,False,2025-05-29 09:55:00-05:00,True,2025-05-29 09:55:00-05:00,False,,True,60.0,False,
AA,2025-06-02,long,0.9607142857142862,26.08,1,first_30m,0.6505576208178435,0.50-0.70,2025-06-02 08:30:00-05:00,True,True,True,True,2025-06-02 08:35:00-05:00,True,2025-06-02 08:40:00-05:00,True,2025-06-02 08:40:00-05:00,False,,False,
