ticker,event_date,directional_efficiency,reversal_count,avg_wick_ratio,avg_clv_rth,orb_breakout,regime
MU,2020-09-30,0.8230452674897121,116,35.42133774163131,-0.10132111989707397,True,DOWNSIDE
NVDA,2020-09-30,0.8065217391304375,78,1.89281521419259,0.12429676553475472,True,DOWNSIDE
AMD,2020-09-30,0.1198156682027607,76,1.5707200044268435,0.0016754713844794893,True,DOWNSIDE
AVGO,2020-09-30,0.12472160356347464,113,0.8715337757156917,-0.005588412394549353,True,DOWNSIDE
QCOM,2020-09-30,0.2449888641425451,74,9.052980308350334,-0.034992974884714215,True,DOWNSIDE
INTC,2020-09-30,0.46781115879828505,101,1.1961690898932864,0.11374547691047705,True,DOWNSIDE
TXN,2020-09-30,0.6062767475035671,88,38.737551067364834,0.04393567127942332,True,DOWNSIDE
AMAT,2020-09-30,0.05907172995780603,85,72.74784022819617,-0.0668534794024333,True,DOWNSIDE
LRCX,2020-09-30,0.5993006993007,36,35.25916668028883,-0.06253790450695691,True,DOWNSIDE
KLAC,2020-09-30,0.06653620352250539,79,17.399163041078808,-0.0972537951049715,True,DOWNSIDE
ASML,2020-09-30,0.06623735050597178,29,0.2640178047865108,0.0786591346635243,True,DOWNSIDE
TSM,2020-09-30,0.3498098859315618,65,1.544483096848877,0.021796819953685213,True,DOWNSIDE
MRVL,2020-09-30,0.7903930131004355,80,9.306338939355593,0.04758469005590584,True,DOWNSIDE
ON,2020-09-30,0.16853932584269493,82,8.499867393205642,0.15936304532845505,True,DOWNSIDE
MPWR,2020-09-30,0.7436661698956817,49,0.03972263848325419,0.09124008316562628,True,DOWNSIDE
MCHP,2020-09-30,0.11032863849765255,80,26.71769500708325,-0.10472377864788165,True,DOWNSIDE
ADI,2020-09-30,0.025510204081631283,92,1.8424406502630515,-0.04961456839386757,True,DOWNSIDE
MU,2020-12-22,0.565989847715741,86,21.805129268892674,-0.0062586046798305955,True,DOWNSIDE
NVDA,2020-12-22,0.08130841121495334,103,0.44431679134264024,0.06795814093892663,True,DOWNSIDE
AMD,2020-12-22,0.09230769230769059,107,18.059354778815138,0.059763539997312605,True,DOWNSIDE
AVGO,2020-12-22,0.9862204724409461,54,1.291921603605765,-0.024414429713435732,True,DOWNSIDE
QCOM,2020-12-22,0.2341463414634222,28,2.505958572395264,0.08852856232383385,True,DOWNSIDE
INTC,2020-12-22,0.12727272727272845,8,32.80466577960016,0.04251531670793599,True,DOWNSIDE
TXN,2020-12-22,0.1652892561983601,49,8.142423715313402,0.09507867820728973,True,DOWNSIDE
AMAT,2020-12-22,0.9035532994923868,40,13.91496438999077,0.0375010450951976,True,DOWNSIDE
LRCX,2020-12-22,0.11699346405228468,59,0.8413831202487321,-0.046232992560331365,True,DOWNSIDE
KLAC,2020-12-22,0.4800443458980099,79,0.7894317721140431,-0.11893635469290398,True,DOWNSIDE
ASML,2020-12-22,0.6953846153846243,20,0.3168293099385179,0.08532690741992416,True,DOWNSIDE
TSM,2020-12-22,0.4865470852017901,92,27.6870528648842,-0.006184523851586146,True,DOWNSIDE
MRVL,2020-12-22,0.2553191489361684,103,18.626048532435266,-0.05007441775424317,True,DOWNSIDE
ON,2020-12-22,0.2365591397849469,66,20.733417561950034,0.0004453427575823555,True,DOWNSIDE
MPWR,2020-12-22,0.6257053291536043,92,127.35682234150264,0.1197366329507767,True,DOWNSIDE
MCHP,2020-12-22,0.6552419354838661,67,48.29736520095333,0.09873921757039932,True,DOWNSIDE
ADI,2020-12-22,0.7700000000000102,62,22.75693524731428,-0.059535640889636775,True,DOWNSIDE
MU,2021-04-01,0.19677419354838727,98,21.228352119753215,-0.027397386214694126,True,FLAT
NVDA,2021-04-01,0.7141833810888312,78,53.38384486209394,0.08128653971067405,True,FLAT
AMD,2021-04-01,0.5222222222222218,80,11.15126161725972,0.06381541885774142,True,FLAT
