event_date,news_count_total,news_count_pre_open,news_count_intraday,pre_open_flag,intraday_flag,top_headline,top_source,prev_close,open_price,open_gap_pct,day_high_rth,open_to_high_pct_rth,close_price,open_to_close_pct,tplus1_return_pct,tplus3_return_pct,event_volume,avg_volume_6mo,volume_spike_ratio,time_to_high_minutes,firsthour_open_to_high_pct
2020-12-16,4,3,1,True,True,"Cannabis Stocks Move Higher Amid Report Tilray, Aphria In Advanced Merger Talks",,7.86,9.95,26.590330788804057,10.0,0.5025125628140775,9.33,-6.231155778894465,-3.9657020364415776,-10.128617363344054,982565.0,,,215.0,0.0
2020-12-17,3,1,2,True,True,Flowr Reports Strategic Warehousing Deal With Tilray To 'take a collaborative approach to furthering their cannabis businesses in the European Union',,9.33,9.35,0.2143622722400812,9.4,0.5347593582887776,8.96,-4.171122994652394,-0.8370535714285832,-5.636160714285722,245570.0,,,0.0,0.5347593582887776
2020-12-21,1,1,0,True,False,"The Week In Cannabis: Tilray-Aphria Merge, Aurora Continues Layoffs, Financings, Earnings, M&A",,8.885,8.53,-3.9954980303882994,8.845,3.6928487690504253,8.385,-1.6998827667057397,0.8348240906380475,2.2063208109719796,220444.0,,,25.0,3.6928487690504253
2020-12-23,1,0,1,False,True,Cannabis Stocks Spike Higher On Volume,,8.455,8.55,1.1235955056179852,9.3,8.771929824561402,8.895,4.0350877192982315,-3.65373805508712,-7.700955593029778,212263.0,,,319.0,0.760233918128649
2020-12-29,2,0,2,False,True,Cannabis Countdown: Top 10 Marijuana And Psychedelic Stock News Stories Of The Week,,8.365,8.46,1.1356843992827332,8.48,0.23640661938533772,8.21,-2.9550827423167845,4.8721071863580825,9.622411693057236,89741.0,,,2.0,0.23640661938533772
2020-12-30,1,0,1,False,True,Cannabis Stocks At New Session Highs,,8.21,8.21,0.0,8.76,6.699147381242374,8.61,4.8721071863580825,-4.065040650406501,10.394889663182362,81047.0,,,260.0,2.070645554202191
2021-01-04,2,2,0,True,False,'492K cannabis arrest records expunged years early' -23 WIFR Report,,8.26,8.435,2.1186440677966187,9.18,8.832246591582681,9.0,6.698280972139887,5.61111111111112,26.111111111111107,188272.0,,,36.0,8.832246591582681
2021-01-06,2,0,2,False,True,Cannabis Stocks Mover Higher; New York Governor Cuomo Announces Proposal To Legalize Cannabis Program; Says Legalization Expected To Generate Over $300M In Tax Revenue,,9.505,11.01,15.833771699105723,12.0,8.99182561307902,10.765,-2.2252497729336898,5.434277751973981,14.259173246632606,500791.0,,,264.0,2.452316076294274
2021-01-11,2,1,1,True,True,The Week In Cannabis: Stocks Surge On Heels Of Georgia Runoff; NY Legalization; M&A And Financings Spike,,11.32,11.05,-2.385159010600703,12.715,15.067873303167412,12.3,11.312217194570135,8.455284552845521,50.81300813008129,292709.0,,,150.0,11.583710407239813
2021-01-15,1,1,0,True,False,"Cannabis Stocks Higher After Hours: Aurora Cannabis Shares Up 4.8%, Aphria, Sundial Growers Up 4%, Tilray Up 3.7%, Canopy Growth, Cronos Up 2%",,18.55,21.56,16.22641509433961,22.555,4.615027829313548,19.7,-8.627087198515767,1.954314720812191,-9.086294416243652,1338337.0,,,16.0,4.615027829313548
2021-01-21,1,0,1,False,True,Why Cannabis Stocks Are Trading Lower Today,,18.805,18.07,-3.9085349641052884,18.29,1.2174875484227938,17.91,-0.8854454897620373,0.5583472920156416,6.253489670575103,270527.0,,,3.0,1.2174875484227938
2021-01-26,1,1,0,True,False,Tilray Selected By French National Agency To Supply GMP-Certified Medical Cannabis Products To Patients For A Medical Cannabis Experiment,,17.19,18.21,5.933682373472946,19.81,8.786381109280603,19.03,4.503020318506317,-2.1019442984761016,-4.676826064109304,345878.0,,,25.0,8.786381109280603
2021-01-29,1,0,1,False,True,"Cannabis Stocks Move Higher; Traders Circulate Stifel Note Saying 'We Have Learned That Senate Majority Leader Chuck Shumer Has Confirmed He, Along With Dem. Senators And Some Republicans, Are Crafting A Federal Cannabis Reform Bill'",,18.715,18.78,0.34731498797756494,20.4,8.626198083067079,18.14,-3.407880724174657,5.071664829106936,44.90077177508269,343364.0,,,107.0,0.7454739084132085
2021-02-01,6,3,3,True,True,"The Week In Cannabis: Arizona Adult-Use Sales, Big Financings, M&A, And A Nasdaq Debut",,18.14,19.02,4.85115766262403,19.48,2.418506834910625,19.06,0.21030494216613643,23.137460650577125,40.55613850996853,231410.0,,,363.0,0.0
2021-02-02,2,0,2,False,True,Cannabis Stocks Mark New Session Highs: Tilray Up 15%; Cronos Group Up Up 12%; Aphria Up 10%; Canopy Growth Up 6.5%; AbbVie Up 1.3%,,19.06,19.72,3.4627492130115436,24.055,21.982758620689662,23.47,19.016227180527384,11.99403493821901,9.629314017895192,691043.0,,,382.0,8.620689655172429
2021-02-03,3,2,1,True,True,"Marijuana Stocks Move Higher Following Jazz Pharma Deal For GW Pharma; BZ NOTE: GW Pharma Was One Of The First Pharma Companies To Use Cannabinoids For Medical Therapy For Epilepsy, Other Forms Of Seizure, Etc.",,23.47,25.4,8.223263740945889,28.8,13.385826771653553,26.285,3.4842519685039433,1.9212478599961917,14.628114894426474,869447.0,,,102.0,7.559055118110243
2021-02-05,1,0,1,False,True,"Cannabis Stocks Spiked Higher About An Hour Ago Following Bloomberg Headline Republican, Democrat Senators Introduced A Bill To Expand Marijuana Research",,26.79,27.11,1.1944755505785751,27.32,0.7746219107340496,25.73,-5.0903725562523015,17.100660707345504,147.84298484259622,175371.0,,,107.0,0.35042419771301686
2021-02-08,1,1,0,True,False,"The Week In Cannabis: Stocks Up By Double-Digits On Jazz Pharma's GWPH Acquisition, Potential Federal Moves",,25.73,26.3,2.2153128643606697,30.56,16.1977186311787,30.13,14.562737642585544,40.292067706604726,6.903418519747766,343145.0,,,171.0,7.946768060836501
2021-02-09,1,1,0,True,False,Is Tilray Set For Another Short Squeeze?,,30.13,35.1,16.495187520743453,45.44,29.458689458689445,42.27,20.427350427350433,50.86349656967116,-31.263307310149045,1282265.0,,,99.0,9.430199430199417
2021-02-16,3,1,2,True,True,"This Week In Cannabis: Tilray, Aphria, Sundial Go For A Ride; ETFs Pop With CNBS Advancing 99%",,29.055,31.04,6.83187059025985,36.3,16.94587628865979,34.59,11.436855670103107,-8.788667244868465,-15.437987857762367,470562.0,,,246.0,3.7048969072164906
2021-02-18,5,4,1,True,True,Tilray Says Deal With Aphria Expected To Close In Q2'21,,31.55,33.035,4.706814580031683,35.09,6.220675041622543,27.11,-17.93552293022551,7.893766137956476,-8.520841018074506,366804.0,,,3.0,6.220675041622543
2021-02-19,1,1,0,True,False,Tilray CEO Touts Many 'Cannabis Firsts' In Glowing Letter To Employees After Earnings Call,,27.11,27.83,2.655846551088155,29.83,7.186489399928135,29.25,5.102407473948983,-10.119658119658123,-4.410256410256407,111841.0,,,94.0,4.707150556952937
2021-02-22,5,2,3,True,True,3 Reasons Cannabis Stocks May Be Headed Lower,,29.25,27.245,-6.854700854700852,28.815,5.762525233987889,26.29,-3.5052303174894544,-5.667554203119051,-6.808672499049065,218169.0,,,220.0,3.395118370343185
2021-02-24,1,1,0,True,False,"Cannabis Stock Gainers And Losers From February 23, 2021",,24.8,25.485,2.762096774193543,28.17,10.535609181871699,27.96,9.71159505591525,-12.374821173104438,-8.547925608011447,99648.0,,,386.0,3.9827349421228195
2021-02-25,1,1,0,True,False,Hearing 'Alabama Senate Passes The Medical Marijuana Bill 21-8. It Now Moves To The House.',,27.96,26.8,-4.148783977110158,27.57,2.8731343283582076,24.5,-8.58208955223881,-0.5714285714285737,5.755102040816327,160578.0,,,10.0,2.8731343283582076
2021-03-16,1,0,1,False,True,"'NYS Senate leader on status of talks to legalize recreational marijuana. ""We have reached a little bit of an impasse right now on impaired driving""' -Tweet",,30.48,30.54,0.1968503937007832,30.54,0.0,26.97,-11.689587426326131,1.983685576566556,-6.06229143492769,566707.0,,,0.0,0.0
2021-03-18,3,1,2,True,True,"'Cannabis banking bill will be reintroduced in the House tomorrow by @RepPerlmutter. The bill passed the House 321-103 in 2019, then stalled in the Senate' -Tweet From POLITICO Cannabis Reporter",,27.505,26.93,-2.0905289947282286,28.085,4.288897140735243,25.3,-6.052729298180464,0.13833992094861716,-8.181818181818183,181565.0,,,69.0,3.6019309320460415
2021-03-23,1,0,1,False,True,'New York Lawmakers Overcome Marijuana Legalization 'Impasse' And Expect Bill In 'Next Day Or So' -MarijuanaMoment Report,,23.9,23.24,-2.7615062761506284,24.65,6.0671256454388995,23.23,-0.04302925989672122,-4.433921653034874,-5.165733964700815,266480.0,,,262.0,3.829604130808953
2021-03-24,4,0,4,False,True,"Tilray Shares Spike Higher, New York Governor Cuomo Says Cannabis Legalization Is Top Priority",,23.23,23.36,0.5596211795092509,24.42,4.537671232876722,22.2,-4.965753424657534,2.882882882882886,-2.657657657657657,197411.0,,,270.0,0.834760273972604
2021-03-26,1,1,0,True,False,"Watching Cannabis Stocks Following Report 'Virginia Governor Signals He'll Push To Legalize Marijuana On July 1, Ahead Of Schedule' -Tweet From Cannabis News Publication, Marijuana Moment",,22.84,23.235,1.7294220665499107,23.235,0.0,22.03,-5.186141596729065,-1.9064911484339615,3.268270540172487,64495.0,,,0.0,0.0
2021-03-31,3,1,2,True,True,3 Cannabis Stocks Looking For Support: Technical Levels To Watch,,21.99,22.965,4.43383356070942,24.04,4.681036359677767,22.75,-0.9362072719355534,-1.8461538461538536,-7.120879120879126,100890.0,,,29.0,4.681036359677767
2021-04-07,1,0,1,False,True,"Tilary Shares See Volume; Traders Circulate Politico Reporter Tweet Highlighting Alcohol, Tobacco Tax And Trade Bureau Has Been Meeting With National Cannabis Groups",,21.13,20.76,-1.7510648367250234,20.93,0.8188824662813012,19.76,-4.816955684007707,0.05060728744938264,-13.259109311740893,116390.0,,,5.0,0.8188824662813012
2021-04-12,3,1,2,True,True,"Cannabis Analyst: March Earning Season May Not Push Canadian LPs, But There Are Other Catalysts",,19.78,17.95,-9.251769464105166,18.11,0.8913649025069647,17.14,-4.512534818941497,6.88448074679113,-1.1668611435239165,346341.0,,,0.0,0.8913649025069647
2021-04-15,4,1,3,True,True,"Cannabis Stock Gainers And Losers From April 14, 2021",,17.39,17.67,1.6101207590569357,18.42,4.244482173174872,16.94,-4.1312959818902115,1.446280991735522,-6.286894923258567,176329.0,,,8.0,4.244482173174872
2021-04-16,1,0,1,False,True,"'Marijuana Banking Bill Expected To Get A House Floor Vote Next Week, Sponsor's Office Says' -Marijuana Moment",,16.94,16.68,-1.5348288075560894,17.26,3.477218225419675,17.185,3.027577937649874,1.3674716322374338,-2.269421006691865,98395.0,,,79.0,1.5587529976019279
2021-04-19,1,1,0,True,False,"The Week In Cannabis: New Mexico, Switzerland, Federal Legalization, Aphria, Organigram And More",,17.185,17.21,0.14547570555718436,18.48,7.379430563625797,17.42,1.220220801859389,-8.869115958668207,-5.510907003444322,175141.0,,,26.0,7.379430563625797
2021-04-20,3,0,3,False,True,"Cannabis Countdown: Top 10 Marijuana And Psychedelic Stock News Stories Of The Week, 4/20/2021",,17.42,18.02,3.4443168771526853,18.15,0.7214206437291844,15.875,-11.90344062153163,5.795275590551192,7.653543307086613,140347.0,,,1.0,0.7214206437291844
2021-04-21,2,1,1,True,True,"Aphria CEO Discusses Tilray Merger On 420, Says Combined Company 'Will Be Ready' For US Legalization",,15.875,15.4,-2.9921259842519663,16.81,9.155844155844145,16.795,9.058441558441567,-1.9946412622804455,6.1030068472759655,119887.0,,,386.0,6.233766233766228
2021-04-22,1,1,0,True,False,"Cannabis Stock Gainers And Losers From April 21, 2021",,16.795,17.02,1.3396844298898354,17.11,0.528789659224441,16.46,-3.2902467685076306,3.8274605103280614,7.685297691373029,99675.0,,,191.0,0.0
