2026-02-14T13:21:13 | INFO     | levels_engine.cli | Levels Engine started for ['SPY'] → C:\QuantLab\Data_Lab\data\levels\2026-02-14
2026-02-14T13:21:13 | INFO     | levels_engine.cli | ============================================================
2026-02-14T13:21:13 | INFO     | levels_engine.cli | Processing SPY
2026-02-14T13:21:13 | INFO     | levels_engine.cli | ============================================================
2026-02-14T13:21:21 | ERROR    | levels_engine.alpaca_options | Request failed after 3 retries: 401 Client Error: Unauthorized for url: https://data.alpaca.markets/v2/stocks/SPY/snapshot?feed=iex
2026-02-14T13:21:21 | ERROR    | levels_engine.cli | Options fetch/compute failed for SPY: 401 Client Error: Unauthorized for url: https://data.alpaca.markets/v2/stocks/SPY/snapshot?feed=iex
2026-02-14T13:21:22 | INFO     | levels_engine.io | Wrote JSON → C:\QuantLab\Data_Lab\tools\levels_engine\.cache\company_tickers.json
2026-02-14T13:21:24 | INFO     | levels_engine.edgar_fetch | CIK 0000884394: 0 filings in lookback window
2026-02-14T13:21:24 | INFO     | levels_engine.edgar_fetch | SPY: no filings in lookback window
2026-02-14T13:21:24 | INFO     | levels_engine.arb_extract | SPY: 0 unique arb levels from 0 filings (0 raw matches)
2026-02-14T13:21:24 | INFO     | levels_engine.io | Wrote JSON → C:\QuantLab\Data_Lab\data\levels\2026-02-14\arb_levels_SPY.json
2026-02-14T13:21:24 | INFO     | levels_engine.io | Wrote text → C:\QuantLab\Data_Lab\data\levels\2026-02-14\LEVELS_REPORT_SPY.md
2026-02-14T13:21:24 | INFO     | levels_engine.cli | ============================================================
2026-02-14T13:21:24 | INFO     | levels_engine.cli | DONE — 1/1 tickers processed
2026-02-14T13:21:24 | INFO     | levels_engine.cli |   → C:\QuantLab\Data_Lab\data\levels\2026-02-14\arb_levels_SPY.json
2026-02-14T13:21:24 | INFO     | levels_engine.cli |   → C:\QuantLab\Data_Lab\data\levels\2026-02-14\LEVELS_REPORT_SPY.md
2026-02-14T13:21:24 | INFO     | levels_engine.cli | ============================================================
2026-02-14T13:43:04 | INFO     | levels_engine.cli | Levels Engine started for ['SPY'] → C:\QuantLab\Data_Lab\data\levels\2026-02-14
2026-02-14T13:43:04 | INFO     | levels_engine.cli | ============================================================
2026-02-14T13:43:04 | INFO     | levels_engine.cli | Processing SPY
2026-02-14T13:43:04 | INFO     | levels_engine.cli | ============================================================
2026-02-14T13:43:05 | INFO     | levels_engine.alpaca_options | SPY spot = 681.61
2026-02-14T13:43:17 | INFO     | levels_engine.alpaca_options | SPY snapshots (raw) = 12174
2026-02-14T13:43:17 | INFO     | levels_engine.alpaca_options | SPY contracts (filtered to 8 expirations) = 2442
2026-02-14T13:43:17 | INFO     | levels_engine.alpaca_options | SPY → 2442 option contracts with data
2026-02-14T13:43:17 | INFO     | levels_engine.io | Wrote JSON → C:\QuantLab\Data_Lab\data\levels\2026-02-14\options_levels_SPY.json
2026-02-14T13:43:17 | INFO     | levels_engine.io | Wrote CSV  → C:\QuantLab\Data_Lab\data\levels\2026-02-14\options_levels_SPY.csv (240 rows)
2026-02-14T13:43:18 | INFO     | levels_engine.edgar_fetch | CIK 0000884394: 0 filings in lookback window
2026-02-14T13:43:18 | INFO     | levels_engine.edgar_fetch | SPY: no filings in lookback window
2026-02-14T13:43:18 | INFO     | levels_engine.arb_extract | SPY: 0 unique arb levels from 0 filings (0 raw matches)
2026-02-14T13:43:18 | INFO     | levels_engine.io | Wrote JSON → C:\QuantLab\Data_Lab\data\levels\2026-02-14\arb_levels_SPY.json
2026-02-14T13:43:18 | INFO     | levels_engine.io | Wrote text → C:\QuantLab\Data_Lab\data\levels\2026-02-14\LEVELS_REPORT_SPY.md
2026-02-14T13:43:18 | INFO     | levels_engine.cli | ============================================================
2026-02-14T13:43:18 | INFO     | levels_engine.cli | DONE — 1/1 tickers processed
2026-02-14T13:43:18 | INFO     | levels_engine.cli |   → C:\QuantLab\Data_Lab\data\levels\2026-02-14\options_levels_SPY.json
2026-02-14T13:43:18 | INFO     | levels_engine.cli |   → C:\QuantLab\Data_Lab\data\levels\2026-02-14\options_levels_SPY.csv
2026-02-14T13:43:18 | INFO     | levels_engine.cli |   → C:\QuantLab\Data_Lab\data\levels\2026-02-14\arb_levels_SPY.json
2026-02-14T13:43:18 | INFO     | levels_engine.cli |   → C:\QuantLab\Data_Lab\data\levels\2026-02-14\LEVELS_REPORT_SPY.md
