ticker,date,overnight_gap,volume_ratio,days_since_ath,range_60d,price_in_range,rs_vs_spy_20d,pre_drift_5d,consecutive_beat_streak,day_of_return,fwd_return_0d,fwd_return_1d,fwd_return_3d,fwd_return_5d,fwd_return_10d,cond_distribution,cond_range_compressed,cond_rs_weak,cond_front_run,cond_beat_fatigue,ceiling_score,regime,day_of_fade,fwd_5d_fade
NVDA,2020-11-04 05:00:00+00:00,0.02837505759483945,1.7174686745139844,44,0.3408816356301141,0.7573802280097625,-0.01960931882772876,0.09356736731580728,1,0.03050442444834416,0.03050442444834416,0.058021879550461196,0.01783780756449999,0.0025015868274652427,0.004331105552029366,0,0,1,1,0,2,MODERATE_CEILING,0,0
NVDA,2020-11-05 05:00:00+00:00,0.02677536231884053,1.5884658562592038,45,0.29469827017034195,0.8391023486800346,0.004397678383239345,0.08775095005949862,1,-7.057412046995945e-05,-7.057412046995945e-05,0.027294541091781692,-0.0989802039592081,-0.050160556124069215,-0.050778079678181966,0,0,0,1,0,1,MILD_CEILING,1,1
NVDA,2021-01-07 05:00:00+00:00,0.027729876513845137,1.6259988938673504,40,0.19422852207488694,0.4368820298195141,-0.023959070289595208,0.015059610960050263,3,0.02956605593056903,0.02956605593056903,0.025033751205400228,0.0399421407907426,0.018842815814850495,0.05861137897782061,0,0,1,0,1,2,MODERATE_CEILING,0,0
NVDA,2021-05-21 04:00:00+00:00,0.03780944722930322,1.6739037888463175,25,0.4013098171443393,0.7387838638444553,-0.013173345379296264,0.05303535690460315,1,-0.011176868169004752,-0.011176868169004752,0.02883236346252124,0.035747844578889146,0.07152865927037139,0.16216349878834838,0,0,1,1,0,2,MODERATE_CEILING,1,0
NVDA,2021-08-19 04:00:00+00:00,0.024575067094669195,3.3462324005610533,31,3.592117575824297,0.025238284961230803,0.0006488870663943214,-0.004221529801990198,2,0.017668207498715963,0.017668207498715963,0.06944016435541865,0.11931176168464314,0.1336928608115049,0.15048793014894715,0,0,0,0,0,0,CLEAN,0,0
NVDA,2021-10-26 04:00:00+00:00,0.03544598912011056,3.0051004394827308,78,0.34542452327687223,0.9144178874325365,0.14230352023802717,0.10824996635413386,2,0.030062961264228742,0.030062961264228742,0.01947212608931321,0.06617187174248415,0.10107159237793428,0.2780094233415335,1,0,0,1,0,2,MODERATE_CEILING,0,0
NVDA,2021-11-04 04:00:00+00:00,0.023117693493215182,5.107150799176314,85,0.6699158410567805,0.875646020513636,0.34962816019541343,0.1952570121584205,1,0.09438606804320669,0.09438606804320669,0.09291645234771115,0.12611139686971853,0.11690792857667717,0.1631273422000146,1,0,0,1,0,2,MODERATE_CEILING,0,0
NVDA,2021-11-09 05:00:00+00:00,0.047954545454545396,1.6583298948540564,88,0.7204112069883881,0.8781146025878003,0.4047323700246397,0.1606960275684477,1,-0.05039191994299343,-0.05039191994299343,-0.08842209622951316,-0.05850915512594105,-0.0643182451900734,-0.014840288750503342,1,0,0,1,0,2,MODERATE_CEILING,1,1
NVDA,2021-11-18 05:00:00+00:00,0.10593184111078821,1.5085559400825697,95,0.6747634875990794,0.9172413793103447,0.3594303867056938,0.04138157894736838,1,-0.021027892881439827,-0.021027892881439827,0.02056404230317267,-0.016698620817613884,-0.023934689838580027,-0.0500030923371885,1,0,0,1,0,2,MODERATE_CEILING,1,1
NVDA,2022-01-26 05:00:00+00:00,0.03973154362416105,2.2721694676202215,141,0.6554314283663852,0.13558889010547842,-0.15733208208207095,-0.09189210757321842,5,-0.020612789396677822,-0.020612789396677822,-0.05559858851880535,0.054307599621309946,0.08641019020569762,0.14958258025647642,1,0,1,0,1,3,NARRATIVE_CEILING,1,0
NVDA,2023-02-23 05:00:00+00:00,0.12889402474842318,2.3437376796457365,411,0.7198415556355782,0.9770885442721359,0.2223984472125906,0.039101972672553886,1,0.008743495692228879,0.008743495692228879,-0.0066109357672951095,-0.009575194062953188,-0.005971167789814918,4.265119849863902e-05,1,0,0,1,0,2,MODERATE_CEILING,0,1
NVDA,2023-05-25 04:00:00+00:00,0.261867347606888,5.2302565546631214,475,0.7692273216206525,0.9115539241391365,0.3891744290168151,0.19844026269259896,2,-0.015254896873783877,-0.015254896873783877,0.009832663121027424,-0.017732520430665404,0.020365806200544876,0.00607082630691408,1,0,0,1,0,2,MODERATE_CEILING,1,0
NVDA,2023-05-30 04:00:00+00:00,0.04298119412187858,2.55765157444894,477,0.8794370742201505,0.907654673325859,0.37705510818571186,0.28678640153944834,1,-0.011700371948666157,-0.011700371948666157,-0.06738182624331851,-0.031209202650442188,-0.0476636204645664,0.010665812744784058,1,0,0,1,0,2,MODERATE_CEILING,1,1
NVDA,2023-08-22 04:00:00+00:00,0.024613550227824386,1.5916776028383193,535,0.28937576958081274,0.7685120947227235,0.038057330983846005,0.03916258960063734,3,-0.05103694775778231,-0.05103694775778231,-0.02109222393084251,-0.04397157225385483,0.013756701716470528,-0.02179876148123521,1,0,0,1,1,3,NARRATIVE_CEILING,1,0
NVDA,2023-08-24 04:00:00+00:00,0.06621096652302205,3.1173740377580104,537,0.3455217088709247,0.7595289742795165,0.061925492603425725,0.08763433420967659,1,-0.06100426074144863,-0.06100426074144863,-0.08402022856687769,-0.02871022976147815,-0.01718233584199418,-0.09290009158603107,1,0,0,1,0,2,MODERATE_CEILING,1,1
NVDA,2024-02-22 05:00:00+00:00,0.1130098411192791,1.6085273867115455,661,0.7453402350432098,0.9989269746646795,0.23374619141444097,0.06324469237435015,1,0.04567426128873318,0.04567426128873318,0.049669094637601975,0.04873696685619935,0.053331025207398366,0.23385754424277932,1,0,0,1,0,2,MODERATE_CEILING,0,0
NVDA,2024-02-23 05:00:00+00:00,0.028932723776535496,1.5448661714267604,662,0.8298713704929686,0.9052067996252176,0.23784177488139657,0.08453145852537713,1,-0.024406242651517997,-0.024406242651517997,-0.02078614834342004,-0.03841631703362661,0.017871508310746347,0.0829589475117266,1,0,0,1,0,2,MODERATE_CEILING,1,0
NVDA,2024-03-08 05:00:00+00:00,0.026160437734057143,2.137098737893374,0,1.1143229308005427,0.807339002698306,0.22933208399882998,0.06394465182447151,1,-0.07973034086009072,-0.07973034086009072,-0.09723609898720069,-0.04411934835880236,-0.07615451763196374,-0.008213876297550623,0,0,0,1,0,1,MILD_CEILING,1,1
NVDA,2024-04-22 04:00:00+00:00,0.025524599414705904,1.5451390076293003,19,0.6071785139650975,0.5151589275279601,-0.11448679229249015,-0.07484765316090614,1,0.017991963760141203,0.017991963760141203,0.05427021216696948,0.05801960433035589,0.12379392419317688,0.17908786118291395,0,0,1,0,0,1,MILD_CEILING,0,0
NVDA,2024-05-23 04:00:00+00:00,0.07539960684904792,2.3182686026819423,0,0.4050216175478958,0.9215878301178468,0.21167123052708936,0.10073230958361168,1,0.017995060179558677,0.017995060179558677,0.04354686948680761,0.12358372211549763,0.07337201552515009,0.1844003606853022,0,0,0,1,0,1,MILD_CEILING,0,0
NVDA,2024-05-28 04:00:00+00:00,0.0354368795258803,1.879659798305591,0,0.5188475929818993,0.9790403139493402,0.25986977711835135,0.20359328830730283,1,0.03454609774681618,0.03454609774681618,0.039847973585863936,-0.00662167555603929,0.05615725118827315,-0.8903160262690033,0,0,0,1,0,1,MILD_CEILING,0,0
NVDA,2024-06-13 04:00:00+00:00,0.03280651340996157,2.410158507084453,5,9.728465219620578,0.010848321145442175,-0.8869767819167513,-0.8931612285178671,1,-0.00015457145065292383,-0.00015457145065292383,0.019939717134245402,0.04822629260375616,-0.019591931370275775,-0.04606229229461303,0,0,1,0,0,1,MILD_CEILING,1,1
NVDA,2024-06-20 04:00:00+00:00,0.03037676030376764,4.172410938201282,9,9.728465219620578,0.01208687440982059,-0.8923813440596683,0.043901660280970534,1,-0.0641860465116279,-0.0641860465116279,-0.09227191413237922,-0.0976744186046512,-0.11277280858676211,-0.09946332737030415,0,0,1,1,0,2,MODERATE_CEILING,1,1
NVDA,2024-06-25 04:00:00+00:00,0.026422764227642316,1.7405327487045863,12,9.728465219620578,0.007975931659968816,-0.9104896918322642,-0.038138825324180003,1,0.040429042904290356,0.040429042904290356,0.042821782178217804,0.018399339933993432,0.011922442244224367,0.11245874587458754,0,0,1,0,0,1,MILD_CEILING,0,0
NVDA,2024-07-31 04:00:00+00:00,0.08991312741312753,1.7008437220554122,37,11.237498781557656,0.0125514483608086,-0.0480881651210866,0.023520153886508632,1,0.036709028915555914,0.036709028915555914,-0.031395297347562336,-0.1087100916618696,-0.12456272417305063,0.04476818846034621,0,0,1,0,0,1,MILD_CEILING,0,1
NVDA,2024-11-21 05:00:00+00:00,0.023168140379738324,2.0592964442396746,117,0.514164025356577,0.8801772298208438,0.01959465368430724,-0.0012259075120888419,2,-0.017552086822536374,-0.017552086822536374,-0.049306625577812103,-0.08297045622027212,-0.07362497487773838,-0.04555503450123944,1,0,0,0,0,1,MILD_CEILING,1,1
NVDA,2025-01-07 05:00:00+00:00,0.023780854906682577,1.6529672239417927,147,0.20655686027267708,0.5066768409004193,0.015375110758812371,0.020011643137825663,2,-0.0841255839785684,-0.0841255839785684,-0.08471364631317571,-0.1294717240027443,-0.11013100722009861,-0.03812604136038407,1,0,0,0,0,1,MILD_CEILING,1,1
NVDA,2025-01-22 05:00:00+00:00,0.02808749378595259,1.5299171933913318,156,0.20655686027267708,0.7684090041968716,0.0906337905525163,0.1157231749886174,1,0.015646047041757434,0.015646047041757434,0.016889441508652105,-0.18136289849065715,-0.14516630400994707,-0.13684246882879142,1,0,0,1,0,2,MODERATE_CEILING,0,1
NVDA,2025-01-28 05:00:00+00:00,0.027845751413382813,3.4853847117194214,160,0.3168759676586959,0.3406623235613464,-0.0848842782780529,-0.08522122008380084,1,0.05746654626056974,0.05746654626056974,0.01592644282078645,-0.014571874230358802,-0.026106231015516023,0.09046876282735415,1,0,1,0,0,2,MODERATE_CEILING,0,1
NVDA,2025-02-27 05:00:00+00:00,0.026420832541341907,1.618639164991923,181,0.3545076528355303,0.1800598951834291,-0.0004245250685712687,-0.14165893354272252,1,-0.10929629629629627,-0.10929629629629627,-0.07411111111111107,-0.1413333333333333,-0.18103703703703702,-0.1426666666666667,1,0,1,0,0,2,MODERATE_CEILING,1,1
NVDA,2025-04-09 04:00:00+00:00,0.025619748988694107,1.659814337335179,210,0.719695220503348,0.4425729868463264,0.015643226377249464,0.03535490889311932,1,0.1550364077669903,0.1550364077669903,0.08889563106796124,0.11963996763754044,0.05703883495145632,0.0758495145631068,1,0,0,1,0,2,MODERATE_CEILING,0,0
NVDA,2025-05-29 04:00:00+00:00,0.054995179114440344,1.606225869690136,244,0.6564303855922418,0.9243756595145975,0.21449227368647672,0.05591381534026252,4,-0.02154733031037996,-0.02154733031037996,-0.051706562620830385,-0.00685437097964775,-0.015712327322577338,0.019367991845056033,1,0,0,1,1,3,NARRATIVE_CEILING,1,1
NVDA,2025-07-15 04:00:00+00:00,0.04345970986224549,1.5657904583268933,275,0.8139730639730639,0.9774431230610133,0.15938656086060687,0.06666041627601715,3,-0.003125182545709426,-0.003125182545709426,0.0008762194053391301,0.007068169869735429,-0.02441731409544954,0.025176704246743398,1,0,0,1,1,3,NARRATIVE_CEILING,1,1
NVDA,2025-07-31 04:00:00+00:00,0.020104285754119787,1.6641609377841595,287,0.6535234142380222,0.9282065442496205,0.11376965256208327,0.024687805720204903,1,-0.02656899190903119,-0.02656899190903119,-0.05010387054450029,-0.02544828340258037,-0.011316422479772542,-0.0048928493330416675,1,0,0,0,0,1,MILD_CEILING,1,1
NVDA,2025-09-10 04:00:00+00:00,0.03458272327964861,2.10024946471911,315,0.2982752551918337,0.8312485248996936,-0.04722693173404935,0.03909730363423214,1,0.003481361976734364,0.003481361976734364,0.0024058192522148332,0.006255130055758341,-0.036483541365939225,0.0012170615040616082,1,0,1,1,0,3,NARRATIVE_CEILING,0,1
NVDA,2025-10-15 04:00:00+00:00,0.026495584069321836,1.7593184786391152,340,0.1921377418863325,0.501030927835052,0.04807834337875816,-0.048759849806970235,1,-0.026677489177489213,-0.026677489177489213,-0.01601731601731606,-0.012175324675324674,-0.024134199134199175,0.12031926406926398,1,0,0,0,0,1,MILD_CEILING,1,1
NVDA,2025-10-29 04:00:00+00:00,0.03446903755284744,1.9157573826679313,350,0.29300624714307494,0.8936037441497658,0.07759913141426411,0.14802595098147941,1,-0.004543706125588966,-0.004543706125588966,-0.024425425521684703,-0.004711991537647802,-0.0615684200403884,-0.06789114337917096,1,0,0,1,0,2,MODERATE_CEILING,1,1
NVDA,2026-02-06 05:00:00+00:00,0.027528809218950172,1.6134406619700836,418,0.1557219945153776,0.5925014201855713,-0.0012082460094395842,-0.0309736828336733,3,0.049051260266213516,0.049051260266213516,0.07572925516850737,0.07606910223732641,0.035287453979042704,0.0851600113282356,1,0,1,0,1,3,NARRATIVE_CEILING,0,0
