segment_type,segment_value,ticker,sample_size,median_max_exc_atr,pct_hit_1atr,N_hit_1atr,median_time_to_1atr,median_range_atr,median_directional_efficiency,median_swing_reversal_count,median_chop_score,expansion_pctile,speed_score,speed_pctile,clean_score,clean_pctile,composite_rank
gap,"(-2.0%,-1.0%]",MU,2,0.05794083184918991,0.0,0,,0.060464831624030935,0.6991513744548323,10.0,0.5301724137931034,1.0,0.0,0.5625,0.08672897196261682,0.75,0.7708333333333334
regime,UPSIDE,MU,3,0.053668650146589114,0.0,0,,0.05785194797170348,0.6356421327594267,11.0,0.5172413793103449,0.875,0.0,0.5625,0.07988980716253444,0.5,0.6458333333333334
gap,"(-5.0%,-2.0%]",MU,1,0.01959193338822221,0.0,0,,0.03775214856730507,0.4810379178626774,7.0,0.47844827586206895,0.1875,0.0,0.5625,0.1179461108286731,1.0,0.5833333333333334
gap,"(5.0%,inf%]",MU,1,0.052341659452974046,0.0,0,,0.056053624391606716,0.7031442094699709,12.0,0.5278969957081545,0.75,0.0,0.5625,0.07392131979695432,0.375,0.5625
gap,"(2.0%,5.0%]",MU,1,0.03669330702429437,0.0,0,,0.055133725375515606,0.5578231240915211,11.0,0.5043103448275862,0.5,0.0,0.5625,0.07997242330230955,0.625,0.5625
regime,DOWNSIDE,MU,3,0.01959193338822221,0.0,0,,0.03775214856730507,0.7031442094699709,9.0,0.5,0.1875,0.0,0.5625,0.09523809523809523,0.875,0.5416666666666666
regime,FLAT,MU,1,0.03860995231674655,0.0,0,,0.04459806992142702,0.030060119829760895,18.0,0.49137931034482757,0.625,0.0,0.5625,0.051304732419283496,0.125,0.4375
gap,"(-1.0%,1.0%]",MU,2,0.02660543930865939,0.0,0,,0.030036404114332567,0.45932612526373917,13.5,0.4956896551724138,0.375,0.0,0.5625,0.06668582926128197,0.25,0.3958333333333333
