event_session_date,ticker,announcement_datetime,timing_class,mu_regime,mu_gap_pct,mu_gap_bucket,atr_ref,hit_0.5atr,time_to_0.5atr,hit_1.0atr,time_to_1.0atr,hit_1.5atr,time_to_1.5atr,max_exc_pct,max_exc_atr,range_pct,range_atr,swing_reversal_count,PATH_METRIC_INVALID,chop_score,directional_efficiency,avg_wick_ratio,avg_clv_rth
2024-12-19,MU,2024-12-18 16:00:00-06:00,AMC,DOWNSIDE,0.06385239567171704,"(5.0%,inf%]",4.611071428571429,False,,False,,False,,0.24135113047996593,0.052341659452974046,0.2584672659560659,0.056053624391606716,12,False,0.5278969957081545,0.7031442094699709,4553194.707696976,0.4954274897155293
2024-12-19,NVDA,2024-12-18 16:00:00-06:00,AMC,,,,4.860357142857123,False,,False,,False,,0.051015835075806565,0.010496314070311506,0.07207947415542212,0.014830077712812003,12,False,0.51931330472103,0.10777201923020466,1617024.7057070017,0.5178223894483686
2024-12-19,AMD,2024-12-18 16:00:00-06:00,AMC,,,,4.7096428571428595,False,,False,,False,,0.05910740637291819,0.012550294821341474,0.07797232082257435,0.016555888242727808,9,False,0.5172413793103449,0.6204603500988217,1559831.9551553924,0.48336240463693814
2024-12-19,SMCI,2024-12-18 16:00:00-06:00,AMC,,,,4.180714285714285,False,,False,,False,,0.0941211401397232,0.02251317207655801,0.12470308788228315,0.029828177514682554,5,False,0.48068669527896996,0.5166666625234918,553193.8780816577,0.4834432422564878
2024-09-26,MU,2024-09-25 16:00:00-05:00,AMC,UPSIDE,-0.016122299905915467,"(-2.0%,-1.0%]",3.4957142857142847,False,,False,,False,,0.2174789202925442,0.062213013551790715,0.2205016704648619,0.06307771527635839,11,False,0.5431034482758621,0.6356421327594267,2115387.4098344953,0.5182458979237321
2024-09-26,NVDA,2024-09-25 16:00:00-05:00,AMC,,,,4.855714285714271,False,,False,,False,,0.04622193083063251,0.009519079604230509,0.0688411735775377,0.014177352602045423,8,False,0.51931330472103,0.07976190360326844,1170216.13709448,0.5194562843795574
2024-09-26,AMD,2024-09-25 16:00:00-05:00,AMC,,,,5.236071428571427,False,,False,,False,,0.06328395839859255,0.01208615261457049,0.06618342262801019,0.012639900642728113,3,False,0.5689655172413793,0.542857134654829,3376070.4719350017,0.5523155668445918
2024-09-26,SMCI,2024-09-25 16:00:00-05:00,AMC,,,,24.25964285714286,False,,False,,False,,0.19677460889676435,0.008111191498052743,0.2345865791106363,0.009669828219746287,16,False,0.5091743119266054,0.42272332070635504,1.7021218175909427,0.41187692952808763
2024-06-27,MU,2024-06-26 16:00:00-05:00,AMC,DOWNSIDE,0.004737507018495747,"(-1.0%,1.0%]",5.9157142857142855,False,,False,,False,,0.08637490831555751,0.014600926300572232,0.09154413048729332,0.015474738307238108,9,False,0.5,0.8885921306977175,5405985.698999682,0.506678954094026
2024-06-27,NVDA,2024-06-26 16:00:00-05:00,AMC,,,,90.53892857142856,False,,False,,False,,0.02829291488327559,0.0003124944742486329,0.04366777619239449,0.00048230939863024236,0,False,0.5278969957081545,0.4990925475543557,2893621.2507833517,0.5192257123605739
