condition,n_present,fade_rate_present,fade_rate_absent,fade_lift,mean_5d_present,mean_5d_absent
Days Since ATH > 60,373,0.44235924932975873,0.4418604651162791,0.0004987842134796527,0.01153744328229777,0.024256868002959224
Range Compressed (<15% 60d),21,0.7142857142857143,0.43209876543209874,0.28218694885361556,0.005302008300294275,0.016591447602516966
RS vs SPY Weak (<=0),190,0.5421052631578948,0.3944723618090452,0.14763290134884954,0.01244614824439401,0.01797468542336291
Pre-Earnings Front-Run (>3% 5d),381,0.3438320209973753,0.6231884057971014,-0.27935638479972613,0.020873167868016258,0.007565294720865248
Beat Fatigue (3+ Consecutive),88,0.5,0.432,0.068,0.020467123350305757,0.015435172220212788
