ticker,date,overnight_gap,volume_ratio,days_since_ath,range_60d,price_in_range,rs_vs_spy_20d,pre_drift_5d,consecutive_beat_streak,day_of_return,fwd_return_0d,fwd_return_1d,fwd_return_3d,fwd_return_5d,fwd_return_10d,cond_distribution,cond_range_compressed,cond_rs_weak,cond_front_run,cond_beat_fatigue,ceiling_score,regime,day_of_fade,fwd_5d_fade
SNOW,2025-12-02 05:00:00+00:00,0.037012806787994165,1.7642847702541962,1248,0.3079865646575853,0.6871402605271133,-0.06009856901442989,0.07333250681874559,3,-0.006958649563172659,-0.006958649563172659,0.014280525339807516,-0.12512187195320124,-0.14768013152612372,-0.15647402932573748,1,0,1,1,1,4,EXTREME_CEILING,1,1
NOW,2025-07-24 04:00:00+00:00,0.07873257712109176,2.792088552251497,122,0.1463516519286064,0.5558067983838082,-0.05372614262152697,0.039120008341153145,2,-0.033233742045631016,-0.033233742045631016,-0.060385301878007246,-0.03688596150861408,-0.08471403073102605,-0.15219036163277985,1,1,1,1,0,4,EXTREME_CEILING,1,1
MSFT,2025-01-22 05:00:00+00:00,0.021184760038263185,1.7482092055631862,133,0.12421747917385512,0.8023809523809527,-0.01370771522718739,0.07324465398215185,1,0.019397290319632637,0.019397290319632637,0.020379720806963868,-0.007002673124814361,0.00959583266695604,-0.055804336402476666,1,1,1,1,0,4,EXTREME_CEILING,0,0
UNH,2024-11-06 05:00:00+00:00,0.06468560749640771,1.6941588860679884,0,0.12022099447513807,0.8227634803921577,-0.014896237591226935,0.05803397283591627,3,-0.011897763684084064,-0.011897763684084064,0.0028564568343834983,0.03604103362339477,0.0035271032215865267,-0.0050422672815637806,0,1,1,1,1,4,EXTREME_CEILING,1,0
PLTR,2024-01-22 05:00:00+00:00,0.042610250297973766,2.6570445630296895,747,0.505524861878453,0.42691256830601093,-0.011708706213225728,0.04979129397734061,3,0.006287510717347781,0.006287510717347781,-0.0091454701343241,-0.05973135181480432,-0.022006287510717436,-0.043155187196341954,1,0,1,1,1,4,EXTREME_CEILING,0,1
SNOW,2023-11-07 05:00:00+00:00,0.07752583038624213,2.714170155034456,730,0.24452871072589397,0.6241323290503622,-0.027871193413306017,0.09911150905709776,3,0.026964412124332496,0.026964412124332496,0.02065769998069379,0.03256322800695027,0.06763627003024661,0.07272025226848583,1,0,1,1,1,4,EXTREME_CEILING,0,0
PANW,2023-05-08 04:00:00+00:00,0.024025003397200793,1.563962219057079,262,0.24734613732588823,0.7072686678243609,-0.013482477484468958,0.04491132332878567,3,0.016375169192388222,0.016375169192388222,0.0394649539531304,0.04655112927625458,0.023859444252766666,0.019931526845192258,1,0,1,1,1,4,EXTREME_CEILING,0,0
META,2022-11-09 05:00:00+00:00,0.054294891721065115,1.6524656821678874,293,1.021563954148224,0.14820575491612045,-0.25369523143058714,0.12099447513812156,3,-0.0029484029484029206,-0.0029484029484029206,0.0988697788697789,0.12304668304668301,0.11272727272727272,0.10329238329238334,1,0,1,1,1,4,EXTREME_CEILING,1,0
META,2022-04-28 04:00:00+00:00,0.1632682243257928,2.7982755466332088,158,0.9400248417815107,0.23047882715660978,-0.029802863896227327,0.09327664097794308,3,0.011407218015537384,0.011407218015537384,-0.014209853476251285,0.042236208083390715,0.02458452158520995,-0.05956829580096376,1,0,1,1,1,4,EXTREME_CEILING,0,0
CRM,2022-04-28 04:00:00+00:00,0.03989696622781912,1.9197360134865278,110,0.3989318853119312,0.27335277840101724,-0.06802294732588254,0.04827975183305133,4,0.023063796994550703,0.023063796994550703,-0.03143061595200077,-0.017063907084273654,-0.05014586888313968,-0.1167501513733692,1,0,1,1,1,4,EXTREME_CEILING,0,1
UBER,2022-02-10 05:00:00+00:00,0.02015426723065445,5.031568910978818,250,0.4195612431444242,0.3580246913580246,-0.07660022850875903,0.09293572669368855,3,-0.07926829268292683,-0.07926829268292683,-0.13926829268292684,-0.09560975609756102,-0.12902439024390241,-0.146829268292683,1,0,1,1,1,4,EXTREME_CEILING,1,1
SNOW,2022-02-04 05:00:00+00:00,0.02802642379705268,1.5815653318418381,290,0.7376753764963316,0.24864770546152504,-0.031157811807932534,0.08727530747398293,3,0.04874524714828895,0.04874524714828895,0.11422053231939171,0.17144486692015198,0.11673003802281365,0.03996197718631175,1,0,1,1,1,4,EXTREME_CEILING,0,0
MA,2021-11-05 04:00:00+00:00,0.024728552678677854,2.899606027293186,133,0.13493633329212518,0.5762711864406782,-0.08524899113109063,0.03993081442161461,1,0.01510785084272132,0.01510785084272132,0.018426338311064657,0.04264547492213209,0.05814630454399914,-0.010799639041713912,1,1,1,1,0,4,EXTREME_CEILING,0,0
NVDA,2026-02-06 05:00:00+00:00,0.027528809218950172,1.6134406619700836,418,0.1557219945153776,0.5925014201855713,-0.0012082460094395842,-0.0309736828336733,3,0.049051260266213516,0.049051260266213516,0.07572925516850737,0.07606910223732641,0.035287453979042704,0.0851600113282356,1,0,1,0,1,3,NARRATIVE_CEILING,0,0
AVGO,2026-02-05 05:00:00+00:00,0.021065453954847997,2.150634454361946,409,0.4037654070161181,0.12889969808789,-0.07801063243730755,-0.060650037792894906,4,-0.011595908823389003,-0.011595908823389003,0.05807498369573861,0.08282564779614114,0.05320756517727909,0.058138610081600955,1,0,1,0,1,3,NARRATIVE_CEILING,1,0
PLTR,2026-02-03 05:00:00+00:00,0.11672756800649614,3.082772150420726,62,0.37005270228376563,0.23708461323652583,-0.09470017905641914,-0.04713337356668679,3,-0.043264860934375655,-0.043264860934375655,-0.15479003817487721,-0.17681633642368058,-0.1548809307398655,-0.17987638611161608,1,0,1,0,1,3,NARRATIVE_CEILING,1,1
META,2026-01-22 05:00:00+00:00,0.02652139163907418,2.8499598275223685,85,0.30535079948048816,0.37376411932058207,-0.02683304696510813,0.05250670350207187,1,0.029093509176134017,0.029093509176134017,0.04628585048065464,0.06938905219671082,0.17286088821800263,0.06517835862397708,1,0,1,1,0,3,NARRATIVE_CEILING,0,0
CRM,2025-12-04 05:00:00+00:00,0.02037099070429616,2.0742447653409823,215,0.20298211631154556,0.5701287172658677,-0.03008871583683026,0.08560157790927025,2,0.016394115353837967,0.016394115353837967,0.06912612594127653,0.07134210148347248,0.07616390011695427,0.05810780310646952,1,0,1,1,0,3,NARRATIVE_CEILING,0,0
AMZN,2025-10-31 04:00:00+00:00,0.12313148089958242,3.0941846210862973,990,0.1862977352411636,0.8451169888097659,0.09380693247075422,0.08931597253188261,3,-0.02362110311750598,-0.02362110311750598,0.015147881694644367,0.0001798561151079773,-0.023101518784972026,-0.062230215827338106,1,0,0,1,1,3,NARRATIVE_CEILING,1,1
AVGO,2025-10-13 04:00:00+00:00,0.08664448961991005,2.148204400682504,330,0.3697749784865519,0.8265498118439296,-0.024101253036290182,0.06245716499299747,1,0.010657898466509795,0.010657898466509795,-0.02417868987216199,0.003854984551716196,-0.010346098245415216,0.026290427733212326,1,0,1,1,0,3,NARRATIVE_CEILING,0,1
NVDA,2025-09-10 04:00:00+00:00,0.03458272327964861,2.10024946471911,315,0.2982752551918337,0.8312485248996936,-0.04722693173404935,0.03909730363423214,1,0.003481361976734364,0.003481361976734364,0.0024058192522148332,0.006255130055758341,-0.036483541365939225,0.0012170615040616082,1,0,1,1,0,3,NARRATIVE_CEILING,0,1
SNOW,2025-08-27 04:00:00+00:00,0.03622517237830602,2.240704022272315,1181,0.21881314474104013,0.3020656136087486,-0.1086644361654523,0.029262282458031752,3,-0.004419505412652629,-0.004419505412652629,0.19669281954513862,0.1597725692720231,0.10169828185519922,0.11500645545734431,1,0,1,0,1,3,NARRATIVE_CEILING,1,0
PANW,2025-08-19 04:00:00+00:00,0.06377247206941516,2.3682071036067462,834,0.272000968405762,0.3650422785936805,-0.0944848758206569,0.035490307867730886,1,-0.03172064507530315,-0.03172064507530315,-0.0168199386911902,-0.008983073437291763,-0.017672930827668923,0.02124483539917374,1,0,1,1,0,3,NARRATIVE_CEILING,1,1
UNH,2025-08-15 04:00:00+00:00,0.10952801708268906,2.3417771517440404,189,0.391043122549855,0.7573281028658605,0.05086528459993089,0.21262133987123533,3,0.009324086670869702,0.009324086670869702,0.023658625609715617,-0.005773633739257421,0.019809536450210607,0.028237714437402497,1,0,0,1,1,3,NARRATIVE_CEILING,0,0
AAPL,2025-08-07 04:00:00+00:00,0.026468174891571827,2.123478082457536,1244,0.14135097421055348,0.9755027422303467,0.026544805895604595,0.05927351455376462,1,0.005709848346427919,0.005709848346427919,0.04771149278275179,0.048921980632194446,0.06331079846519283,0.027315914489311248,1,1,0,1,0,3,NARRATIVE_CEILING,0,0
NVDA,2025-07-15 04:00:00+00:00,0.04345970986224549,1.5657904583268933,275,0.8139730639730639,0.9774431230610133,0.15938656086060687,0.06666041627601715,3,-0.003125182545709426,-0.003125182545709426,0.0008762194053391301,0.007068169869735429,-0.02441731409544954,0.025176704246743398,1,0,0,1,1,3,NARRATIVE_CEILING,1,1
