direction,trigger_magnitude_bucket,n,denominator_n_triggered,rate_of_triggered
long,0.70-0.80,370,869,0.42577675489067895
long,0.80-1.00,323,869,0.3716915995397008
long,1.00+,176,869,0.20253164556962025
short,0.70-0.80,345,757,0.4557463672391017
short,0.80-1.00,276,757,0.36459709379128136
short,1.00+,136,757,0.17965653896961692
