ticker
AA
AAL
AAPL
ABBV
ABNB
ACHR
AEO
AFRM
AI
ALAB
AMD
AMZN
ANF
APLD
APP
ARM
ASML
ASTS
AVGO
BA
BABA
BAC
BE
BIDU
BLSH
BROS
CASY
CAT
CCL
CDE
CELH
CIFR
CL
CLF
CLSK
COIN
COP
COST
CPNG
CRCL
CRDO
CRWD
CRWV
CSCO
CVNA
CVS
CVX
DAL
DASH
DELL
DHI
DIS
DJT
DKNG
DLTR
DOCU
DVN
EBAY
ENPH
EOG
EOSE
ETSY
FIG
FLY
FSLY
FUBO
GE
GEMI
GILD
GM
GME
GOLD
GOOGL
GS
HAL
HD
HIMS
HON
HOOD
IBKR
INTC
IONQ
IREN
JD
JNJ
JPM
KTOS
LEN
LI
LLY
LULU
LUNR
LYFT
M
MARA
META
MMM
MP
MRK
MRNA
MRVL
MS
MSFT
MU
NBIS
NCLH
NET
NFLX
NIO
NKE
NNE
NRG
NVDA
NVO
OKLO
OPEN
ORCL
OSCR
OXY
PANW
PATH
PDD
PENN
PEP
PG
PL
PLTR
PLUG
PSX
QBTS
QCOM
QUBT
RBLX
RCAT
RDDT
RGTI
RILY
RIOT
RIVN
RKLB
RKT
ROKU
RR
RTX
RUM
RUN
SCHW
SERV
SHOP
SLB
SMCI
SMR
SNAP
SNDK
SNOW
SOFI
SOUN
TEM
TGT
TIGR
TSLA
TSM
U
UAL
UBER
UNH
UPST
VLO
VRT
VST
WMT
XOM
XOP
XPEV
Z
ZETA
ZM
ZS
