tier,binary,n,confidence,holding_days,win_rate,mean_return,median_return,std,avg_winner,avg_loser,profit_factor
STRONG_BULL,BULLISH,349,✅ RELIABLE,1,0.498567335243553,0.4566240273256816,0.0,7.819756859320156,5.304049641724791,-4.363102012134003,1.208713610629017
STRONG_BULL,BULLISH,349,✅ RELIABLE,2,0.5300859598853869,1.4414265200247396,0.36624670377966595,10.272819332826494,7.444210010317448,-5.33000607573228,1.5755013980317083
STRONG_BULL,BULLISH,349,✅ RELIABLE,3,0.5243553008595988,1.0664619571676495,0.3834069971776979,10.332672653407426,7.466717204066408,-5.98924111622074,1.3743612678788713
STRONG_BULL,BULLISH,349,✅ RELIABLE,4,0.5300859598853869,0.6742348295287521,0.5777310924369717,11.989772412359658,8.021293113793666,-7.613605308209109,1.1884527170319736
STRONG_BULL,BULLISH,349,✅ RELIABLE,5,0.5186246418338109,0.7337402148873983,0.5963500502945711,15.29772881456167,9.160705104279268,-8.345311243326462,1.182648424002388
STRONG_BULL,BULLISH,349,✅ RELIABLE,6,0.5186246418338109,1.7496210557526573,0.5018088458396626,22.705846225517007,11.56254993983518,-8.822641611026729,1.4119661225457218
STRONG_BULL,BULLISH,349,✅ RELIABLE,7,0.47277936962750716,1.1909162018991142,-0.4129877527769753,18.99420999440105,12.548506326102517,-8.99387928991372,1.2511549564317634
STRONG_BULL,BULLISH,349,✅ RELIABLE,8,0.46418338108882523,1.1948286550929423,-0.6409729640890798,18.63634288080241,13.310988640149452,-9.30152384533034,1.2397371544760103
STRONG_BULL,BULLISH,349,✅ RELIABLE,9,0.5071633237822349,1.4311909034515735,0.19437340153452454,19.58682377271375,12.817418123738731,-10.286031294169513,1.282323289768472
STRONG_BULL,BULLISH,349,✅ RELIABLE,10,0.47564469914040114,1.8057758811627531,-0.33482142857142333,23.173642788799363,15.092507666192564,-10.24666934460199,1.3360899014584815
STRONG_BULL,BULLISH,349,✅ RELIABLE,11,0.4813753581661891,1.8678874588688812,-0.9549795361527897,27.294395736279785,15.66554781013422,-10.938780712471324,1.3292521670938942
STRONG_BULL,BULLISH,349,✅ RELIABLE,12,0.4785100286532951,2.3471710513616872,-0.548546352166766,33.91836882299132,17.003078541331753,-11.100831975149307,1.4054555504691415
STRONG_BULL,BULLISH,349,✅ RELIABLE,13,0.4785100286532951,2.282273752226287,-0.3957037874505386,39.46340863073826,17.449538697781502,-11.634941884629322,1.3761469599741285
STRONG_BULL,BULLISH,349,✅ RELIABLE,14,0.4871060171919771,2.2091504625601215,-0.19940179461614732,36.85295350597952,17.428822074313455,-12.245286263686063,1.3517456618087167
STRONG_BULL,BULLISH,349,✅ RELIABLE,15,0.4785100286532951,1.9084401872529833,-0.5441078386632539,38.248374766815715,18.53330444235713,-13.346242947924996,1.2742038611437834
STRONG_BULL,BULLISH,349,✅ RELIABLE,16,0.48424068767908307,1.9072929915084864,-0.6746156259805455,39.162697840915406,18.92844685904279,-14.07367925078761,1.2627620768666092
STRONG_BULL,BULLISH,349,✅ RELIABLE,17,0.4785100286532951,1.6962953937943968,-0.6981479685833404,36.24613781719063,19.058618677311667,-14.235067179542876,1.2285051542883296
STRONG_BULL,BULLISH,349,✅ RELIABLE,18,0.47277936962750716,1.9303831425636988,-1.1603375527426,36.51965470149012,19.583485503957363,-13.899844518468665,1.2634154100333497
