direction,trigger_timing_bucket,n_triggered_in_bucket,n_cloud_touch_any,cloud_touch_any_rate,n_cloud_entry,cloud_entry_rate,n_touch_ema21,touch_ema21_rate,n_directional_breach,directional_breach_rate,n_cloud_flip,cloud_flip_rate,post_breach_new_extreme_rate,post_flip_new_extreme_rate,confidence
long,first_30m,5752,5121,0.8902990264255911,5075,0.8823018080667594,4035,0.7014951321279554,3440,0.5980528511821975,2156,0.3748261474269819,0.4712209302325581,0.4155844155844156,RELIABLE
long,second_30m,2525,2009,0.7956435643564357,1997,0.7908910891089109,1102,0.43643564356435643,906,0.3588118811881188,303,0.12,0.41832229580573954,0.21782178217821782,RELIABLE
short,first_30m,5419,4773,0.8807898136187489,4713,0.8697176600848865,3701,0.6829673371470751,4177,0.7708064218490497,1936,0.35726148735929136,0.4840794828824515,0.41580578512396693,RELIABLE
short,second_30m,2470,2021,0.8182186234817814,2006,0.8121457489878543,1161,0.4700404858299595,1724,0.6979757085020243,308,0.12469635627530365,0.47157772621809746,0.2077922077922078,RELIABLE
combined,first_30m,11171,9894,0.8856861516426462,9788,0.8761972965714797,7736,0.6925073851938054,7617,0.6818548026139111,4092,0.3663056127472921,0.47827228567677565,0.4156891495601173,RELIABLE
combined,second_30m,4995,4030,0.8068068068068068,4003,0.8014014014014014,2263,0.45305305305305305,2630,0.5265265265265265,611,0.12232232232232232,0.4532319391634981,0.2127659574468085,RELIABLE
