event_session_date,ticker,feed,rows,file,error
2023-06-29,MU,sip,0,,"Already tz-aware, use tz_convert to convert."
2023-06-29,MU,iex,0,,"Already tz-aware, use tz_convert to convert."
2023-06-29,NVDA,sip,0,,"Already tz-aware, use tz_convert to convert."
2023-06-29,NVDA,iex,0,,"Already tz-aware, use tz_convert to convert."
2023-06-29,AMD,sip,0,,"Already tz-aware, use tz_convert to convert."
2023-06-29,AMD,iex,0,,"Already tz-aware, use tz_convert to convert."
2023-06-29,SMCI,sip,0,,"Already tz-aware, use tz_convert to convert."
2023-06-29,SMCI,iex,0,,"Already tz-aware, use tz_convert to convert."
2023-09-28,MU,sip,0,,"Already tz-aware, use tz_convert to convert."
2023-09-28,MU,iex,0,,"Already tz-aware, use tz_convert to convert."
2023-09-28,NVDA,sip,0,,"Already tz-aware, use tz_convert to convert."
2023-09-28,NVDA,iex,0,,"Already tz-aware, use tz_convert to convert."
2023-09-28,AMD,sip,0,,"Already tz-aware, use tz_convert to convert."
2023-09-28,AMD,iex,0,,"Already tz-aware, use tz_convert to convert."
2023-09-28,SMCI,sip,0,,"Already tz-aware, use tz_convert to convert."
2023-09-28,SMCI,iex,0,,"Already tz-aware, use tz_convert to convert."
2023-12-21,MU,sip,0,,"Already tz-aware, use tz_convert to convert."
2023-12-21,MU,iex,0,,"Already tz-aware, use tz_convert to convert."
2023-12-21,NVDA,sip,0,,"Already tz-aware, use tz_convert to convert."
2023-12-21,NVDA,iex,0,,"Already tz-aware, use tz_convert to convert."
2023-12-21,AMD,sip,0,,"Already tz-aware, use tz_convert to convert."
2023-12-21,AMD,iex,0,,"Already tz-aware, use tz_convert to convert."
2023-12-21,SMCI,sip,0,,"Already tz-aware, use tz_convert to convert."
2023-12-21,SMCI,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-03-21,MU,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-03-21,MU,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-03-21,NVDA,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-03-21,NVDA,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-03-21,AMD,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-03-21,AMD,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-03-21,SMCI,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-03-21,SMCI,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-06-27,MU,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-06-27,MU,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-06-27,NVDA,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-06-27,NVDA,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-06-27,AMD,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-06-27,AMD,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-06-27,SMCI,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-06-27,SMCI,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-09-26,MU,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-09-26,MU,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-09-26,NVDA,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-09-26,NVDA,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-09-26,AMD,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-09-26,AMD,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-09-26,SMCI,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-09-26,SMCI,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-12-19,MU,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-12-19,MU,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-12-19,NVDA,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-12-19,NVDA,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-12-19,AMD,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-12-19,AMD,iex,0,,"Already tz-aware, use tz_convert to convert."
2024-12-19,SMCI,sip,0,,"Already tz-aware, use tz_convert to convert."
2024-12-19,SMCI,iex,0,,"Already tz-aware, use tz_convert to convert."
