ticker,date,direction,gap_pct,abs_gap_pct,gap_bucket,atr,open_price,prev_close,candle_color,ft_level,has_ft,session_high,session_low,eod_close,hod_minutes_from_open,lod_minutes_from_open,entry_price,entry_time,ft_minutes_from_open,eod_return,eod_return_from_open,mae_pct,mfe_pct,adverse_after_ft,bounce_depth_before_dest,close_above_open,fwd_15min,fwd_30min,fwd_1hr,fwd_2hr,cs,is_nr7,bar1_time,data_ok,group,win_from_open,win_from_ft_entry
AI,2025-01-22,GAP_UP,0.0828258221680876,0.0828258221680876,8-12%,1.921071428571428,35.56,32.84,BEARISH,34.79157142857143,True,35.56,33.41,33.61,0.0,370.0,34.49,2025-01-22 09:35:00-05:00,5.0,0.025515,0.054837,0.030444,0.031313,True,0.030444,False,-0.00116,0.005799,-0.020006,0.00232,47.66363865316058,False,2025-01-22 09:30:00-05:00,True,bearish_non_magenta,True,True
AI,2025-06-06,GAP_UP,0.0232787532057605,0.0232787532057605,2-5%,1.7660714285714283,25.935,25.345,BEARISH,25.228571428571428,False,26.62,25.695,25.955,100.0,0.0,,,,,-0.0007711586658954,,,,,,,,,,-9.865792965624848,False,2025-06-06 09:30:00-04:00,True,bearish_non_magenta,False,False
AIQ,2024-02-22,GAP_UP,0.034012539184953,0.034012539184953,2-5%,0.4932142857142857,32.985,31.9,BEARISH,32.78771428571429,False,33.125,32.875,33.085,300.0,75.0,,,,,-0.0030316810671517,,,,,,,,,,-32.901252885211385,False,2024-02-22 09:30:00-05:00,True,bearish_non_magenta,False,False
AIQ,2025-10-13,GAP_UP,0.025960752248569,0.025960752248569,2-5%,0.9200000000000002,50.19,48.92,BEARISH,49.822,False,50.47,49.88,50.425,300.0,10.0,,,,,-0.0046822076110778,,,,,,,,,,-20.124268638251696,False,2025-10-13 09:30:00-04:00,True,bearish_non_magenta,False,False
ALAB,2024-05-02,GAP_UP,0.0264352469959945,0.0264352469959945,2-5%,7.245357142857147,76.88,74.9,BEARISH,73.98185714285714,True,79.515,71.955,79.06,340.0,80.0,73.48,2024-05-02 09:35:00-04:00,5.0,-0.075939,-0.028356,0.082131,0.020754,True,0.041712,True,-0.012793,-0.032798,0.003743,-0.018781,-28.48286217049141,False,2024-05-02 09:30:00-04:00,True,bearish_non_magenta,False,False
ALAB,2024-05-09,GAP_UP,0.0296071634893127,0.0296071634893127,2-5%,6.647500000000002,71.29,69.24,BEARISH,68.631,True,71.57,68.185,70.1,235.0,25.0,68.21,2024-05-09 10:00:00-04:00,30.0,-0.027709,0.016692,0.04926,0.0,True,0.010409,False,-0.012462,-0.043689,-0.026023,-0.029468,9.69649966016568,False,2024-05-09 09:30:00-04:00,True,bearish_non_magenta,True,False
ALAB,2024-05-23,GAP_UP,0.0383537294045257,0.0383537294045257,2-5%,4.439999999999998,75.94,73.135,BEARISH,74.164,True,76.37,69.61,70.06,0.0,290.0,74.0,2024-05-23 09:40:00-04:00,10.0,0.053243,0.07743,0.0,0.059324,False,-0.016216,False,0.030608,0.026216,0.030405,0.023108,-29.195767851932303,False,2024-05-23 09:30:00-04:00,True,bearish_non_magenta,True,True
ALAB,2024-06-12,GAP_UP,0.0253339474896362,0.0253339474896362,2-5%,3.659642857142856,66.78,65.13,BEARISH,65.31614285714286,True,67.04,63.78,64.5,15.0,355.0,65.01,2024-06-12 10:05:00-04:00,35.0,0.007845,0.034142,0.014536,0.01892,True,0.014536,False,-0.013613,-0.003999,0.00323,-0.007076,-30.319638086547968,False,2024-06-12 09:30:00-04:00,True,bearish_non_magenta,True,True
ALAB,2024-08-13,GAP_UP,0.0235753908219869,0.0235753908219869,2-5%,4.20857142857143,40.595,39.66,BEARISH,38.91157142857143,False,41.0,39.13,40.37,15.0,160.0,,,,,0.0055425545017859,,,,,,,,,,13.169957588240145,False,2024-08-13 09:30:00-04:00,True,bearish_non_magenta,True,False
ALAB,2024-12-13,GAP_UP,0.0452503471371395,0.0452503471371395,2-5%,7.690714285714286,127.97,122.43,BEARISH,124.89371428571428,False,132.615,125.505,132.14,380.0,10.0,,,,,-0.0325857622880361,,,,,,,,,,90.35523056607828,False,2024-12-13 09:30:00-05:00,True,bearish_non_magenta,False,False
ALAB,2024-12-23,GAP_UP,0.0246273738367256,0.0246273738367256,2-5%,7.812499999999998,135.425,132.17,BEARISH,132.3,True,135.425,131.71,134.055,0.0,20.0,131.77,2024-12-23 09:50:00-05:00,20.0,-0.017341,0.010116,0.02512,0.000455,True,0.017151,False,-0.009676,-0.017341,-0.017341,-0.017341,-21.911434499777947,False,2024-12-23 09:30:00-05:00,True,bearish_non_magenta,True,False
ALAB,2025-01-06,GAP_UP,0.0417997303243205,0.0417997303243205,2-5%,7.962499999999994,146.8,140.91,BEARISH,143.615,True,147.21,140.69,143.74,30.0,140.0,142.79,2025-01-06 11:15:00-05:00,105.0,-0.006653,0.020845,0.011625,0.014707,True,0.007494,False,0.0007,0.012816,0.006373,-0.00063,100.0,False,2025-01-06 09:30:00-05:00,True,bearish_non_magenta,True,False
ALAB,2025-01-14,GAP_UP,0.0259535981124654,0.0259535981124654,2-5%,7.332142857142854,130.45,127.15,BEARISH,127.51714285714284,True,132.1,125.39,128.41,10.0,185.0,127.395,2025-01-14 10:55:00-05:00,85.0,-0.007967,0.015638,0.008046,0.015738,True,0.002316,False,0.000353,0.003964,0.012363,0.01044,100.0,False,2025-01-14 09:30:00-05:00,True,bearish_non_magenta,True,False
ALAB,2025-05-01,GAP_UP,0.0709909633940877,0.0709909633940877,5-8%,3.907857142857143,69.925,65.29,BEARISH,68.36185714285713,False,70.345,68.38,69.25,80.0,40.0,,,,,0.0096531998569895,,,,,,,,,,100.0,False,2025-05-01 09:30:00-04:00,True,bearish_non_magenta,True,False
ALAB,2025-05-08,GAP_UP,0.0258826839217893,0.0258826839217893,2-5%,4.148571428571428,72.93,71.09,BEARISH,71.27057142857143,True,73.74,69.865,71.735,0.0,30.0,71.24,2025-05-08 09:30:00-04:00,0.0,-0.006948,0.016386,0.035093,0.019301,True,0.004913,False,0.010177,0.00744,-0.006878,-0.008914,100.0,False,2025-05-08 09:30:00-04:00,True,bearish_non_magenta,True,False
ALAB,2025-08-27,GAP_UP,0.0255333445321686,0.0255333445321686,2-5%,10.12392857142858,183.15,178.59,BEARISH,179.10042857142858,True,184.31,176.7,179.14,0.0,180.0,178.52,2025-08-27 09:40:00-04:00,10.0,-0.003473,0.021895,0.008542,0.010195,True,0.008542,False,0.005434,0.00605,0.003585,0.00633,-5.115796387727452,False,2025-08-27 09:30:00-04:00,True,bearish_non_magenta,True,False
AMD,2024-01-24,GAP_UP,0.0248515439429928,0.0248515439429928,2-5%,7.538571428571428,172.585,168.4,BEARISH,169.56957142857144,False,180.57,170.67,178.3,205.0,5.0,,,,,-0.0331141176811426,,,,,,,,,,44.76744130488179,False,2024-01-24 09:30:00-05:00,True,bearish_non_magenta,False,False
AMZN,2025-06-06,GAP_UP,0.0217903699071624,0.0217903699071624,2-5%,4.55035714285715,212.42,207.89,BEARISH,210.59985714285716,False,213.86,210.53,213.51,380.0,0.0,,,,,-0.0051313435646361,,,,,,,,,,-31.710405896891995,False,2025-06-06 09:30:00-04:00,True,bearish_non_magenta,False,False
ANF,2024-07-31,GAP_UP,0.028317068995035,0.028317068995035,2-5%,6.930000000000001,150.16,146.025,BEARISH,147.388,True,150.16,145.945,147.57,0.0,250.0,147.0,2024-07-31 09:40:00-04:00,10.0,-0.003878,0.017248,0.014286,0.007177,True,0.007415,False,0.002041,-0.003946,0.002245,0.003129,80.23857812971421,False,2024-07-31 09:30:00-04:00,True,bearish_non_magenta,True,False
ANF,2024-08-07,GAP_UP,0.022620510226205,0.022620510226205,2-5%,7.732500000000006,141.5,138.37,BEARISH,138.407,True,141.5,131.095,131.41,0.0,385.0,138.0,2024-08-07 10:15:00-04:00,45.0,0.047754,0.071307,0.008696,0.050036,True,0.005652,False,0.007391,0.002971,0.01087,0.017464,21.76335551450036,False,2024-08-07 09:30:00-04:00,True,bearish_non_magenta,True,True
