timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,104.25,104.25,104.25,0,104.25,0,0.0
2024-01-03 05:00:00+00:00,104.25,104.25,104.25,0,104.25,0,0.0
2024-01-04 05:00:00+00:00,95.69,95.69,95.69,4,95.69,186,95.69
2024-01-05 05:00:00+00:00,95.12,95.12,95.09,7,95.09,362,95.105
2024-01-08 05:00:00+00:00,92.13,92.39,91.93,14,92.39,943,92.128571
2024-01-09 05:00:00+00:00,90.37,90.62,89.56,12,90.62,1057,90.0865
2024-01-10 05:00:00+00:00,90.92,90.92,90.59,7,90.59,291,90.755
2024-01-11 05:00:00+00:00,90.615,90.65,90.615,4,90.65,232,90.6325
2024-01-12 05:00:00+00:00,89.95,92.16,89.35,30,92.13,2447,89.973478
2024-01-16 05:00:00+00:00,86.65,86.98,86.19,25,86.94,1230,86.835556
2024-01-17 05:00:00+00:00,85.08,85.08,84.11,24,84.41,1543,84.655556
2024-01-18 05:00:00+00:00,85.08,85.08,85.08,0,85.08,0,0.0
2024-01-19 05:00:00+00:00,85.08,85.08,85.08,0,85.08,0,0.0
2024-01-22 05:00:00+00:00,86.89,86.89,86.89,29,86.89,918,86.89
2024-01-23 05:00:00+00:00,87.01,87.01,87.01,4,87.01,231,87.01
2024-01-24 05:00:00+00:00,89.28,89.37,89.05,16,89.1,802,89.2
2024-01-25 05:00:00+00:00,86.26,88.145,85.96,40,87.92,1872,86.656111
2024-01-26 05:00:00+00:00,87.84,88.38,87.04,14,87.11,856,87.64
2024-01-29 05:00:00+00:00,90.59,90.67,90.41,10,90.41,725,90.6
2024-01-30 05:00:00+00:00,90.03,90.14,90.03,10,90.14,567,90.085
2024-01-31 05:00:00+00:00,90.75,90.78,90.66,16,90.7,748,90.715556
2024-02-01 05:00:00+00:00,88.49,89.055,88.49,12,89.055,752,88.681667
2024-02-02 05:00:00+00:00,87.89,87.89,87.33,13,87.33,959,87.775
2024-02-05 05:00:00+00:00,87.89,87.89,87.89,0,87.89,0,0.0
2024-02-06 05:00:00+00:00,87.21,87.21,87.21,5,87.21,284,87.21
2024-02-07 05:00:00+00:00,83.03,85.19,83.03,10,84.92,737,84.27
2024-02-08 05:00:00+00:00,80.97,82.91,80.97,14,81.4,954,81.588333
2024-02-09 05:00:00+00:00,79.76,80.84,79.76,8,80.84,515,80.515
2024-02-12 05:00:00+00:00,81.89,81.89,81.8,4,81.8,263,81.845
2024-02-13 05:00:00+00:00,79.5,79.5,78.7,13,78.7,1026,79.284444
2024-02-14 05:00:00+00:00,85.18,85.92,85.06,8,85.06,495,85.4175
2024-02-15 05:00:00+00:00,87.89,89.22,87.25,22,87.25,1391,87.861364
2024-02-16 05:00:00+00:00,87.265,88.7,87.265,7,88.7,415,87.9825
2024-02-20 05:00:00+00:00,90.1,90.3,89.4,38,89.68,2426,89.921765
2024-02-21 05:00:00+00:00,85.76,87.26,85.76,20,87.26,651,86.51
2024-02-22 05:00:00+00:00,89.045,89.49,87.65,11,88.47,1208,88.474992
2024-02-23 05:00:00+00:00,90.35,90.35,90.13,21,90.13,1163,90.245
2024-02-26 05:00:00+00:00,87.815,87.85,87.16,9,87.16,724,87.555
2024-02-27 05:00:00+00:00,89.265,89.265,88.82,13,89.17,761,89.138
2024-02-28 05:00:00+00:00,84.62,84.99,84.62,3,84.99,284,84.805
2024-02-29 05:00:00+00:00,84.62,84.62,84.62,0,84.62,0,0.0
2024-03-01 05:00:00+00:00,87.5,87.96,87.43,16,87.87,1636,87.697333
2024-03-04 05:00:00+00:00,88.56,88.56,87.96,14,87.96,554,88.41
2024-03-05 05:00:00+00:00,87.26,87.26,85.75,10,85.92,738,86.684
2024-03-06 05:00:00+00:00,95.39,95.8,94.27,22,94.37,1107,95.0
2024-03-07 05:00:00+00:00,94.74,95.6,94.74,19,95.6,1226,95.115303
2024-03-08 05:00:00+00:00,93.92,94.73,92.67,38,94.69,2076,94.176299
2024-03-11 04:00:00+00:00,94.96,95.23,94.8,18,94.98,1424,95.086364
2024-03-12 04:00:00+00:00,95.71,95.73,93.54,6,93.54,465,94.993333
2024-03-13 04:00:00+00:00,98.05,98.77,97.46,37,98.77,1470,98.30375
2024-03-14 04:00:00+00:00,98.3,98.3,97.62,17,98.2,1039,97.997222
2024-03-15 04:00:00+00:00,99.44,100.06,99.44,14,99.67,1232,99.721818
2024-03-18 04:00:00+00:00,95.02,96.76,95.02,6,96.76,307,95.89
2024-03-19 04:00:00+00:00,91.3,91.87,90.11,25,91.87,1430,91.211719
2024-03-20 04:00:00+00:00,92.59,92.59,91.33,7,91.33,475,91.66
2024-03-21 04:00:00+00:00,92.65,93.86,92.09,11,93.86,1005,92.756667
2024-03-22 04:00:00+00:00,91.16,92.35,91.12,9,92.34,703,91.943333
2024-03-25 04:00:00+00:00,91.16,91.16,91.16,0,91.16,0,0.0
2024-03-26 04:00:00+00:00,91.67,92.29,91.67,2,92.29,200,91.98
2024-03-27 04:00:00+00:00,90.88,90.88,89.31,13,89.41,1086,90.089494
2024-03-28 04:00:00+00:00,93.41,93.65,93.205,13,93.65,721,93.401
2024-04-01 04:00:00+00:00,91.65,91.81,91.65,6,91.81,397,91.756667
2024-04-02 04:00:00+00:00,91.93,92.8,91.93,15,92.79,1754,92.162353
2024-04-03 04:00:00+00:00,93.86,93.86,93.17,24,93.22,792,93.416667
2024-04-04 04:00:00+00:00,93.92,95.24,93.92,12,95.24,812,94.6525
2024-04-05 04:00:00+00:00,92.29,92.29,91.64,10,91.8,510,91.91
2024-04-08 04:00:00+00:00,96.32,96.49,94.59,17,95.71,800,95.88
2024-04-09 04:00:00+00:00,99.78,99.78,98.13,37,98.92,2595,99.105789
2024-04-10 04:00:00+00:00,96.53,97.9,95.78,53,96.87,2983,97.127
2024-04-11 04:00:00+00:00,95.96,96.21,94.61,13,96.13,1044,95.819844
2024-04-12 04:00:00+00:00,96.37,99.18,96.32,27,98.03,1820,98.039286
2024-04-15 04:00:00+00:00,94.78,94.79,94.715,12,94.715,591,94.76625
2024-04-16 04:00:00+00:00,92.55,92.55,92.48,6,92.48,393,92.515
2024-04-17 04:00:00+00:00,94.97,95.575,94.97,24,95.575,806,95.175
2024-04-18 04:00:00+00:00,94.59,95.485,94.59,14,95.485,1120,95.122666
2024-04-19 04:00:00+00:00,93.66,93.66,93.41,6,93.41,362,93.535
2024-04-22 04:00:00+00:00,93.15,94.07,92.01,19,92.11,1441,93.047273
2024-04-23 04:00:00+00:00,94.05,94.2,93.98,4,94.2,373,94.076667
2024-04-24 04:00:00+00:00,92.21,92.35,92.21,5,92.35,415,92.263333
2024-04-25 04:00:00+00:00,90.68,90.8,89.85,16,90.8,1434,90.304167
2024-04-26 04:00:00+00:00,87.89,89.0,87.84,14,88.41,1130,88.337727
2024-04-29 04:00:00+00:00,89.81,89.88,89.81,7,89.88,429,89.845
2024-04-30 04:00:00+00:00,87.81,88.16,86.1,70,86.41,6399,87.079491
2024-05-01 04:00:00+00:00,87.04,87.04,87.04,4,87.04,185,87.04
2024-05-02 04:00:00+00:00,86.28,86.49,85.025,9,85.66,1100,85.773182
2024-05-03 04:00:00+00:00,86.72,87.57,85.92,31,87.18,2511,86.959574
2024-05-06 04:00:00+00:00,90.22,90.58,90.22,5,90.58,276,90.4
2024-05-07 04:00:00+00:00,89.18,90.245,89.12,11,90.245,1000,89.378125
2024-05-08 04:00:00+00:00,87.66,88.48,87.66,6,88.48,323,88.07
2024-05-09 04:00:00+00:00,89.02,89.25,88.59,11,89.06,1061,89.062222
2024-05-10 04:00:00+00:00,90.43,91.74,89.97,26,91.74,3132,90.132691
2024-05-13 04:00:00+00:00,88.75,90.02,88.75,14,90.02,1207,89.132727
2024-05-14 04:00:00+00:00,89.95,90.42,89.8,15,89.91,1294,90.002727
2024-05-15 04:00:00+00:00,92.94,93.44,90.07,60,93.43,5610,92.259939
2024-05-16 04:00:00+00:00,91.29,91.51,91.05,24,91.16,2067,91.270783
2024-05-17 04:00:00+00:00,92.79,93.16,91.2,25,91.2,2009,92.272105
2024-05-20 04:00:00+00:00,95.49,95.49,92.21,51,92.58,4062,93.899262
2024-05-21 04:00:00+00:00,94.75,96.0,93.91,51,95.13,4508,95.333468
2024-05-22 04:00:00+00:00,91.8,92.74,91.61,83,92.64,3391,92.198621
2024-05-23 04:00:00+00:00,88.76,90.06,88.76,25,90.06,1111,89.515
2024-05-24 04:00:00+00:00,88.92,89.23,88.92,9,89.14,643,89.095
2024-05-28 04:00:00+00:00,90.36,90.525,89.76,28,89.79,2662,90.175582
2024-05-29 04:00:00+00:00,88.165,88.76,87.52,36,88.05,3349,88.216833
2024-05-30 04:00:00+00:00,87.28,87.735,87.09,11,87.09,840,87.513571
2024-05-31 04:00:00+00:00,84.04,87.61,83.59,51,87.61,4085,84.631515
2024-06-03 04:00:00+00:00,84.6,85.26,84.6,17,85.12,1197,84.990714
2024-06-04 04:00:00+00:00,83.44,83.965,83.34,7,83.34,471,83.62375
2024-06-05 04:00:00+00:00,85.74,85.855,85.14,11,85.38,942,85.543889
2024-06-06 04:00:00+00:00,85.815,86.54,85.48,18,86.54,917,85.882143
2024-06-07 04:00:00+00:00,83.635,83.98,83.375,19,83.82,1862,83.74205
2024-06-10 04:00:00+00:00,83.28,83.28,82.0,10,82.94,822,82.628571
2024-06-11 04:00:00+00:00,81.69,81.96,81.36,14,81.6,1241,81.603333
2024-06-12 04:00:00+00:00,82.94,83.64,82.94,13,83.64,1375,83.463077
2024-06-13 04:00:00+00:00,81.42,83.27,81.05,18,83.19,1109,82.378
2024-06-14 04:00:00+00:00,81.81,82.27,81.19,11,81.38,910,81.615489
2024-06-17 04:00:00+00:00,81.93,82.08,80.88,12,80.88,972,81.591333
2024-06-18 04:00:00+00:00,82.02,82.11,81.36,10,81.36,703,81.686667
2024-06-20 04:00:00+00:00,85.2,85.79,84.33,13,84.33,1047,85.134444
2024-06-21 04:00:00+00:00,87.44,92.81,87.275,42,89.99,2924,89.434565
2024-06-24 04:00:00+00:00,92.53,92.53,92.09,21,92.09,746,92.311667
2024-06-25 04:00:00+00:00,86.71,87.38,86.71,18,87.11,1033,87.115556
2024-06-26 04:00:00+00:00,85.74,85.74,85.61,11,85.61,550,85.675
2024-06-27 04:00:00+00:00,85.8,85.8,85.8,3,85.8,169,85.8
2024-06-28 04:00:00+00:00,85.8,85.8,85.8,0,85.8,0,0.0
2024-07-01 04:00:00+00:00,89.14,89.14,89.055,5,89.11,455,89.11125
2024-07-02 04:00:00+00:00,93.21,93.43,92.69,8,93.02,594,93.064
2024-07-03 04:00:00+00:00,94.87,96.945,94.87,15,96.945,777,95.676
2024-07-05 04:00:00+00:00,94.14,95.04,94.14,14,95.04,771,94.415
2024-07-08 04:00:00+00:00,94.14,94.14,94.14,0,94.14,0,0.0
2024-07-09 04:00:00+00:00,90.19,90.19,90.19,6,90.19,309,90.19
2024-07-10 04:00:00+00:00,91.03,91.03,91.03,3,91.03,160,91.03
2024-07-11 04:00:00+00:00,91.35,92.35,91.35,13,92.35,590,91.85
2024-07-12 04:00:00+00:00,89.01,90.38,89.01,7,89.96,449,89.783333
2024-07-15 04:00:00+00:00,87.31,87.95,87.31,22,87.95,1510,87.505098
2024-07-16 04:00:00+00:00,88.45,88.45,85.96,35,85.96,3239,87.43895
2024-07-17 04:00:00+00:00,87.62,88.07,87.465,15,88.07,1445,87.871089
2024-07-18 04:00:00+00:00,85.02,87.21,85.02,50,87.01,4546,86.088388
2024-07-19 04:00:00+00:00,83.915,84.99,83.53,39,84.71,5645,84.112831
2024-07-22 04:00:00+00:00,83.52,83.52,82.59,39,83.09,3389,83.003152
2024-07-23 04:00:00+00:00,85.29,85.29,83.78,22,83.78,1878,84.382269
2024-07-24 04:00:00+00:00,85.615,86.59,85.615,17,86.51,1363,86.175
2024-07-25 04:00:00+00:00,83.61,83.79,83.02,26,83.04,1856,83.304848
2024-07-26 04:00:00+00:00,82.83,82.92,82.49,14,82.75,1400,82.668929
2024-07-29 04:00:00+00:00,83.23,83.23,83.085,5,83.085,284,83.1575
2024-07-30 04:00:00+00:00,81.95,82.41,81.95,16,82.35,785,82.278333
2024-07-31 04:00:00+00:00,84.96,85.52,84.875,52,85.28,3697,85.283277
2024-08-01 04:00:00+00:00,83.61,84.11,82.775,25,84.11,1475,83.515714
2024-08-02 04:00:00+00:00,81.8,82.605,81.8,6,82.605,268,82.2025
2024-08-05 04:00:00+00:00,77.795,79.85,77.75,70,78.2,5705,78.962071
2024-08-06 04:00:00+00:00,80.56,80.78,80.56,13,80.65,577,80.663333
2024-08-07 04:00:00+00:00,80.56,80.56,80.56,0,80.56,0,0.0
2024-08-08 04:00:00+00:00,84.27,84.67,84.01,29,84.55,2301,84.341528
2024-08-09 04:00:00+00:00,84.29,84.29,84.29,4,84.29,113,84.29
2024-08-12 04:00:00+00:00,84.255,84.54,84.255,9,84.54,599,84.44375
2024-08-13 04:00:00+00:00,85.89,86.37,85.89,19,86.37,810,86.14
2024-08-14 04:00:00+00:00,85.34,85.74,84.75,12,85.52,1491,85.245142
2024-08-15 04:00:00+00:00,86.29,86.99,86.29,12,86.99,762,86.564739
2024-08-16 04:00:00+00:00,87.225,87.225,85.95,22,86.325,1469,86.665417
2024-08-19 04:00:00+00:00,85.94,85.98,84.52,23,84.52,1794,85.650682
2024-08-20 04:00:00+00:00,84.99,86.7,84.99,15,86.7,1303,86.487641
2024-08-21 04:00:00+00:00,87.26,87.98,87.2,6,87.75,550,87.586
2024-08-22 04:00:00+00:00,85.21,85.81,85.21,13,85.81,1416,85.701764
2024-08-23 04:00:00+00:00,87.49,87.49,86.64,26,86.83,4351,87.058716
2024-08-26 04:00:00+00:00,88.27,88.91,88.27,11,88.91,939,88.651429
2024-08-27 04:00:00+00:00,89.225,89.99,88.875,53,89.95,4770,89.486159
2024-08-28 04:00:00+00:00,87.1,87.4,87.1,5,87.38,305,87.293333
