Ticker,Rally_Period,Trading_Days,Start_Price,End_Price,Peak_Price,Total_Return_%,Max_Drawdown_%,Avg_Normalized_HL_Range,Log_Returns_Skewness,Avg_Daily_Volume_Rally,Avg_Daily_Volume_Lookback,Volume_Spike_Ratio,Extreme_Volume_Days,Extreme_Volume_Threshold
TLRY,2018-07-01 to 2018-12-31,113,223.89999389648438,751.5,2140.60009765625,235.6409202706101,-69.21891084955595,1.0123713860003547,0.08588267267747883,591846,0,0.0,0,0
CGC,2018-07-01 to 2018-12-31,125,308.1000061035156,273.70001220703125,568.9000244140625,-11.165203899712564,-53.91105625683819,0.969559606027896,0.7342865831996388,1023957,163851,6.249297779209967,86,505106
MSOS,2020-10-01 to 2021-06-30,187,21.712936401367188,39.83613586425781,54.893096923828125,83.46728939780559,-31.78928464806135,0.9455996354125756,0.15478246431324277,661549,56870,11.632666302449813,162,141919
