date,gap_pct,gap_band,rs_z_prior,rs_class_prior,ts_zone_prior_daily,slope_state_at_open,trend_score_at_open,ts_zone_at_open,bar_of_first_rising,has_rising_in_opening,open,high,low,close,open_to_close,open_to_high,open_to_low,reversal_ratio,cond1_gap,cond2_slope,cond3_rs,is_primary_event
2023-02-06,-0.8720212772549992,Primary,,,,-1.0,-39.844724413180806,BEAR,2.0,True,298.1346563586597,300.4921448518524,296.8674946774453,298.2132263183594,0.0263538498540596,0.7907462091078121,-0.4250299836628207,0.3712721438377745,True,True,False,False
2023-02-10,-0.7292646368495084,Primary,,,,-1.0,-37.20969752070981,BEAR,4.0,True,294.1760155124564,296.22899658819284,291.98549954330554,294.3921203613281,0.0734610700655799,0.6978750705288292,-0.7446276561109034,0.5671314938046578,True,True,False,False
2023-02-17,-0.7352384496493025,Primary,,,,1.0,-40.82368584103226,BEAR,1.0,True,295.7378609837291,296.5826154333962,292.820460423188,295.8262634277344,0.0298921631850669,0.2856429835723955,-0.9864819305978472,0.7989577772288622,True,True,False,False
2023-03-02,-0.8722598019762939,Primary,,,,-1.0,-49.95739116599117,BEAR,,False,283.5476586547441,289.2154576380953,283.2627863383192,288.40997314453125,1.714813838652653,1.9988875980289675,-0.1004671728824932,0.864685205515321,True,False,False,False
2023-03-15,-0.8944856581828701,Primary,,,,-1.0,-6.342558020621077,NEUT,,False,289.4905101030698,293.9697475146975,288.04654343898625,293.6357727050781,1.4319165766547677,1.5472829869389737,-0.4987958546791283,0.9436158529487696,True,False,False,False
2023-04-19,-0.7683717763655981,Primary,,,,1.0,-55.379057693607294,BEAR,1.0,True,311.2873283359622,314.6126109678501,311.1594282311205,313.5500793457031,0.7269010986848908,1.0682357838540335,-0.0410874755247452,0.692303679488078,True,True,False,False
2023-07-20,-0.7882745492023369,Primary,-0.6207487609311679,Weak,BULL,1.0,-65.75120849003153,BEAR,1.0,True,376.9319221520703,378.3998304858376,370.14418774504543,371.1687622070313,-1.5289657379334074,0.3894359292750698,-1.8007852368328725,0.1241059593002164,True,True,False,False
2023-08-11,-0.7053906327095026,Primary,-1.6231576949583535,Crushed,OS,0.0,-70.30408018245056,OS,2.0,True,360.55858068613566,362.5387612582735,359.2778851314787,360.8048706054688,0.0683078790870726,0.5491980161364061,-0.355197635906996,0.4682746030868187,True,True,True,True
2023-09-26,-0.7285452180406549,Primary,0.2069124395640574,Neutral,OS,-1.0,-93.94756312177763,OS,,False,352.20126452189186,352.74390479132245,348.4719713025343,349.45855712890625,-0.7787329772108551,0.1540710735855018,-1.0588528761871443,0.2309459707088771,True,False,False,False
2023-10-06,-0.8475498312910362,Primary,0.6507949345584587,Strong,BEAR,1.0,-30.36385632129614,BEAR,1.0,True,350.8791522932069,361.0015298859656,350.08989587971325,359.8077697753906,2.544641773052007,2.884861504766774,-0.2249368217904637,0.890597493474307,True,True,False,False
2024-01-02,-0.8986005845839294,Primary,0.2540557349753415,Neutral,OB,-1.0,-76.73576889341304,OS,3.0,True,401.4067282499002,401.6539973287687,395.8678948464025,398.1922302246094,-0.8008082075020928,0.0616006313463083,-1.3798556460791096,0.4017100259268719,True,True,False,False
2024-01-09,-0.7507169276790545,Primary,-0.8222479625692962,Weak,NEUT,0.0,-98.55460557893426,OS,3.0,True,397.519638814638,402.2474220769775,397.3218114911748,401.3176879882813,0.9554368646964764,1.189320677699669,-0.0497654214149201,0.8112449060881902,True,True,False,False
2024-01-17,-0.8180314295167315,Primary,0.1504878280479114,Neutral,NEUT,-1.0,-76.67010467100505,OS,,False,401.733070775073,403.1375419966953,398.5185733063885,402.7616882324219,0.2560450040531553,0.3496030881681304,-0.8001575430378919,0.9186282069713598,True,False,False,False
2024-10-31,-0.8058309180650329,Primary,0.933922215383254,Strong,NEUT,-1.0,-97.5574300607818,OS,,False,489.10677721962367,489.1564327053802,480.5341426005013,480.6334838867188,-1.732401538386391,0.0101522792300726,-1.7527122948192142,0.0115214502190429,True,False,False,False
2024-12-20,-0.7254308541189075,Primary,1.7971530321891132,Dominant,NEUT,-1.0,-81.61974037272498,OS,4.0,True,507.0467099804337,521.3311197650482,505.9043609895219,515.2120361328125,1.6103696151965703,2.817178280313808,-0.2252946263976199,0.6033461259572358,True,True,False,False
2025-01-10,-0.7355383457748996,Primary,-0.0540629090565945,Neutral,BEAR,-1.0,-64.244853754731,BEAR,,False,508.8990985985744,508.9985697107834,501.3772485549007,504.6307373046875,-0.8387441254349439,0.0195463329534061,-1.4780631493330785,0.42689301280468,True,False,False,False
2025-03-20,-0.8338758205381616,Primary,-1.6384600557072533,Crushed,OS,-1.0,-29.84755588580586,NEUT,,False,474.4736490056198,482.1049288704296,473.7771690886222,476.8416442871094,0.4990783548153455,1.6083674785318636,-0.1467900100368566,0.3679831405778229,True,False,True,False
2025-05-05,-0.8653307182689206,Primary,2.28648744579096,Dominant,BULL,-1.0,-88.75899782150822,OS,,False,482.87372581995743,487.2879376271539,482.37550695931134,484.198974609375,0.274450382896107,0.9141544820440972,-0.1031778773632953,0.3711945823480687,True,False,False,False
2025-05-21,-0.7688371502738263,Primary,2.0155624656165867,Dominant,OB,-1.0,-45.76690818321838,BEAR,4.0,True,514.4309069287539,521.1369131370851,509.418796143357,511.2123718261719,-0.6256496371489877,1.3035776268512564,-0.9743020331573968,0.1530600593742887,True,True,False,False
