group,1wk_n,1wk_mean,1wk_median,1wk_win_rate,1wk_pct25,1wk_pct75,2wk_n,2wk_mean,2wk_median,2wk_win_rate,2wk_pct25,2wk_pct75,3wk_n,3wk_mean,3wk_median,3wk_win_rate,3wk_pct25,3wk_pct75,4wk_n,4wk_mean,4wk_median,4wk_win_rate,4wk_pct25,4wk_pct75,6wk_n,6wk_mean,6wk_median,6wk_win_rate,6wk_pct25,6wk_pct75,8wk_n,8wk_mean,8wk_median,8wk_win_rate,8wk_pct25,8wk_pct75,12wk_n,12wk_mean,12wk_median,12wk_win_rate,12wk_pct25,12wk_pct75
GROSS_ONLY,21,1.9965964057897918,0.4176165594044434,57.14285714285714,-2.5123304562268745,4.214559386973171,21,4.070248385230845,2.6926824631033686,71.42857142857143,-0.2202072538860178,8.666798081345695,21,3.2083109457766956,1.869158878504673,57.14285714285714,-3.7680918316419842,6.5838754188843,21,2.6844051253159074,1.8540561260516064,57.14285714285714,-5.0621479668227165,7.908387683907181,21,2.1852336402147996,2.1933778018147887,57.14285714285714,-4.901356350184949,6.523440278864645,20,3.6460136009988893,3.801250725005334,65.0,-0.5649591737829723,8.960593943817402,20,5.21942351974789,4.731561768461578,70.0,-5.054556211386737,12.054675669515818
OPERATING_ONLY,45,0.39231730943408094,0.27281118594235654,53.333333333333336,-3.4638113627055156,3.2573903219732747,45,1.5061608665811343,0.7154961400866133,57.77777777777777,-3.6049888945839714,4.7195436642673005,45,1.6005753345263463,1.4913719059889141,57.77777777777777,-3.7206374238512474,6.688248624150228,45,0.8188392404813588,3.830911492734468,60.0,-4.2508867743933365,7.269503546099276,45,2.696062189109654,3.096563900583993,64.44444444444444,-5.903692001638294,8.596701912656336,45,4.2743587563564835,0.4199856415165293,53.333333333333336,-6.353808907156145,14.277117222262747,45,9.339029497867646,4.852320675105504,55.55555555555556,-4.595933709208944,14.649794593498001
EBITDA_ONLY,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
GROSS+OPERATING,12,4.22565129168043,3.130853140780332,58.333333333333336,-2.6864017909284668,10.35026809571894,12,5.243697398602615,8.072213387440774,75.0,1.6938637443489946,12.332909666020953,12,3.4035872472849817,5.355453078930261,66.66666666666666,-0.5990128625435492,11.751540454311504,12,5.438999518448441,7.519487099862365,83.33333333333334,1.750402750158847,12.307544419174704,12,1.021851460322804,2.383073006577774,58.333333333333336,-5.7061943430018776,8.294355851388591,12,3.4465261154780915,5.232898849613066,58.333333333333336,-15.41356490033251,20.84558577020202,12,7.470457187228661,8.352492830431125,58.333333333333336,-20.420513075677217,26.425154608128295
GROSS+EBITDA,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
OPERATING+EBITDA,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
ALL_THREE,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
CONTROL_A,234,1.1032350874858543,0.19823102629087375,52.991452991452995,-2.4149803080528747,2.909327806226647,233,1.919538252903272,0.5035354617527465,52.36051502145923,-4.303749043611327,4.801291103490013,230,3.791010356619651,0.7882439433663624,53.47826086956522,-4.555401931213107,7.752619799866012,230,4.786253564360304,1.389625615183998,55.65217391304348,-4.131927778144312,10.073191413425937,229,6.386285612919332,3.0244296386028546,60.698689956331876,-6.6813186813186825,12.149217674653778,228,7.6353395085551465,3.1035670799186788,61.8421052631579,-7.531832053035886,12.931273541634352,226,11.194336005281775,3.1491813521131617,58.4070796460177,-8.746550850421459,19.800897212279654
CONTROL_B,159,2.1280505227615913,-0.08902077151335952,49.056603773584904,-4.0716541305658716,5.115952927619805,159,2.773026454523887,0.9594298245614086,52.20125786163522,-4.650692833815823,6.644168949000617,158,3.2816362169394404,1.043392907916485,55.06329113924051,-4.7785092760732395,8.11236089680904,158,4.770201048990545,2.3752930793197846,58.86075949367089,-5.591454981353698,9.189996622189051,157,4.284424151179037,-0.7692307692307665,47.77070063694268,-9.234616036616384,13.836999639379744,156,13.510946073387199,1.0375329786979526,53.205128205128204,-7.848726161441033,14.380364877102725,152,10.24889669777187,3.6244883864883226,59.210526315789465,-7.673192343325402,20.82145155093774
CONTROL_C,78,0.7539347560284133,0.18708741366301185,51.28205128205128,-2.4455910429617895,3.3592400690846236,77,-1.4072351262823801,-1.2054979720594994,46.75324675324675,-6.102467811158796,3.5331021958064923,77,-1.7135045583549262,-0.8635476429880939,41.55844155844156,-6.3236870310825255,3.5523159254475134,77,-0.4073162371720397,-0.8323264867767355,45.45454545454545,-8.656538576109618,7.441860465116279,76,0.04818225518704355,1.7938307352400096,56.57894736842105,-7.144363996651659,9.261905319553975,76,-0.9133639735676684,-0.5704258047531219,46.05263157894737,-13.849188245915714,12.860048642907607,75,1.9148757739257602,1.2231102479832723,52.0,-13.663678457577994,15.052886262074338
