stacking_tier,1wk_n,1wk_mean,1wk_median,1wk_win_rate,1wk_pct25,1wk_pct75,2wk_n,2wk_mean,2wk_median,2wk_win_rate,2wk_pct25,2wk_pct75,3wk_n,3wk_mean,3wk_median,3wk_win_rate,3wk_pct25,3wk_pct75,4wk_n,4wk_mean,4wk_median,4wk_win_rate,4wk_pct25,4wk_pct75,6wk_n,6wk_mean,6wk_median,6wk_win_rate,6wk_pct25,6wk_pct75,8wk_n,8wk_mean,8wk_median,8wk_win_rate,8wk_pct25,8wk_pct75,12wk_n,12wk_mean,12wk_median,12wk_win_rate,12wk_pct25,12wk_pct75
SINGLE,66,0.9027697491836251,0.3132329074508444,54.54545454545454,-2.748193379027297,3.959208940848308,66,2.3220068952424056,1.7296129306191066,62.121212121212125,-3.2230946544119288,5.470590384866558,66,2.11212757446964,1.835967576984443,57.57575757575758,-3.7562282296943,6.662155322833746,66,1.412428385655988,2.9352630512128552,59.09090909090909,-4.270409560431787,7.33292084772581,66,2.53352583264311,2.574716975791236,62.121212121212125,-5.30817932423262,7.428411470718427,65,4.081021785477225,2.830358752478812,56.92307692307692,-6.340806311940728,12.667252893504767,65,8.071458427676953,4.852320675105504,60.0,-4.870530209617751,13.918181138284336
DOUBLE,12,4.22565129168043,3.130853140780332,58.333333333333336,-2.6864017909284668,10.35026809571894,12,5.243697398602615,8.072213387440774,75.0,1.6938637443489946,12.332909666020953,12,3.4035872472849817,5.355453078930261,66.66666666666666,-0.5990128625435492,11.751540454311504,12,5.438999518448441,7.519487099862365,83.33333333333334,1.750402750158847,12.307544419174704,12,1.021851460322804,2.383073006577774,58.333333333333336,-5.7061943430018776,8.294355851388591,12,3.4465261154780915,5.232898849613066,58.333333333333336,-15.41356490033251,20.84558577020202,12,7.470457187228661,8.352492830431125,58.333333333333336,-20.420513075677217,26.425154608128295
TRIPLE,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
