group,n_4wk,mean_4wk,winrate_4wk,n_12wk,mean_12wk,winrate_12wk,p_4wk
GROSS_ONLY,21,2.6844051253159074,57.14285714285714,20,5.21942351974789,66.66666666666666,0.8248094533377506
OPERATING_ONLY,45,0.8188392404813588,60.0,45,9.339029497867646,55.55555555555556,0.7060817007872465
EBITDA_ONLY,0,,,0,,,
