ticker,signal_date,group,margin_combo,stacking_tier,n_margins_3yr,gross_margin,operating_margin,ebitda_margin,days_to_ath,ret_1wk,ret_2wk,ret_3wk,ret_4wk,ret_6wk,ret_8wk,ret_12wk
BA,2011-10-26,CONTROL_B,OPERATING_ONLY,,1,,,,,-4.645764156210519,5.386265463841777,1.0960594751843855,4.757427051805707,-5.368634480326751,-7.848726161441033,-1.6778819311803916
QCOM,2013-01-30,CONTROL_B,OPERATING_ONLY,,1,,,,,18.094622265330294,14.581312641448418,20.86970578726155,24.905701045371266,18.277831662894695,22.642526134281702,38.30692962603728
BA,2015-10-21,CONTROL_B,OPERATING_ONLY,,1,,,,,-4.645764156210519,5.386265463841777,1.0960594751843855,4.757427051805707,-5.368634480326751,-7.848726161441033,-1.6778819311803916
CAT,2017-11-01,CONTROL_B,GROSS_ONLY,,1,,,,,-5.756578947368429,1.5374713958810071,-0.7437070938214996,1.2943363844393652,6.128432494279168,5.227402745995424,20.845251716247137
BA,2018-02-12,CONTROL_B,OPERATING_ONLY,,1,,,,,-4.645764156210519,5.386265463841777,1.0960594751843855,4.757427051805707,-5.368634480326751,-7.848726161441033,-1.6778819311803916
BA,2018-04-25,CONTROL_B,OPERATING_ONLY,,1,,,,,-4.645764156210519,5.386265463841777,1.0960594751843855,4.757427051805707,-5.368634480326751,-7.848726161441033,-1.6778819311803916
CAT,2018-05-02,CONTROL_B,GROSS+OPERATING,,2,,,,,-5.756578947368429,1.5374713958810071,-0.7437070938214996,1.2943363844393652,6.128432494279168,5.227402745995424,20.845251716247137
BA,2019-02-08,CONTROL_B,OPERATING_ONLY,,1,,,,,-4.645764156210519,5.386265463841777,1.0960594751843855,4.757427051805707,-5.368634480326751,-7.848726161441033,-1.6778819311803916
NFLX,2020-07-20,CONTROL_B,OPERATING_ONLY,,1,,,,,0.4576520634664627,-2.5684966028910683,-2.707606701477794,-1.5160984657567322,2.0584262414064414,-0.977802866877675,5.945444648293385
MARA,2020-07-28,CONTROL_A,NONE,,0,,,,,93.54838709677418,124.04692082111436,100.0,43.695014662756606,17.30205278592374,-3.5190615835777206,66.56891495601171
JNJ,2020-07-28,CONTROL_C,NONE,,0,,,,,0.2724981265753934,0.10899925063014848,2.2344846379181105,3.6174126302881637,1.982423870835892,-1.6111451733769155,-1.9245180189386146
HON,2020-07-28,GROSS_ONLY,GROSS_ONLY,SINGLE,1,0.34609476544960416,,,2.0,-3.1018716489589204,5.470214795565931,3.5097529686523465,8.249728627347785,9.049044439327659,4.443932765369563,13.719943422913738
UNH,2020-07-28,OPERATING_ONLY,OPERATING_ONLY,SINGLE,1,,0.0955973921324445,,2.0,1.4202840568113606,5.19103820764153,5.5627792225111605,4.127492165099689,4.047476161899044,-2.59718610388745,7.621524304860983
BA,2020-07-28,OPERATING_ONLY,OPERATING_ONLY,SINGLE,1,0.1913452658428251,0.11148247504287788,,2.0,-3.4638113627055156,5.470715581300101,-0.3978702240945542,2.232168977824589,-5.903692001638294,-11.570417178632031,-4.0898718623837205
AEO,2020-07-29,CONTROL_A,NONE,,0,,,,,2.9121653358384236,14.842649131047448,7.609206200093954,7.045561296383274,23.86096759041805,32.080789102865204,35.93236261155472
MSFT,2020-07-29,OPERATING_ONLY,OPERATING_ONLY,SINGLE,1,0.6851913477537438,0.38378460142187265,,3.0,4.3250391849529946,2.495591692789967,2.777233542319757,8.32190438871474,0.435932601880884,-0.5240987460815028,5.182210031347978
AMD,2020-07-29,GROSS_ONLY,GROSS_ONLY,SINGLE,1,0.458006718924972,0.09910414333706608,,3.0,12.109862671660432,8.666798081345695,6.5838754188843,13.036336158748929,3.8307378934226977,-0.4402391747158063,4.376108811354218
CDE,2020-07-29,GROSS_ONLY,GROSS_ONLY,SINGLE,1,0.23570979390466065,,,1.0,5.857988165680483,-8.875739644970404,-2.0118343195266286,-1.3609467455621083,-5.443786982248511,-14.852071005917145,-7.633136094674553
QCOM,2020-07-29,OPERATING_ONLY,OPERATING_ONLY,SINGLE,1,,0.5518422418266736,,3.0,19.561949753059913,24.29675756925058,19.17543482928925,24.554434185097705,20.88254240927636,20.44234485720422,37.814043375563685
CAT,2020-07-29,GROSS_ONLY,GROSS_ONLY,SINGLE,1,0.2534885176146674,0.14536011513672487,,3.0,-3.9980081098385134,1.472575940812404,-1.8069289322045878,0.8963505726684362,6.523440278864645,3.1585686846411054,20.715657679447965
AMD,2020-07-30,CONTROL_A,NONE,,0,,,,,10.926305015353122,4.695496417604916,5.936540429887405,7.139201637666326,-2.3349539406345987,-0.1663254861821839,4.8618219037871
META,2020-07-31,CONTROL_A,NONE,,0,,,,,5.861022427180629,2.895037641401599,5.261913207993385,15.706909463560748,4.855937881833583,1.2455165346261454,9.424145678136453
MRK,2020-07-31,CONTROL_A,NONE,,0,,,,,0.7967135565791095,3.9773434582347944,5.7388273372339205,6.63513008838541,4.830075936760858,2.9254325905639256,-1.8424000995892031
VLO,2020-07-31,CONTROL_B,GROSS+OPERATING,,2,,,,,-6.315602206013171,-3.0688489592599177,-6.368973492261166,-2.2593844511652805,-15.47767301191959,-20.25440313111546,-29.69222558263653
CL,2020-07-31,GROSS_ONLY,GROSS_ONLY,SINGLE,1,0.6079035155247626,0.24275083397485245,,1.0,-1.2435233160621895,-0.2202072538860178,1.9430051813471572,2.823834196891184,-0.04533678756476478,-0.9391191709844704,1.8523316062176054
UNH,2020-08-03,CONTROL_B,OPERATING_ONLY,,1,,,,,5.132090388036126,5.5306673693919395,1.6371302457342418,3.0008564464062193,1.2649054614928712,0.2091705645958175,5.535608406350878
NFLX,2020-08-03,GROSS+OPERATING,GROSS+OPERATING,DOUBLE,2,0.4093469757793516,0.1868935662323722,,6.0,-3.012362527093204,-3.1508388857670377,-1.9647587701693725,6.389981536485512,-0.4375050172593653,-0.9452516657301069,-1.8824757164646377
LEN,2020-08-03,OPERATING_ONLY,OPERATING_ONLY,SINGLE,1,,0.1516394460073663,,6.0,1.168002173027305,4.7195436642673005,6.851826701072938,1.6161890533749723,3.096563900583993,7.266060029879129,-1.4464212956675215
CASY,2020-08-03,GROSS_ONLY,GROSS_ONLY,SINGLE,1,0.28963259074082554,,,6.0,4.168057030183525,7.174275747004399,8.973153344456254,7.908387683907181,7.022599726983181,7.477627787046881,9.373578037312313
ZS,2020-08-03,CONTROL_A,NONE,,0,,,,,-7.651097864634426,-6.013732739757039,2.3919112653738583,8.141552855957146,0.037727307024826295,6.021278201161984,12.216102014638185
LEN,2020-08-03,CONTROL_A,NONE,,0,,,,,1.168002173027305,4.7195436642673005,6.851826701072938,1.6161890533749723,3.096563900583993,7.266060029879129,-1.4464212956675215
RUN,2020-08-04,CONTROL_A,NONE,,0,,,,,-2.2991148407862982,6.5639728704448785,16.783538337739976,33.92343947580183,43.53373951028854,77.2157719278078,28.060696631796777
ENPH,2020-08-04,GROSS+OPERATING,GROSS+OPERATING,DOUBLE,2,0.3924931280254932,0.21752900824636942,,7.0,-2.376467178669761,8.81031734531228,10.042022895232572,13.98348065497752,5.499203014055931,19.692798145196335,49.09433415447035
KTOS,2020-08-05,CONTROL_A,NONE,,0,,,,,-0.38699690402476117,0.3611971104231282,-0.6449948400412797,2.8121775025799822,10.99071207430342,0.1547987616099089,0.0
MP,2020-08-05,CONTROL_C,NONE,,0,,,,,-0.4589069670421386,0.12515644555695093,-0.2920317062995448,19.691280767626207,21.151439299123908,17.22987067167294,-5.465164789319976
DELL,2020-08-06,CONTROL_A,NONE,,0,,,,,-2.262666010821446,-2.1642892277422554,2.7217576651910047,7.411050991965906,8.853910477127403,10.059026069847521,-1.0821446138711277
AMD,2020-08-06,CONTROL_A,NONE,,0,,,,,-5.617070357554788,-4.498269896193774,-3.4140715109573283,-4.8096885813148855,-13.552479815455598,-5.605536332179928,-13.194925028835058
AEO,2020-08-10,CONTROL_A,NONE,,0,,,,,6.4056939501779375,-0.7117437722419906,12.411032028469737,17.304270462633454,24.421708185053383,32.11743772241993,32.29537366548041
XOM,2020-08-10,CONTROL_A,NONE,,0,,,,,-4.246236800718939,-5.133677825207816,-10.09885419006964,-14.27769040665019,-20.164008088070094,-25.039317007414052,-24.882048977757798
CCL,2020-08-11,CONTROL_A,NONE,,0,,,,,-8.72865275142315,0.5376344086021501,4.395951929158759,11.85958254269448,-10.626185958254265,1.1701454775458586,-15.65464895635673
LEN,2020-08-13,CONTROL_A,NONE,,0,,,,,3.0282728125418767,1.5945330296127436,1.0652552592791187,3.845638483183711,2.713386037786414,12.689267050783858,1.3131448479164032
EBAY,2020-08-17,GROSS_ONLY,GROSS_ONLY,SINGLE,1,0.7912739965095986,0.28656195462478184,,14.0,2.520495377638232,-4.395604395604391,-10.099424385138667,-9.654631083202503,-8.119658119658125,0.383743240886103,-18.847025989883136
LEN,2020-08-18,CONTROL_A,NONE,,0,,,,,1.1023213590973802,1.335754117494492,-1.7377772014006032,2.191674231617169,5.887692906237851,8.085851381143815,-1.1412268188302321
PG,2020-08-20,CONTROL_A,NONE,,0,,,,,0.9859772129710898,0.9786736780601935,0.84721004966406,0.33596260590125215,0.8545135845749563,5.470347648261775,5.382705229330997
PG,2020-08-24,CONTROL_A,NONE,,0,,,,,-0.18045329868630056,-1.8983687021798756,0.11549011115923324,-0.38977912516240387,0.8950483614840632,2.90890717482315,2.356720080843089
AAPL,2020-08-26,CONTROL_A,NONE,,0,,,,,-73.99964431797972,-77.57918864979153,-78.18286007864525,-78.63734266010631,-77.28278696622996,-77.11779002904736,-76.53289070681922
SCHW,2020-08-28,CONTROL_A,NONE,,0,,,,,-0.15170321334988524,-1.2549993104399526,-2.70307543787065,-0.24824162184526877,6.09571093642256,7.971314301475663,33.305750930906065
CRWD,2020-08-28,CONTROL_A,NONE,,0,,,,,5.477374231060916,8.334035560798858,16.49953652987275,15.808544703800465,22.882784191455286,12.15977079295525,24.395382152186727
SHOP,2020-09-01,CONTROL_A,NONE,,0,,,,,-16.346730653869223,-21.85945163908395,-19.006933907336176,-9.813331451356778,-4.469988355270105,-9.552207205617702,-10.077102226613487
COST,2020-09-01,CONTROL_A,NONE,,0,,,,,-1.4938963662749383,-2.210966622086896,-1.9235694163844852,1.0272315966195267,7.691432148649802,3.8613664172096884,10.323535270181816
GME,2020-09-02,CONTROL_A,NONE,,0,,,,,-19.273199221284887,19.402985074626855,18.040233614536017,26.606099935107075,79.36404931862427,52.36859182349125,108.56586632057108
AEO,2020-09-02,CONTROL_A,NONE,,0,,,,,1.2672811059907918,14.285714285714302,7.9877112135176676,14.554531490015354,18.04915514592933,5.376344086021523,41.97388632872503
GM,2020-09-02,CONTROL_A,NONE,,0,,,,,-2.5665859564164673,3.0992736077481764,-5.988700564971749,-1.8886198547215516,5.213882163034711,12.719935431799833,45.439870863599666
COST,2020-09-09,CONTROL_C,NONE,,0,,,,,-0.7279449997111276,-0.43618926569992666,2.559362181524061,4.858744006008431,9.07475879600208,8.547576405338253,8.059391068230394
HIMS,2020-09-10,CONTROL_A,NONE,,0,,,,,2.1431828545371623,-2.9639762881896847,-0.8207934336525335,-6.064751481988139,-6.703146374828995,-7.478340173278619,7.4327405380756995
OPEN,2020-09-11,CONTROL_A,NONE,,0,,,,,15.363457760314336,30.844793713163064,44.675834970530445,67.15127701375245,51.119842829076624,59.764243614931225,97.09233791748527
GE,2020-09-14,CONTROL_C,NONE,,0,,,,,3.3333333333333437,0.7317073170731714,4.227642276422761,11.21951219512194,20.08130081300812,41.70731707317073,78.29268292682924
MP,2020-09-15,CONTROL_A,NONE,,0,,,,,-8.819714656290522,-8.690012970168615,-11.738002594033725,-11.640726329442286,-21.141374837872895,-19.714656290531774,69.64980544747081
TGT,2020-09-25,OPERATING_ONLY,OPERATING_ONLY,SINGLE,1,,0.10010881392818281,,20.0,2.945937196503734,5.9987050825510035,6.688248624150228,3.719650372288763,4.564584007769512,11.57008740692782,11.168662997733891
SNAP,2020-09-30,CONTROL_A,NONE,,0,,,,,2.200956937799048,4.631578947368431,39.61722488038277,64.17224880382774,46.8133971291866,74.43062200956938,91.8468899521531
LEN,2020-10-01,CONTROL_B,OPERATING_ONLY,,1,,,,,1.3140446051838506,2.025316455696191,-7.7637130801687775,-13.670886075949372,-10.801687763713087,-6.522001205545502,-5.569620253164564
DKNG,2020-10-01,CONTROL_A,NONE,,0,,,,,-17.39868963843727,-27.169780797541044,-30.405241446250898,-39.513063172369165,-33.268624120359135,-14.745611906495181,-20.787834667960848
AEO,2020-10-05,CONTROL_A,NONE,,0,,,,,-2.784072515377145,-7.801877630301068,-8.67594690838459,-6.604078989964391,3.981871155713823,15.89511168662996,30.33344124312074
GME,2020-10-08,CONTROL_A,NONE,,0,,,,,2.4082993701370903,10.4483141904409,-13.004816598740266,-15.116709892552793,-7.59540570581696,25.30566876620972,28.49203408669878
CLF,2020-10-08,CONTROL_A,NONE,,0,,,,,-2.9182879377431914,7.328145265888453,7.71725032425421,6.939040207522695,15.239948119325541,62.905317769130995,103.30739299610894
