date,index,range_high,range_low,compression_range_pct,open,high,low,close,volume,fwd_1d_return_pct,mfe_1d_pct,mae_1d_pct,max_dd_1d_pct,fwd_2d_return_pct,mfe_2d_pct,mae_2d_pct,max_dd_2d_pct,fwd_3d_return_pct,mfe_3d_pct,mae_3d_pct,max_dd_3d_pct,fwd_5d_return_pct,mfe_5d_pct,mae_5d_pct,max_dd_5d_pct,fwd_10d_return_pct,mfe_10d_pct,mae_10d_pct,max_dd_10d_pct,fwd_20d_return_pct,mfe_20d_pct,mae_20d_pct,max_dd_20d_pct,event_range_pct,median_prior_range_pct,event_tr,median_prior_tr,range_expansion_flag,atr_14
2020-11-03,70,319.23,286.97,10.379999356478647,286.31,294.235,280.85,285.47,2560537,3.5730549619924994,4.7920972431428694,-0.05955091603321396,0.0,0.8091918590394596,4.7920972431428694,-2.056258100676079,0.0,5.089851823308919,5.39811538865729,-2.056258100676079,0.0,-6.638175640172363,6.406977966161054,-7.391319578239402,-6.638175640172363,-10.043086839247561,6.406977966161054,-10.120152730584664,-10.043086839247561,-8.477248047080268,6.406977966161054,-11.514344764773893,-10.344344414474385,4.675002619538259,2.2583526477833136,29.939999999999998,7.840000000000032,1,10.601428571428585
2020-12-24,106,279.17,252.305,10.489633360665342,228.47,229.89,211.25,221.84,7002747,0.3290659935088306,1.4064190407500923,-2.9165164082221415,0.0,6.527226830147849,7.811936530833026,-2.9165164082221415,0.0,7.532455824017313,9.597006851785068,-2.9165164082221415,0.0,2.700144248106748,9.597006851785068,-2.9165164082221415,0.0,2.483772087991341,9.597006851785068,-2.9165164082221415,0.0,19.8882077172737,21.20447169130905,-2.9165164082221415,0.0,8.158620387797079,1.7422477564190184,44.860000000000014,4.740000000000009,1,7.927142857142859
2021-03-25,167,250.32,225.55,10.788327526132397,225.235,229.215,222.52,222.66,824340,2.1288062516841864,2.932722536602893,-0.956615467528966,0.0,4.131860235336395,4.3609090092517775,-0.956615467528966,0.0,2.9192490793137518,4.3609090092517775,-0.956615467528966,0.0,0.7006197790353015,4.3609090092517775,-0.956615467528966,0.0,0.30988951765022804,4.3609090092517775,-0.956615467528966,0.0,4.486661277283755,10.327405012126114,-0.956615467528966,0.0,2.9724509956267866,2.316304180891774,7.079999999999984,7.199999999999989,1,7.267857142857145
2021-05-10,197,245.655,221.33,10.798632691112488,222.17,222.17,218.59,219.515,699168,0.845044757761437,0.8496002551078556,-2.967906521194445,0.0,0.2596633487461092,2.5123567865521785,-2.967906521194445,0.0,-6.088422203494058,2.5123567865521785,-6.86741224973236,-6.088422203494058,-3.7878960435505538,2.5123567865521785,-6.86741224973236,-6.088422203494058,-4.248001275539252,2.5123567865521785,-6.86741224973236,-6.088422203494058,-1.6787007721567886,2.5123567865521785,-6.86741224973236,-6.088422203494058,1.6113786739883802,1.8503865509757027,6.6699999999999875,4.760000000000019,0,4.508571428571429
2021-07-07,237,230.88,208.32,10.663641520136133,211.47,212.02,207.83,207.99,457446,-3.894418000865437,-2.7693639117265345,-4.673301601038511,-3.894418000865437,-1.0096639261503064,-0.36540218279725917,-4.673301601038511,-3.894418000865437,-1.2067887879225054,-0.36540218279725917,-4.673301601038511,-3.894418000865437,1.6010385114668897,4.017020049040814,-4.673301601038511,-3.894418000865437,1.4952641953940022,4.130006250300497,-4.673301601038511,-3.894418000865437,-3.533823741526046,4.130006250300497,-13.582383768450407,-10.53896821962595,1.9813685156286933,1.4821884202149027,4.189999999999998,3.6899999999999977,1,4.95642857142857
2021-07-08,238,230.88,207.83,11.082263570363951,201.7,202.23,198.27,199.89,1577716,3.0016509079994,3.6720196107859344,0.8354595027265077,0.0,2.796538095952776,3.6720196107859344,0.8354595027265077,0.0,4.817649707339049,6.438541197658715,0.8354595027265077,0.0,7.439091500325182,8.349592275751677,0.8354595027265077,0.0,7.033868627745261,8.349592275751677,0.8354595027265077,0.0,-0.3126719695832708,8.349592275751677,-10.08054429936464,-6.913802591425281,1.9633118492811006,1.4821884202149027,9.719999999999999,3.920000000000016,1,5.426428571428572
2023-10-19,811,88.855,82.47,7.6946252108941975,81.76,82.38,81.12,81.58,271579,-2.0348124540328474,-0.9009561166952679,-2.1819073302279985,-2.0348124540328474,-1.348369698455497,-0.8396665849472937,-3.1196371659720543,-2.0348124540328474,1.587398872272618,2.108359892130423,-3.1196371659720543,-2.0348124540328474,1.1645011032115749,2.108359892130423,-3.1196371659720543,-2.0348124540328474,2.267712674675176,3.1870556508948376,-3.1196371659720543,-2.0348124540328474,-3.05834763422408,7.64893356214758,-4.0512380485413,-3.05834763422408,1.5410958904109477,1.7591165431818716,1.8599999999999994,1.865000000000009,0,2.0275000000000003
2023-10-20,812,88.855,81.12,9.48149056141211,80.1,80.845,79.8,79.92,315265,0.7007007007007036,1.2199699699699629,-1.1073573573573638,0.0,3.6974474474474452,4.229229229229223,-1.1073573573573638,0.0,1.4014014014014071,4.229229229229223,-1.1073573573573638,0.0,3.603603603603598,5.23023023023022,-1.1073573573573638,0.0,6.731731731731726,7.707707707707703,-1.1073573573573638,0.0,-2.915415415415413,9.884884884884874,-3.9664664664664686,-2.915415415415413,1.3046192259675429,1.7591165431818716,1.7800000000000011,1.8599999999999994,0,2.070714285714286
2024-01-16,870,77.78,70.95,9.509885825675298,70.02,70.525,69.305,69.46,618653,-0.7630290814857285,-0.67664843075151,-3.1672905269219536,-0.7630290814857285,-2.0299452922545305,-0.5470774546501519,-3.1672905269219536,-2.0299452922545305,-0.07198387561185886,0.6334581053844112,-3.5991937805931475,-2.0299452922545305,6.564929455801904,7.255974661675794,-4.016700259141941,-2.0299452922545305,4.12467607255976,8.839619925136772,-4.016700259141941,-2.0299452922545305,3.0593147135041754,12.777137921105675,-4.016700259141941,-2.0299452922545305,1.7423593259068824,1.8473444295584824,2.5149999999999864,1.7999999999999972,0,1.8071428571428538
2024-04-16,933,75.43,70.18,7.4320498301245745,70.01,70.3,69.295,69.625,682419,-1.1418312387791765,0.5385996409335727,-1.2639138240574441,-1.1418312387791765,-1.0484739676840273,0.5385996409335727,-1.2639138240574441,-1.1418312387791765,-0.8114901256732463,0.5385996409335727,-1.8025134649910168,-1.1418312387791765,4.143626570915627,4.560143626570912,-1.8025134649910168,-1.1418312387791765,7.511669658886899,10.362657091561944,-1.8025134649910168,-1.1418312387791765,14.211849192100534,22.068222621184912,-1.8025134649910168,-1.1418312387791765,1.4355092129695692,1.1854789366751697,1.3449999999999989,1.0400000000000063,0,1.331071428571428
2024-04-17,934,75.43,69.295,8.811490125673258,69.7,70.0,68.745,68.83,246792,0.0944355658869646,1.1477553392416189,-0.043585645793986834,0.0,0.33415661775389216,1.1477553392416189,-0.6683132355077637,0.0,2.7023100392270805,2.9710881882899924,-0.6683132355077637,0.0,8.441086735435134,8.528258027023107,-0.6683132355077637,0.0,9.676013366264707,11.637367426994052,-0.6683132355077637,0.0,17.623129449368,23.478134534360013,-0.6683132355077637,0.0,1.8005738880918154,1.2622252704234878,1.2549999999999955,1.0600000000000023,1,1.34642857142857
