direction,n_base,n_pullback,pullback_rate,n_break,break_rate_among_pullbacks,new_extreme_rate_after_break,structural_failure_rate,close_ge_1atr_after_break_rate,favorable_close_after_break_rate,avg_return_break_to_extreme,median_return_break_to_extreme,avg_return_break_to_close,median_return_break_to_close,median_min_break_to_new_extreme,median_min_break_to_close,confidence
long,8,7,1.0,7,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428571,0.02288920071679536,0.008004120525366965,0.020569530553346677,0.007755922495846722,30.0,335.0,INSUFFICIENT
short,20,19,1.0,19,1.0,1.0,0.0,1.0,0.8947368421052632,0.014889365268929361,0.01357395302286314,0.012866013894076938,0.010816952822339061,60.0,275.0,RELIABLE
combined,28,26,1.0,26,1.0,0.9230769230769231,0.07692307692307693,1.0,0.8846153846153846,0.0170431671202779,0.011083683652374325,0.014940037610034176,0.008644535009109808,57.5,282.5,RELIABLE
