path,tier,n,median_destination_min,pct_dest_first_30min,pct_dest_after_4hr,pct_dest_last_30min,median_adverse_min,pct_adverse_first_5min,pct_adverse_first_30min,pct_adverse_after_30min,conf
Gap-Up Continuation (Long),0.70 ATR+,523,300.0,0.055449330783938815,0.6175908221797323,0.28489483747609945,0.0,0.7648183556405354,0.9024856596558317,0.09751434034416825,✅
Gap-Up Continuation (Long),1.00 ATR+,313,320.0,0.04472843450479233,0.6677316293929713,0.329073482428115,0.0,0.7763578274760383,0.9201277955271565,0.07987220447284345,✅
Gap-Down Continuation (Short),0.70 ATR+,236,335.0,0.01694915254237288,0.7076271186440678,0.3347457627118644,0.0,0.7627118644067796,0.8898305084745762,0.11016949152542373,✅
Gap-Down Continuation (Short),1.00 ATR+,126,342.5,0.007936507936507936,0.753968253968254,0.373015873015873,0.0,0.8253968253968254,0.9047619047619048,0.09523809523809523,✅
Gap-Up Fade (Short),0.70 ATR+,301,290.0,0.08305647840531562,0.5980066445182725,0.31893687707641194,0.0,0.7674418604651163,0.9003322259136213,0.09966777408637874,✅
Gap-Up Fade (Short),1.00 ATR+,175,315.0,0.08571428571428572,0.64,0.37142857142857144,0.0,0.7828571428571428,0.8914285714285715,0.10857142857142857,✅
Gap-Down Bounce (Long),0.70 ATR+,118,275.0,0.025423728813559324,0.5677966101694916,0.2711864406779661,0.0,0.8220338983050848,0.9067796610169492,0.09322033898305085,✅
Gap-Down Bounce (Long),1.00 ATR+,65,300.0,0.046153846153846156,0.6153846153846154,0.27692307692307694,0.0,0.8615384615384616,0.8769230769230769,0.12307692307692308,✅
