path,gap_bucket,n,violation_rate,ft_0p70_no_viol,ft_0p70_with_viol,ft_1p00_no_viol,ft_1p00_with_viol,conf
Gap-Up Continuation (Long),2-5%,2296,0.7504355400696864,0.4572425828970332,0.056877539175856064,0.27225130890052357,0.02959953569355775,✅
Gap-Up Continuation (Long),5-8%,400,0.745,0.5294117647058824,0.09060402684563758,0.29411764705882354,0.053691275167785234,✅
Gap-Up Continuation (Long),8-12%,143,0.7552447552447552,0.5714285714285714,0.17592592592592593,0.37142857142857144,0.1111111111111111,✅
Gap-Up Continuation (Long),12%+,115,0.6608695652173913,0.7948717948717948,0.15789473684210525,0.6666666666666666,0.11842105263157894,✅
Gap-Down Continuation (Short),2-5%,1516,0.7354881266490765,0.11221945137157108,0.10672645739910314,0.05236907730673317,0.05201793721973094,✅
Gap-Down Continuation (Short),5-8%,240,0.75,0.11666666666666667,0.16666666666666666,0.06666666666666667,0.11666666666666667,✅
Gap-Down Continuation (Short),8-12%,71,0.8169014084507042,0.15384615384615385,0.3103448275862069,0.15384615384615385,0.1896551724137931,✅
Gap-Down Continuation (Short),12%+,55,0.6727272727272727,0.16666666666666666,0.32432432432432434,0.05555555555555555,0.21621621621621623,✅
Gap-Up Fade (Short),2-5%,998,0.6302605210420842,0.41192411924119243,0.08744038155802862,0.22493224932249323,0.05246422893481717,✅
Gap-Up Fade (Short),5-8%,198,0.5555555555555556,0.3977272727272727,0.10909090909090909,0.22727272727272727,0.045454545454545456,✅
Gap-Up Fade (Short),8-12%,79,0.569620253164557,0.5588235294117647,0.1111111111111111,0.4411764705882353,0.022222222222222223,✅
Gap-Up Fade (Short),12%+,51,0.5098039215686274,0.68,0.23076923076923078,0.52,0.19230769230769232,✅
Gap-Down Bounce (Long),2-5%,599,0.8013355592654424,0.16806722689075632,0.15416666666666667,0.11764705882352941,0.06875,✅
Gap-Down Bounce (Long),5-8%,93,0.7204301075268817,0.15384615384615385,0.11940298507462686,0.11538461538461539,0.08955223880597014,✅
Gap-Down Bounce (Long),8-12%,30,0.7333333333333333,0.375,0.09090909090909091,0.125,0.09090909090909091,✅
Gap-Down Bounce (Long),12%+,31,0.8064516129032258,0.0,0.28,0.0,0.24,✅
