path,n,or_violation_rate,ft_0p70_all,ft_1p00_all,ft_0p70_no_violation,ft_0p70_with_violation,ft_1p00_no_violation,ft_1p00_with_violation,n_no_violation,n_with_violation,path_ft_rate,reverse_ft_after_violation,median_close_from_open_atr,median_violation_depth_atr,median_destination_min,median_adverse_min
Gap-Up Continuation (Long),2954,0.7464454976303317,0.17704807041299933,0.10595802301963439,0.48998664886515353,0.0707482993197279,0.30040053404539385,0.039909297052154194,749,2205,0.25863236289776576,0.14512471655328799,0.0816677879023732,0.3599208965062628,300.0,60.0
Gap-Down Continuation (Short),1882,0.7385759829968119,0.12539851222104145,0.0669500531349628,0.11585365853658537,0.12877697841726618,0.056910569105691054,0.07050359712230216,492,1390,0.2502656748140276,0.11366906474820145,0.08275699723937985,0.34095067071945345,335.0,65.0
Gap-Up Fade (Short),1326,0.6108597285067874,0.22699849170437406,0.13197586726998492,0.4321705426356589,0.0962962962962963,0.25387596899224807,0.05432098765432099,516,810,0.25414781297134237,0.4419753086419753,0.228560055382486,0.32756179136446745,290.0,25.0
Gap-Down Bounce (Long),753,0.7888446215139442,0.15670650730411687,0.08632138114209828,0.16981132075471697,0.1531986531986532,0.11320754716981132,0.07912457912457913,159,594,0.24701195219123506,0.5521885521885522,0.1121914734480177,0.3416534627144372,275.0,40.0
