ticker,max_exc_atr,range_atr,time_to_1.0atr,directional_efficiency,reversal_count,avg_wick_ratio,pct_hit_1atr,rank_expansion,rank_speed,rank_clean,composite_rank,regime,sample_size
TXN,0.7439937804386493,0.8497553208506198,160.0,0.4389120361463247,78.9090909090909,22.616907755984485,27.27272727272727,7.0,9.0,10.0,8.0,DOWNSIDE,11
ADI,0.614699339693805,0.7772461283158276,,0.5776807171935973,83.5,19.25629313948724,0.0,13.0,,13.0,,FLAT,6
AMAT,0.7573210186472532,0.9121313993938175,125.0,0.5917509727900904,85.16666666666667,20.116713221252372,16.666666666666664,5.0,6.0,14.0,8.0,FLAT,6
AMD,0.7382007326419441,0.8545064657466485,135.0,0.6982437618688463,86.16666666666667,14.827492441917153,16.666666666666664,6.0,8.5,15.0,11.0,FLAT,6
ASML,0.8979056653525664,0.9688417284601938,100.0,0.7828653781613687,55.5,15.853192761918415,16.666666666666664,2.0,5.0,2.0,1.0,FLAT,6
AVGO,0.6032303681305281,0.6967882822783888,90.0,0.4872517450113833,61.833333333333336,4.32618904817137,16.666666666666664,14.0,4.0,4.0,6.5,FLAT,6
INTC,0.7293481988346221,0.8467863520919154,222.5,0.5402969185727229,80.33333333333333,25.61386809815272,33.33333333333333,7.0,11.0,11.0,10.0,FLAT,6
KLAC,0.8764943708939241,1.0196325442354979,135.0,0.749939849703453,70.33333333333333,1.3321137143401725,33.33333333333333,3.0,8.5,6.0,3.0,FLAT,6
LRCX,0.8985945248327285,1.0467042002839106,235.0,0.6023930979169346,76.16666666666667,1.4614382302135847,50.0,1.0,12.0,8.0,5.0,FLAT,6
MCHP,0.6975071336835138,0.8509349374447441,130.0,0.6172940296783901,69.0,15.972927757960997,16.666666666666664,10.0,7.0,5.0,6.5,FLAT,6
MPWR,0.7269625437741252,0.7850135194729863,55.0,0.7051306624056477,56.833333333333336,3.8565030778033953,16.666666666666664,8.0,3.0,3.0,2.0,FLAT,6
MRVL,0.48910772437547206,0.6542323762623824,,0.5465295550209525,54.666666666666664,19.234521476227155,0.0,17.0,,1.0,,FLAT,6
MU,0.7050208596688985,1.021694936039922,20.0,0.17613720832495147,118.66666666666667,54.608281346217105,16.666666666666664,9.0,2.0,17.0,9.0,FLAT,6
NVDA,0.5560130865107727,0.7142672494685849,,0.592100763056982,80.16666666666667,19.73504085465847,0.0,16.0,,10.0,,FLAT,6
ON,0.6645525827048987,0.988574804797345,-5.0,0.5041780988351309,73.5,15.248167190724919,16.666666666666664,11.0,1.0,7.0,4.0,FLAT,6
QCOM,0.5837252832298702,0.7990668555147024,,0.47769909120019477,83.16666666666667,48.292625834891375,0.0,15.0,,12.0,,FLAT,6
TSM,0.7966036869573078,0.9391048360270359,207.5,0.7011508025841958,91.66666666666667,36.40258069354069,33.33333333333333,4.0,10.0,16.0,12.0,FLAT,6
TXN,0.6354595866681515,0.8497200387598336,385.0,0.4651668087137703,76.66666666666667,10.166866705579414,16.666666666666664,12.0,13.0,9.0,13.0,FLAT,6
