ticker,max_exc_atr,range_atr,time_to_1.0atr,directional_efficiency,reversal_count,avg_wick_ratio,pct_hit_1atr,rank_expansion,rank_speed,rank_clean,composite_rank,regime,sample_size
ADI,0.4018500884233464,0.6418174398041092,,0.605341246290798,49.0,55.77016858710425,0.0,14.0,,5.0,,UPSIDE,1
AMAT,0.34883471163140667,0.6675974653635476,,0.44369369369369366,48.0,2.3345516615566173,0.0,15.0,,3.5,,UPSIDE,1
AMD,0.792011206000631,1.1829560345217103,,0.6481283422459899,65.0,3.333552510077333,0.0,1.0,,9.0,,UPSIDE,1
ASML,0.34636766230095334,0.6682370677471026,,0.4974619289340125,28.0,0.29351111990313056,0.0,16.0,,2.0,,UPSIDE,1
AVGO,0.7329273972366481,0.7512807686336777,,0.11250401800064241,92.0,0.6937380935509939,0.0,3.0,,15.0,,UPSIDE,1
INTC,0.5635803930854857,0.5901018233483315,,0.904494382022471,75.0,14.16296026256981,0.0,8.0,,13.0,,UPSIDE,1
KLAC,0.6087112846062951,0.7410241923057168,,0.5943716642406595,61.0,0.28204429358517114,0.0,7.0,,8.0,,UPSIDE,1
LRCX,0.5584148224395236,0.8370217876136543,,0.220946915351507,67.0,1.8811675441232745,0.0,9.0,,10.5,,UPSIDE,1
MCHP,0.4175896479877175,0.5864678144533422,,0.6806282722513035,48.0,7.959121398067585,0.0,13.0,,3.5,,UPSIDE,1
MPWR,0.2616573323390839,0.4460169128496415,,0.41334661354581365,10.0,0.2950206259508928,0.0,17.0,,1.0,,UPSIDE,1
MRVL,0.4304495335029708,0.5343511450381685,,0.11666666666667097,60.0,20.856966592012224,0.0,12.0,,7.0,,UPSIDE,1
MU,0.7129248500529248,1.2381512407385649,,0.44813829787234044,98.0,19.598484947457457,0.0,4.0,,16.0,,UPSIDE,1
NVDA,0.5458721794352125,0.9214970949871643,,0.3923753665689146,74.0,4.000640860736485,0.0,10.0,,12.0,,UPSIDE,1
ON,0.7038850799869395,0.7191206877788638,,0.9661016949152549,53.0,18.6386479383929,0.0,5.0,,6.0,,UPSIDE,1
QCOM,0.759896411394745,0.8775434702182766,,0.08853288364249665,106.0,8.589159939746544,0.0,2.0,,17.0,,UPSIDE,1
TSM,0.43121149897330413,0.7729865389002971,,0.5557851239669412,67.0,30.250936422304033,0.0,11.0,,10.5,,UPSIDE,1
TXN,0.6653652676627421,0.6653652676627421,,0.35703001579778454,91.0,49.60831703102267,0.0,6.0,,14.0,,UPSIDE,1
ADI,0.7867968166950974,0.9089527797089899,183.33333333333334,0.4276232810673842,80.9090909090909,23.66953826085231,27.27272727272727,5.0,11.0,13.0,10.5,DOWNSIDE,11
ALAB,0.7374407936135571,1.1248689722062502,,0.43283982470914767,90.66666666666667,14.642671635690855,0.0,9.0,,17.0,,DOWNSIDE,11
AMAT,0.6817474772297291,0.875731210012298,105.0,0.39435931891717874,80.18181818181819,28.907409036614244,27.27272727272727,13.0,3.5,11.0,9.0,DOWNSIDE,11
AMD,0.8023887329956867,0.9645075091505994,127.5,0.40183423291419995,90.0,24.276434850475468,18.181818181818183,3.0,5.0,16.0,5.0,DOWNSIDE,11
ASML,0.614955932823629,0.7295896736376274,75.0,0.4697542385207328,43.0,0.7170097060554412,9.090909090909092,15.0,1.0,1.0,2.0,DOWNSIDE,11
AVGO,0.7162974060122876,0.8357888602956252,166.66666666666666,0.49124744120547736,70.72727272727273,10.17164531628945,27.27272727272727,11.0,10.0,4.0,6.0,DOWNSIDE,11
INTC,0.6103248391763554,0.7627023578883988,,0.3959394379799424,82.63636363636364,22.94688411948678,0.0,16.0,,14.0,,DOWNSIDE,11
KLAC,0.8461387371357584,0.9698403422147628,96.66666666666667,0.38912223987903616,57.09090909090909,2.284977227366076,27.27272727272727,2.0,2.0,3.0,1.0,DOWNSIDE,11
LRCX,0.7879599589674474,0.9173785066570473,148.33333333333334,0.46244535969100364,75.0909090909091,25.089853144619756,27.27272727272727,4.0,8.0,8.0,4.0,DOWNSIDE,11
MCHP,0.696857696238198,0.9142615464605566,197.5,0.43630484296475275,72.9090909090909,27.40319371574675,18.181818181818183,12.0,13.0,5.0,12.0,DOWNSIDE,11
MPWR,0.6341767682912534,0.8062990900539847,105.0,0.5075343218134392,46.54545454545455,15.374164822499171,9.090909090909092,14.0,3.5,2.0,3.0,DOWNSIDE,11
MRVL,0.7426199099941448,0.8620922954954406,192.5,0.5103246235575338,84.0909090909091,19.84931642625019,18.181818181818183,8.0,12.0,15.0,15.0,DOWNSIDE,11
MU,1.2306785541895564,1.4169986106635015,140.0,0.5755283245978128,118.54545454545455,36.97605979658807,72.72727272727273,1.0,6.5,18.0,7.0,DOWNSIDE,11
NVDA,0.5916470934568926,0.7357166540057889,225.0,0.37685331842944964,80.81818181818181,29.498803320639286,9.090909090909092,17.0,16.0,12.0,16.0,DOWNSIDE,11
ON,0.5910906452584312,0.7808271110732187,140.0,0.34593365062273257,74.9090909090909,25.154178278442075,9.090909090909092,18.0,6.5,7.0,14.0,DOWNSIDE,11
QCOM,0.7312799867973339,0.8552937899745543,223.33333333333334,0.43655401874372307,73.72727272727273,19.39228052916048,27.27272727272727,10.0,15.0,6.0,13.0,DOWNSIDE,11
TSM,0.7548722426248566,0.8222100521227312,205.0,0.5925562523438827,78.0909090909091,19.451931949093296,18.181818181818183,6.0,14.0,9.0,10.5,DOWNSIDE,11
