ticker,event_date,atr,ticker_open,max_high,min_low,open_high_exc_pct,open_low_exc_pct,max_exc_pct,range_pct,open_high_atr,open_low_atr,max_exc_atr,range_atr,time_to_0.5atr,time_to_1.0atr,time_to_1.5atr,premarket_max_exc_atr,morning_max_exc_atr,regime
MU,2020-09-30,1.8599999999999999,48.95,49.26,46.83,0.0063329928498466834,0.04330949948927486,0.04330949948927486,0.04964249233912155,0.16666666666666408,1.1397849462365617,1.1397849462365617,1.3064516129032258,10.0,345.0,,0.0,0.8602150537634417,DOWNSIDE
NVDA,2020-09-30,24.620714285714268,526.54,544.59,526.19,0.034280396551069375,0.0006647168306299788,0.034280396551069375,0.03494511338169935,0.7331225158838409,0.014215672053145523,0.7331225158838409,0.7473381879369865,30.0,,,0.0,0.7189068438306908,DOWNSIDE
AMD,2020-09-30,3.4185714285714295,81.84,82.935,80.765,0.013379765395894415,0.01313538611925712,0.013379765395894415,0.026515151515151533,0.32030923526953575,0.3144588382783125,0.32030923526953575,0.6347680735478483,,,,0.0,0.3144588382783125,DOWNSIDE
AVGO,2020-09-30,9.969642857142848,363.35,370.98,362.0,0.020999036741433864,0.0037154258978946545,0.020999036741433864,0.02471446263932852,0.7653233028837545,0.1354110693175736,0.7653233028837545,0.9007343722013281,25.0,,,0.0,0.7653233028837545,DOWNSIDE
QCOM,2020-09-30,3.708571428571431,117.24,119.195,116.95,0.01667519617877856,0.00247355851245302,0.01667519617877856,0.01914875469123158,0.5271571648690285,0.07819722650230905,0.5271571648690285,0.6053543913713375,50.0,,,0.0,0.5271571648690285,DOWNSIDE
INTC,2020-09-30,1.158214285714285,51.23,52.375,51.21,0.022350185438219854,0.00039039625219590125,0.022350185438219854,0.022740581690415755,0.9885908109774934,0.01726796176379553,0.9885908109774934,1.0058587727412889,10.0,,,0.0,0.742522355843361,DOWNSIDE
TXN,2020-09-30,3.588928571428574,140.745,144.25,140.745,0.024903193719137413,0.0,0.024903193719137413,0.024903193719137413,0.9766145885162684,0.0,0.9766145885162684,0.9766145885162684,25.0,,,0.0,0.8846651408100255,DOWNSIDE
AMAT,2020-09-30,1.7128571428571446,59.4,60.18,58.995,0.01313131313131315,0.006818181818181838,0.01313131313131315,0.019949494949494988,0.45537948290241886,0.2364470391993332,0.45537948290241886,0.6918265221017521,,,,0.0,0.45537948290241886,DOWNSIDE
LRCX,2020-09-30,11.090714285714284,336.105,337.55,330.4,0.0042992517219321135,0.016973862334687197,0.016973862334687197,0.021273114056619313,0.13028917369742968,0.5143942809299966,0.5143942809299966,0.6446834546274264,355.0,,,0.0,0.3016036581438809,DOWNSIDE
KLAC,2020-09-30,5.644285714285711,193.32,196.3,191.19,0.015414856196979196,0.011018001241464905,0.015414856196979196,0.0264328574384441,0.5279676031384495,0.37737281700835174,0.5279676031384495,0.9053404201468013,280.0,,,0.0,0.37737281700835174,DOWNSIDE
ASML,2020-09-30,9.45035714285714,368.85,373.13,367.695,0.011603632913108236,0.00313135420902814,0.011603632913108236,0.014734987122136375,0.45289293677487347,0.1222176032651859,0.45289293677487347,0.5751105400400593,,,,0.0,0.45289293677487347,DOWNSIDE
TSM,2020-09-30,2.4471428571428566,80.6,81.915,80.6,0.016315136476426947,0.0,0.016315136476426947,0.016315136476426947,0.5373613543491002,0.0,0.5373613543491002,0.5373613543491002,100.0,,,0.0,0.5373613543491002,DOWNSIDE
