ticker,event_date,atr,ticker_open,max_high,min_low,open_high_exc_pct,open_low_exc_pct,max_exc_pct,range_pct,open_high_atr,open_low_atr,max_exc_atr,range_atr,time_to_0.5atr,time_to_1.0atr,time_to_1.5atr,premarket_max_exc_atr,morning_max_exc_atr,regime
MRVL,2020-09-30,1.3546428571428584,38.85,39.975,38.83,0.028957528957528955,0.0005148005148005952,0.028957528957528955,0.029472329472329552,0.8304771948325856,0.014764039019248274,0.8304771948325856,0.8452412338518339,45.0,,,0.0,0.7603480094911681,DOWNSIDE
ON,2020-09-30,0.7228571428571424,21.64,22.06,21.615,0.019408502772643166,0.0011552680221812446,0.019408502772643166,0.020563770794824413,0.5810276679841875,0.03458498023715712,0.5810276679841875,0.6156126482213446,20.0,,,0.0,0.5810276679841875,DOWNSIDE
MPWR,2020-09-30,9.397857142857136,275.5,282.21,275.5,0.02435571687840283,0.0,0.02435571687840283,0.02435571687840283,0.7139925514934999,0.0,0.7139925514934999,0.7139925514934999,50.0,,,0.0,0.7139925514934999,DOWNSIDE
MCHP,2020-09-30,2.9300000000000006,102.7,104.63,102.5,0.01879259980525796,0.0019474196689386839,0.01879259980525796,0.020740019474196646,0.6587030716723523,0.06825938566552997,0.6587030716723523,0.7269624573378822,30.0,,,0.0,0.6587030716723523,DOWNSIDE
ADI,2020-09-30,2.565000000000001,116.69,118.24,116.28,0.013283057674179425,0.003513582997686148,0.013283057674179425,0.016796640671865575,0.6042884990253399,0.15984405458089532,0.6042884990253399,0.7641325536062351,60.0,,,0.0,0.6042884990253399,DOWNSIDE
MU,2020-12-22,2.2842857142857156,71.555,71.74,69.77,0.0025854237998740558,0.024945845852840622,0.024945845852840622,0.027531269652714678,0.08098811757347815,0.781425891181993,0.781425891181993,0.8624140087554711,80.0,,,0.0,0.781425891181993,DOWNSIDE
NVDA,2020-12-22,11.867499999999975,531.98,533.235,522.535,0.0023591112447836297,0.017754426858152657,0.017754426858152657,0.020113538102936285,0.10575100063197793,0.795871076469355,0.795871076469355,0.9016220771013329,120.0,,,0.0,0.795871076469355,DOWNSIDE
AMD,2020-12-22,3.1996428571428575,93.36,93.495,90.57,0.0014460154241645793,0.029884318766066904,0.029884318766066904,0.031330334190231485,0.042192208951893545,0.8719723183391023,0.8719723183391023,0.9141645272909957,90.0,,,0.0,0.8719723183391023,DOWNSIDE
AVGO,2020-12-22,9.290000000000008,428.45,433.5,428.42,0.011786672890652378,7.001983895430672e-05,0.011786672890652378,0.011856692729606684,0.5435952637244357,0.0032292787943996436,0.5435952637244357,0.5468245425188353,245.0,,,0.0,0.39827771797631706,DOWNSIDE
QCOM,2020-12-22,4.574285714285709,146.8,146.8,144.75,0.0,0.013964577656675825,0.013964577656675825,0.013964577656675825,0.0,0.448157401623988,0.448157401623988,0.448157401623988,,,,0.0,0.40443472829482113,DOWNSIDE
INTC,2020-12-22,1.4600000000000009,46.25,46.32,45.77,0.0015135135135135197,0.01037837837837831,0.01037837837837831,0.011891891891891831,0.04794520547945222,0.3287671232876689,0.3287671232876689,0.37671232876712113,,,,0.0,0.3287671232876689,DOWNSIDE
TXN,2020-12-22,2.7078571428571445,162.38,163.34,162.13,0.005912058135238379,0.001539598472718315,0.005912058135238379,0.007451656607956694,0.35452387232920346,0.0923239250857293,0.35452387232920346,0.44684779741493275,,,,0.0,0.35452387232920346,DOWNSIDE
AMAT,2020-12-22,2.166785714285712,86.53,86.55,85.565,0.00023113371085168173,0.011152201548595902,0.011152201548595902,0.011383335259447585,0.009230262073510619,0.4453601450469775,0.4453601450469775,0.45459040712048815,,,,0.0,0.4430525795286015,DOWNSIDE
LRCX,2020-12-22,12.522142857142844,478.125,481.22,473.57,0.006473202614379142,0.00952679738562093,0.00952679738562093,0.01600000000000007,0.2471621698705175,0.36375563287890117,0.36375563287890117,0.6109178027494186,,,,0.0,0.36375563287890117,DOWNSIDE
KLAC,2020-12-22,5.612142857142855,259.735,260.77,256.26,0.003984830692821407,0.013379020925173821,0.013379020925173821,0.017363851617995227,0.18442153493699326,0.6191930762377541,0.6191930762377541,0.8036146111747473,130.0,,,0.0,0.5461372024945906,DOWNSIDE
ASML,2020-12-22,9.557857142857143,473.27,478.115,473.24,0.010237285270564429,6.338876328517066e-05,0.010237285270564429,0.0103006740338496,0.5069127867872385,0.0031387788655527836,0.5069127867872385,0.5100515656527912,115.0,,,0.0,0.5069127867872385,DOWNSIDE
TSM,2020-12-22,2.3682142857142847,105.02,105.18,102.95,0.0015235193296515978,0.01971053132736615,0.01971053132736615,0.02123405065701775,0.06756145377771534,0.8740763082491303,0.8740763082491303,0.9416377620268457,50.0,,,0.0,0.8740763082491303,DOWNSIDE
MRVL,2020-12-22,1.3846428571428575,47.43,47.68,46.505,0.005270925574530887,0.019502424625764226,0.019502424625764226,0.024773350200295113,0.18055197317513536,0.6680423007479988,0.6680423007479988,0.8485942739231341,125.0,,,0.0,0.6680423007479988,DOWNSIDE
ON,2020-12-22,0.875357142857144,31.96,32.05,31.585,0.0028160200250311736,0.011733416770963704,0.011733416770963704,0.014549436795994878,0.10281517747857581,0.4283965728274168,0.4283965728274168,0.5312117503059927,,,,0.0,0.38841289269685775,DOWNSIDE
MPWR,2020-12-22,9.978571428571428,349.36,355.565,347.59,0.017761048774902633,0.005066407144492897,0.017761048774902633,0.022827455919395532,0.6218324982104494,0.17738010021474976,0.6218324982104494,0.7992125984251992,30.0,,,0.0,0.6218324982104494,DOWNSIDE
MCHP,2020-12-22,3.3839285714285756,138.495,138.87,136.39,0.002707678977580418,0.01519910466081821,0.01519910466081821,0.017906783638398628,0.11081794195250647,0.6220580474934083,0.6220580474934083,0.7328759894459148,125.0,,,0.0,0.5836411609498656,DOWNSIDE
ADI,2020-12-22,2.6446428571428577,142.73,144.67,142.67,0.013592096966299993,0.0004203741329783667,0.013592096966299993,0.014012471099278358,0.7335584064821057,0.022687373396354668,0.7335584064821057,0.7562457798784603,100.0,,,0.0,0.5407157326131017,DOWNSIDE
MU,2021-04-01,3.833214285714285,93.11,94.36,91.26,0.013424981205026313,0.01986897218343888,0.01986897218343888,0.0332939533884652,0.3260970837603653,0.48262368396533917,0.48262368396533917,0.8087207677257044,,,,0.0,0.39653405385260315,FLAT
NVDA,2021-04-01,17.282499999999978,542.9,554.68,540.72,0.021698286977343845,0.004015472462700221,0.021698286977343845,0.025713759440044066,0.6816143497757841,0.1261391581079099,0.6816143497757841,0.8077535078836939,195.0,,,0.0,0.3523795747143087,FLAT
AMD,2021-04-01,2.4332142857142847,80.16,81.3,79.5,0.014221556886227553,0.008233532934131694,0.014221556886227553,0.022455089820359247,0.4685160722148837,0.27124614707177325,0.4685160722148837,0.739762219286657,,,,0.0,0.300014677821813,FLAT
AVGO,2021-04-01,16.128571428571426,471.6,476.49,469.58,0.010368956743002516,0.00428329092451238,0.010368956743002516,0.014652247667514896,0.3031886625332144,0.12524357838795636,0.3031886625332144,0.42843224092117077,,,,0.0,0.15252435783879414,FLAT
QCOM,2021-04-01,3.9285714285714284,134.52,138.4,133.61,0.02884329467737136,0.006764793339280379,0.02884329467737136,0.03560808801665174,0.9876363636363625,0.23163636363636278,0.9876363636363625,1.2192727272727253,195.0,,,0.0,0.44799999999999773,FLAT
INTC,2021-04-01,2.1707142857142863,64.79,64.86,63.58,0.0010804136440807713,0.01867572156196956,0.01867572156196956,0.01975613520605033,0.03224744981901626,0.557420204014482,0.557420204014482,0.5896676538334983,50.0,,,0.0,0.557420204014482,FLAT
TXN,2021-04-01,5.094999999999997,191.61,192.485,190.055,0.004566567506915088,0.008115442826574849,0.008115442826574849,0.012682010333489936,0.17173699705593728,0.30520117762512416,0.30520117762512416,0.4769381746810615,,,,0.0,0.26104023552502714,FLAT
AMAT,2021-04-01,5.864999999999999,137.955,142.34,136.5,0.031785727229893736,0.01054691747308914,0.031785727229893736,0.042332644702982876,0.747655583972718,0.24808184143222722,0.747655583972718,0.9957374254049453,5.0,,,0.24808184143222722,0.747655583972718,FLAT
LRCX,2021-04-01,23.743928571428594,613.89,640.0,612.0,0.042532049715747144,0.0030787274593167937,0.042532049715747144,0.04561077717506394,1.0996495344674573,0.07959929606064643,1.0996495344674573,1.179248830528104,15.0,335.0,,0.0,0.6944933291217301,FLAT
KLAC,2021-04-01,13.436785714285715,337.69,347.685,337.69,0.02959815215138146,0.0,0.02959815215138146,0.02959815215138146,0.7438534938734288,0.0,0.7438534938734288,0.7438534938734288,15.0,,,0.0,0.7204103872631108,FLAT
ASML,2021-04-01,20.983214285714276,620.5,639.22,619.83,0.030169218372280465,0.0010797743755035602,0.030169218372280465,0.031248992747784022,0.89214167787177,0.031930284411006864,0.89214167787177,0.9240719622827769,210.0,,,0.0,0.48395826596088604,FLAT
TSM,2021-04-01,3.752142857142858,122.81,124.84,121.3,0.016529598566891957,0.012295415682762031,0.016529598566891957,0.028825014249653988,0.5410241766609558,0.40243670283647565,0.5410241766609558,0.9434608794974315,325.0,,,0.40243670283647565,0.47439558347610905,FLAT
MRVL,2021-04-01,1.8928571428571428,49.82,49.9,48.825,0.0016057808109192753,0.01997189883580886,0.01997189883580886,0.021577679646728135,0.04226415094339533,0.5256603773584893,0.5256603773584893,0.5679245283018846,130.0,,,0.0,0.5256603773584893,FLAT
ON,2021-04-01,1.9675,42.3,42.93,41.76,0.014893617021276657,0.012765957446808491,0.014893617021276657,0.02765957446808515,0.3202033036848806,0.27445997458703897,0.3202033036848806,0.5946632782719196,,,,0.0,0.2795425667090238,FLAT
MPWR,2021-04-01,14.370000000000001,359.97,368.04,359.97,0.02241853487790647,0.0,0.02241853487790647,0.02241853487790647,0.5615866388308972,0.0,0.5615866388308972,0.5615866388308972,360.0,,,0.0,0.46137787056367396,FLAT
MCHP,2021-04-01,6.387499999999995,157.65,160.33,156.9,0.01699968284173807,0.004757373929590866,0.01699968284173807,0.021757056771328935,0.41956947162426755,0.11741682974559696,0.41956947162426755,0.5369863013698645,,,,0.0,0.29432485322896235,FLAT
ADI,2021-04-01,4.361428571428571,157.02,160.49,157.02,0.022099095656604246,0.0,0.022099095656604246,0.022099095656604246,0.7956108745496231,0.0,0.7956108745496231,0.7956108745496231,35.0,,,0.0,0.6075990828693036,FLAT
MU,2021-07-01,2.1799999999999997,82.2,82.24,79.925,0.0004866180048660832,0.027676399026764057,0.027676399026764057,0.02816301703163014,0.01834862385320736,1.0435779816513788,1.0435779816513788,1.0619266055045862,0.0,265.0,,0.0,0.9587155963302769,DOWNSIDE
NVDA,2021-07-01,21.51178571428572,806.2,818.14,800.92,0.014810220788886058,0.006549243363929653,0.014810220788886058,0.02135946415281571,0.5550445768930624,0.24544684807331926,0.5550445768930624,0.8004914249663817,10.0,,,0.0,0.5550445768930624,DOWNSIDE
AMD,2021-07-01,2.499285714285714,94.04,94.75,91.73,0.007549978732454208,0.024564015312632945,0.024564015312632945,0.03211399404508715,0.28408116604743966,0.9242640754501296,0.9242640754501296,1.2083452414975693,0.0,,,0.28408116604743966,0.9242640754501296,DOWNSIDE
AVGO,2021-07-01,8.111071428571437,475.7,475.7,468.935,0.0,0.014221147782215653,0.014221147782215653,0.014221147782215653,0.0,0.8340451763462614,0.8340451763462614,0.8340451763462614,20.0,,,0.0,0.6768526264805605,DOWNSIDE
QCOM,2021-07-01,2.380357142857138,142.98,142.98,140.37,0.0,0.01825430130088114,0.01825430130088114,0.01825430130088114,0.0,1.0964741185296283,1.0964741185296283,1.0964741185296283,20.0,345.0,,0.0,0.9578394598649687,DOWNSIDE
INTC,2021-07-01,1.1439285714285694,56.15,56.62,55.88,0.008370436331255546,0.004808548530721212,0.008370436331255546,0.013178984861976757,0.4108648142366529,0.23602872307211684,0.4108648142366529,0.6468935373087698,,,,0.0,0.4108648142366529,DOWNSIDE
TXN,2021-07-01,2.8960714285714255,192.37,192.48,190.07,0.0005718147320267464,0.011956126215106364,0.011956126215106364,0.012527940947133111,0.037982488592916384,0.7941793069429077,0.7941793069429077,0.8321617955358241,10.0,,,0.0,0.7941793069429077,DOWNSIDE
AMAT,2021-07-01,3.3446428571428646,141.665,142.175,137.59,0.0036000423534395887,0.02876504429463868,0.02876504429463868,0.03236508664807827,0.1524826481580407,1.2183662573411578,1.2183662573411578,1.3708489054991986,10.0,110.0,,0.0,1.0898024559530086,DOWNSIDE
LRCX,2021-07-01,14.175357142857147,645.93,648.31,631.35,0.0036846097874382606,0.022572105336491458,0.022572105336491458,0.02625671512392972,0.16789700435867036,1.0285455140963893,1.0285455140963893,1.1964425184550596,15.0,220.0,,0.0,0.9424806631226149,DOWNSIDE
KLAC,2021-07-01,6.365000000000005,323.62,324.06,311.53,0.0013596193065941466,0.03735863049255309,0.03735863049255309,0.03871824979914724,0.06912804399057304,1.8994501178318968,1.8994501178318968,1.9685781618224698,15.0,95.0,265.0,0.0,1.3558523173605639,DOWNSIDE
ASML,2021-07-01,13.259285714285706,686.81,691.6,675.0,0.006974272360623867,0.017195439786840534,0.017195439786840534,0.024169712147464398,0.36125626245758297,0.8906965468943562,0.8906965468943562,1.2519528093519392,20.0,,,0.0,0.8906965468943562,DOWNSIDE
TSM,2021-07-01,2.402142857142856,120.195,120.2,118.055,4.159906818095315e-05,0.017804401181413423,0.017804401181413423,0.017846000249594377,0.0020814748736287638,0.8908712459113834,0.8908712459113834,0.8929527207850122,95.0,,,0.0,0.6848052334225381,DOWNSIDE
MRVL,2021-07-01,1.2317857142857147,57.975,57.975,56.875,0.0,0.01897369555843038,0.01897369555843038,0.01897369555843038,0.0,0.8930124673818507,0.8930124673818507,0.8930124673818507,25.0,,,0.0,0.880835024644825,DOWNSIDE
ON,2021-07-01,0.9885714285714288,38.395,38.64,37.77,0.006381039197812148,0.01627816121890871,0.01627816121890871,0.02265920041672086,0.2478323699421939,0.6322254335260115,0.6322254335260115,0.8800578034682053,110.0,,,0.0,0.6018786127167689,DOWNSIDE
MPWR,2021-07-01,7.496785714285705,371.64,372.2,368.13,0.0015068345710903086,0.009444623829512408,0.009444623829512408,0.010951458400602717,0.07469868038683285,0.4682006574246099,0.4682006574246099,0.5428993378114427,,,,0.0,0.4095088371206703,DOWNSIDE
MCHP,2021-07-01,3.3028571428571416,149.72,150.79,147.535,0.007146673791076631,0.01459390862944164,0.01459390862944164,0.02174058242051827,0.32396193771626103,0.6615484429065753,0.6615484429065753,0.9855103806228364,100.0,,,0.0,0.6176470588235272,DOWNSIDE
ADI,2021-07-01,2.547857142857142,172.03,172.09,168.94,0.0003487763762134644,0.017961983374992753,0.017961983374992753,0.018310759751206218,0.023549201009252372,1.2127838519764524,1.2127838519764524,1.2363330529857048,75.0,370.0,,0.0,0.9223437061956806,DOWNSIDE
MU,2021-09-29,1.97142857142857,71.06,73.31,70.24,0.03166338305657191,0.011539544047284089,0.03166338305657191,0.043202927103856,1.1413043478260878,0.4159420289855113,1.1413043478260878,1.5572463768115992,15.0,20.0,,0.3195652173913023,1.1413043478260878,FLAT
NVDA,2021-09-29,6.447857142857141,209.385,210.145,204.69,0.0036296773885427292,0.02242280965685218,0.02242280965685218,0.02605248704539491,0.11786861637310594,0.7281488866733126,0.7281488866733126,0.8460175030464184,125.0,,,0.0,0.7265979838262995,FLAT
AMD,2021-09-29,2.9325000000000006,102.12,102.64,99.81,0.0050920485703094005,0.022620446533490032,0.022620446533490032,0.027712495103799435,0.1773231031543038,0.7877237851662411,0.7877237851662411,0.9650468883205449,15.0,,,0.16027280477408312,0.6069906223358912,FLAT
AVGO,2021-09-29,9.283571428571435,493.65,494.055,487.65,0.000820419325433059,0.012154360376785172,0.012154360376785172,0.012974779702218232,0.04362545202739409,0.6463029929983838,0.6463029929983838,0.6899284450257779,170.0,,,0.0,0.4804185581287964,FLAT
QCOM,2021-09-29,2.861071428571427,130.72,131.42,128.905,0.00535495716034263,0.0138846389228886,0.0138846389228886,0.01923959608323123,0.2446635875670914,0.6343777306203965,0.6343777306203965,0.8790413181874879,125.0,,,0.0,0.517288727998998,FLAT
INTC,2021-09-29,1.0182142857142849,53.86,54.09,53.18,0.004270330486446416,0.01262532491645005,0.01262532491645005,0.016895655402896465,0.22588565415644044,0.6678358470712034,0.6678358470712034,0.8937215012276438,175.0,,,0.0,0.4468607506138184,FLAT
TXN,2021-09-29,3.5896428571428607,194.52,195.74,192.12,0.006271848653094791,0.012338062924120942,0.012338062924120942,0.018609911577215733,0.3398666799323444,0.6685901900308436,0.6685901900308436,1.008456869963188,125.0,,,0.0,0.5808377275892962,FLAT
AMAT,2021-09-29,4.709285714285719,133.25,133.92,128.05,0.005028142589118105,0.039024390243902356,0.039024390243902356,0.04405253283302046,0.1422721067799153,1.1042014257545847,1.1042014257545847,1.2464735325345,10.0,125.0,,0.0,1.0787198543910224,FLAT
LRCX,2021-09-29,17.923214285714298,588.28,588.7,567.1,0.0007139457401238743,0.03600326375195477,0.03600326375195477,0.03671720949207864,0.02343329680183726,1.181707681578157,1.181707681578157,1.2051409783799945,10.0,125.0,,0.0,1.123682375211715,FLAT
KLAC,2021-09-29,10.421071428571427,348.945,349.74,335.03,0.0022782960065340268,0.03987734456719546,0.03987734456719546,0.04215564057372949,0.07628774118372957,1.3352753692724242,1.3352753692724242,1.4115631104561537,10.0,125.0,,0.0,1.1433565235271963,FLAT
ASML,2021-09-29,23.78571428571427,784.1,785.065,749.25,0.0012307103685754773,0.04444586149725803,0.04444586149725803,0.04567657186583351,0.04057057057057194,1.4651651651651671,1.4651651651651671,1.505735735735739,55.0,100.0,,0.0,1.3600600600600619,FLAT
TSM,2021-09-29,2.0342857142857165,112.29,112.8,111.07,0.0045418113812449095,0.010864725264939113,0.010864725264939113,0.015406536646184023,0.2507022471910065,0.5997191011236013,0.5997191011236013,0.8504213483146078,125.0,,,0.0,0.5407303370786553,FLAT
MRVL,2021-09-29,1.547857142857144,61.06,61.805,60.09,0.012201113658696323,0.015886013756960346,0.015886013756960346,0.02808712741565667,0.48131056760498186,0.6266728195662195,0.6266728195662195,1.1079833871712013,380.0,,,0.0,0.48131056760498186,FLAT
ON,2021-09-29,1.4032142857142849,46.89,48.45,45.17,0.03326935380678188,0.03668159522286199,0.03668159522286199,0.06995094902964387,1.1117332654619518,1.2257571901247135,1.2257571901247135,2.3374904555866656,-5.0,-5.0,,0.0,0.9656401119877865,FLAT
MPWR,2021-09-29,12.670357142857146,495.26,496.95,482.62,0.003412349069175782,0.025521948067681596,0.025521948067681596,0.028934297136857377,0.1333821912788565,0.9976040815176016,0.9976040815176016,1.1309862727964581,110.0,,,0.0,0.7292612114891344,FLAT
MCHP,2021-09-29,4.016428571428567,158.36,158.66,152.93,0.0018944177822681418,0.034288961859055354,0.034288961859055354,0.036183379641323496,0.07469322425750961,1.3519473590610027,1.3519473590610027,1.4266405833185123,10.0,130.0,,0.0,1.0506846878890352,FLAT
ADI,2021-09-29,3.46821428571428,170.52,171.83,168.17,0.007682383298146858,0.013781374618813175,0.013781374618813175,0.021463757916960032,0.3777159921738248,0.6775821233652636,0.6775821233652636,1.0552981155390884,125.0,,,0.0,0.5824322932756707,FLAT
MU,2021-12-21,3.0367857142857133,88.975,91.14,87.38,0.024332677718460313,0.01792638381567855,0.024332677718460313,0.042259061534138866,0.7129248500529248,0.5252263906856401,0.7129248500529248,1.2381512407385649,5.0,,,0.0,0.5252263906856401,UPSIDE
NVDA,2021-12-21,18.502500000000005,284.17,291.12,274.07,0.02445719111799271,0.035542105077946376,0.035542105077946376,0.059999296195939085,0.3756249155519517,0.5458721794352125,0.5458721794352125,0.9214970949871643,60.0,,,0.0,0.5458721794352125,UPSIDE
AMD,2021-12-21,7.903928571428575,138.24,144.5,135.15,0.04528356481481475,0.02235243055555558,0.04528356481481475,0.06763599537037032,0.792011206000631,0.39094482852107926,0.792011206000631,1.1829560345217103,240.0,,,0.0,0.39094482852107926,UPSIDE
AVGO,2021-12-21,20.70464285714285,648.475,648.855,633.3,0.0005859902077952049,0.02340105632445363,0.02340105632445363,0.023987046532248833,0.018353371397029437,0.7329273972366481,0.7329273972366481,0.7512807686336777,10.0,,,0.0,0.7329273972366481,UPSIDE
QCOM,2021-12-21,6.757500000000003,179.355,180.15,174.22,0.004432549970728532,0.028630369936717633,0.028630369936717633,0.03306291990744616,0.11764705882353171,0.759896411394745,0.759896411394745,0.8775434702182766,20.0,,,0.0,0.759896411394745,UPSIDE
INTC,2021-12-21,1.5082142857142844,49.99,50.84,49.95,0.017003400680136053,0.0008001600320063842,0.017003400680136053,0.01780356071214244,0.5635803930854857,0.026521430262845775,0.5635803930854857,0.5901018233483315,85.0,,,0.0,0.5503196779540604,UPSIDE
TXN,2021-12-21,4.756785714285712,187.43,187.43,184.265,0.0,0.016886304220242333,0.016886304220242333,0.016886304220242333,0.0,0.6653652676627421,0.6653652676627421,0.6653652676627421,15.0,,,0.0,0.6653652676627421,UPSIDE
AMAT,2021-12-21,6.650714285714291,149.36,151.48,147.04,0.014193893947509213,0.015532940546331156,0.015532940546331156,0.02972683449384037,0.3187627537321409,0.34883471163140667,0.34883471163140667,0.6675974653635476,,,,0.0,0.34883471163140667,UPSIDE
LRCX,2021-12-21,24.98142857142858,679.55,686.51,665.6,0.010242071959384941,0.020528290780663577,0.020528290780663577,0.030770362740048518,0.2786069651741307,0.5584148224395236,0.5584148224395236,0.8370217876136543,40.0,,,0.0,0.5584148224395236,UPSIDE
KLAC,2021-12-21,13.90642857142858,403.285,411.75,401.445,0.02099011865058203,0.0045625302205637,0.02099011865058203,0.025552648871145733,0.6087112846062951,0.1323129076994218,0.6087112846062951,0.7410241923057168,250.0,,,0.0,0.3383327340900906,UPSIDE
ASML,2021-12-21,26.532500000000027,775.17,784.36,766.63,0.011855463962743727,0.011016938220003308,0.011855463962743727,0.022872402182747036,0.34636766230095334,0.3218694054461492,0.34636766230095334,0.6682370677471026,,,,0.0,0.3218694054461492,UPSIDE
TSM,2021-12-21,3.130714285714286,116.15,117.5,115.08,0.01162290142057679,0.009212225570383188,0.01162290142057679,0.02083512699095998,0.43121149897330413,0.341775039926993,0.43121149897330413,0.7729865389002971,,,,0.0,0.341775039926993,UPSIDE
MRVL,2021-12-21,5.052857142857143,86.635,87.16,84.46,0.0060599065042995495,0.025105326946384385,0.025105326946384385,0.031165233450683935,0.10390161153519763,0.4304495335029708,0.4304495335029708,0.5343511450381685,,,,0.0,0.4304495335029708,UPSIDE
ON,2021-12-21,3.281785714285714,62.54,64.85,62.49,0.036936360729133276,0.0007994883274703735,0.036936360729133276,0.037735849056603654,0.7038850799869395,0.015235607791924264,0.7038850799869395,0.7191206877788638,210.0,,,0.0,0.34127761453912214,UPSIDE
MPWR,2021-12-21,22.510357142857146,481.97,486.12,476.08,0.008610494429113798,0.01222067763553757,0.01222067763553757,0.02083117206465137,0.1843595805105576,0.2616573323390839,0.2616573323390839,0.4460169128496415,,,,0.0,0.2616573323390839,UPSIDE
MCHP,2021-12-21,3.256785714285716,84.15,85.51,83.6,0.016161616161616155,0.006535947712418435,0.016161616161616155,0.022697563874034588,0.4175896479877175,0.16887816646562462,0.4175896479877175,0.5864678144533422,,,,0.0,0.16887816646562462,UPSIDE
ADI,2021-12-21,5.2507142857142854,170.22,172.33,168.96,0.012395723181764856,0.007402185407120144,0.012395723181764856,0.019797908588885,0.4018500884233464,0.2399673513807628,0.4018500884233464,0.6418174398041092,,,,0.0,0.2399673513807628,UPSIDE
MU,2022-03-31,4.037142857142856,77.6,79.95,76.83,0.030283505154639286,0.009922680412371083,0.030283505154639286,0.04020618556701037,0.5820948336871927,0.19072894550601466,0.5820948336871927,0.7728237791932073,75.0,,,0.0,0.5820948336871927,FLAT
NVDA,2022-03-31,13.323214285714297,277.82,282.43,272.75,0.01659347779137576,0.018249226117630097,0.018249226117630097,0.03484270390900586,0.34601259884734026,0.380538801769199,0.380538801769199,0.7265514006165392,,,,0.0,0.34601259884734026,FLAT
AMD,2022-03-31,5.155357142857147,116.31,116.31,109.03,0.0,0.06259135070071362,0.06259135070071362,0.06259135070071362,0.0,1.4121233113959117,1.4121233113959117,1.4121233113959117,10.0,135.0,,0.0,1.0571527537235883,FLAT
AVGO,2022-03-31,17.31785714285713,631.495,638.52,629.28,0.01112439528420649,0.00350754954512709,0.01112439528420649,0.01463194482933358,0.4056506496184771,0.12790266034234057,0.4056506496184771,0.5335533099608176,,,,0.0,0.4056506496184771,FLAT
