ticker,date,direction,gap_pct,abs_gap_pct,gap_bucket,atr,open_price,prev_close,cs_score,candle_tier,session_high,session_low,eod_close,hod_pct,lod_pct,hod_atr,lod_atr,hod_minutes,lod_minutes,hod_timing_bucket,lod_timing_bucket,eod_return,win,std_ft_fired,std_ft_minutes,reverse_ft_fired,reverse_ft_minutes,trade_date,path_type,setup_direction,path_ft_fired,path_ft_minutes,path_reverse_ft_fired,path_reverse_ft_minutes,ft_trigger_ref_price,close_from_open_abs,close_from_open_pct,close_from_open_atr,achieved_0p70_atr,achieved_1p00_atr,destination_minutes,adverse_peak_minutes,destination_timing_bucket,adverse_timing_bucket,open_5m_high,open_5m_low,open_5m_close,open_5m_range,open_5m_range_atr,relevant_or_level,or_violated,first_or_violation_minutes,max_violation_depth_abs,max_violation_depth_pct,max_violation_depth_atr,violation_depth_bucket,violation_timing_abs_bucket,violation_timing_rel_bucket,mfe_after_violation_abs,mfe_after_violation_pct,mfe_after_violation_atr,mae_after_violation_abs,mae_after_violation_pct,mae_after_violation_atr
AA,2025-02-07 05:00:00+00:00,GAP_UP,0.020740534521158,0.020740534521158,2-5%,1.5721428571428575,36.665,35.92,77.47,MAX_BULLISH,37.8,36.05,36.13,0.030956,0.016773,0.7219,0.3912,15.0,365.0,FIRST_30MIN,LAST_HOUR,0.014592,1,True,10.0,False,,2025-02-07,gapup_continuation_long,LONG,True,10.0,False,,37.29385714285714,-0.5349999999999966,-0.01459157234419737,-0.3402998636983167,False,False,15.0,365.0,first_30min,last_30min,36.88,36.665,36.8,0.2150000000000034,0.13675601999091536,36.665,True,5.0,0.615000000000002,0.016773489704077514,0.39118582462517154,0.25-0.50 ATR,at_open,pre_ft,1.134999999999998,0.03095595254329737,0.7219445706497033,0.615000000000002,0.016773489704077514,0.39118582462517154
AA,2025-02-10 05:00:00+00:00,GAP_UP,0.0343205092720729,0.0343205092720729,2-5%,1.5321428571428573,37.37,36.13,36.75,NEUTRAL,37.6,36.89,36.93,0.006155,0.012845,0.1501,0.3133,20.0,385.0,FIRST_30MIN,LAST_HOUR,0.011774,1,False,,False,,2025-02-10,gapup_continuation_long,LONG,False,,False,,37.98285714285714,-0.4399999999999977,-0.011774150388011714,-0.28717948717948566,False,False,20.0,385.0,first_30min,last_30min,37.55,36.99,37.46,0.5599999999999952,0.3655011655011623,36.99,True,5.0,0.10000000000000142,0.0026759432700027143,0.0652680652680662,0-0.10 ATR,at_open,pre_ft_early,0.23000000000000398,0.006154669521006261,0.1501165501165527,0.4799999999999969,0.012844527696012761,0.3132867132867112
AA,2025-09-29 04:00:00+00:00,GAP_UP,0.0232415902140672,0.0232415902140672,2-5%,1.1375000000000004,33.46,32.7,66.06,NEUTRAL,33.92,32.97,33.87,0.013748,0.014644,0.4044,0.4308,385.0,30.0,LAST_HOUR,FIRST_30MIN,-0.012253,0,False,,False,,2025-09-29,gapup_continuation_long,LONG,False,,False,,33.915,0.4099999999999966,0.012253436939629306,0.3604395604395573,False,False,385.0,30.0,last_30min,first_30min,33.74,33.35,33.39,0.39000000000000057,0.34285714285714325,33.35,True,5.0,0.38000000000000256,0.011356843992827333,0.3340659340659362,0.25-0.50 ATR,at_open,pre_ft_early,0.46000000000000085,0.01374775851763302,0.404395604395605,0.490000000000002,0.014644351464435205,0.43076923076923235
AA,2026-01-21 05:00:00+00:00,GAP_UP,0.0241390408754425,0.0241390408754425,2-5%,2.882857142857142,63.64,62.14,100.0,MAX_BULLISH,64.67,63.09,63.85,0.016185,0.008642,0.3573,0.1908,5.0,225.0,AT_OPEN,MID_SESSION,-0.0033,0,False,,False,,2026-01-21,gapup_continuation_long,LONG,False,,False,,64.79314285714285,0.21000000000000085,0.0032998114393463364,0.07284440039643243,False,False,5.0,225.0,at_open,2hr_to_4hr,63.83,63.64,63.83,0.18999999999999773,0.065906838453914,63.64,True,50.0,0.5499999999999972,0.008642363293526039,0.19078295341922602,0.10-0.25 ATR,30min_to_1hr,pre_ft_mid,0.5999999999999943,0.009428032683846548,0.2081268582755184,0.5499999999999972,0.008642363293526039,0.19078295341922602
AA,2026-01-26 05:00:00+00:00,GAP_UP,0.0217041800643085,0.0217041800643085,2-5%,3.0989285714285706,63.55,62.2,-13.9,BEARISH,63.55,58.315,58.54,0.0,0.082376,0.0,1.6893,0.0,375.0,AT_OPEN,LAST_HOUR,0.078836,1,True,0.0,False,,2026-01-26,gapup_fade_short,SHORT,False,,True,0.0,62.31042857142857,5.009999999999998,0.07883556254917386,1.6166877953209633,True,True,375.0,0.0,last_30min,at_open,63.55,60.57,60.57,2.979999999999997,0.9616226806499935,63.55,False,,0.0,0.0,0.0,no_violation,no_violation,no_violation,,,,,,
AA,2026-01-29 05:00:00+00:00,GAP_UP,0.0499916680553241,0.0499916680553241,2-5%,3.0260714285714285,63.01,60.01,100.0,NEUTRAL,63.475,59.13,60.64,0.00738,0.061578,0.1537,1.2822,0.0,70.0,AT_OPEN,FIRST_2HR,0.037613,1,False,,False,,2026-01-29,gapup_continuation_long,LONG,False,,False,,64.22042857142857,-2.3699999999999974,-0.03761307728931912,-0.7831936740233675,False,False,0.0,70.0,at_open,1hr_to_2hr,63.475,62.28,62.645,1.1950000000000003,0.39490145167001073,62.28,True,35.0,3.1499999999999986,0.04999206475162671,1.0409536173728309,0.50+ ATR,30min_to_1hr,pre_ft_mid,0.0,0.0,0.0,3.8799999999999955,0.061577527376606815,1.2821904874306607
AA,2026-02-03 05:00:00+00:00,GAP_UP,0.0395222957298736,0.0395222957298736,2-5%,3.234285714285715,60.495,58.195,75.01,BEARISH,61.285,59.38,60.375,0.013059,0.018431,0.2443,0.3447,85.0,235.0,FIRST_2HR,MID_SESSION,0.001984,1,False,,False,,2026-02-03,gapup_fade_short,SHORT,False,,False,,59.20128571428571,0.11999999999999744,0.0019836350111579045,0.03710247349823242,False,False,235.0,85.0,2hr_to_4hr,1hr_to_2hr,60.63,60.02,60.07,0.6099999999999994,0.1886042402826853,60.63,True,15.0,0.7299999999999969,0.012067112984544126,0.22570671378091772,0.10-0.25 ATR,first_30min,pre_ft_early,1.1149999999999949,0.018431275312009172,0.3447438162544153,0.865000000000002,0.014298702372096902,0.26744699646643166
AA,2024-02-02,GAP_DN,-0.024596,0.024596,2-5%,1.4011,28.95,29.68,7.71,BEARISH,29.715,28.62,29.495,0.026425,0.011399,0.546,0.2355,360.0,5.0,LAST_HOUR,AT_OPEN,0.018826,1,False,,True,320.0,2024-02-01,gapdown_continuation_short,SHORT,False,,True,320.0,28.38956,-0.5450000000000017,-0.018825561312608003,-0.3889800870744427,False,False,5.0,360.0,at_open,after_4hr,30.24,30.01,30.01,0.22999999999999687,0.1641567339947162,30.24,True,5.0,0.08999999999999986,0.0031088082901554355,0.06423524373706363,0-0.10 ATR,at_open,pre_ft_early,0.0,0.0,0.0,1.379999999999999,0.047668393782383384,0.9849404039683098
AA,2024-02-13,GAP_DN,-0.035842,0.035842,2-5%,1.2882,26.9,27.9,-40.28,BULLISH,27.13,25.575,25.84,0.00855,0.049257,0.1785,1.0286,0.0,345.0,AT_OPEN,LAST_HOUR,-0.039405,0,False,,True,25.0,2024-02-12,gapdown_bounce_long,LONG,True,25.0,False,,27.41528,-1.0599999999999987,-0.0394052044609665,-0.8228535941623961,False,False,0.0,345.0,at_open,after_4hr,26.88,26.88,26.88,0.0,0.0,26.88,False,,0.0,0.0,0.0,no_violation,no_violation,no_violation,,,,,,
AA,2024-06-04,GAP_DN,-0.034985,0.034985,2-5%,1.7439,43.03,44.59,-55.62,NEUTRAL,43.26,41.32,42.05,0.005345,0.03974,0.1319,0.9806,0.0,185.0,AT_OPEN,MID_SESSION,-0.022775,0,False,,False,,2024-06-03,gapdown_continuation_short,SHORT,False,,False,,42.33244,0.980000000000004,0.02277480827329779,0.561958827914447,False,False,185.0,0.0,2hr_to_4hr,at_open,44.94,44.2,44.27,0.7399999999999949,0.42433625781294504,44.94,False,,0.0,0.0,0.0,no_violation,no_violation,no_violation,,,,,,
AA,2024-06-07,GAP_DN,-0.024971,0.024971,2-5%,1.7511,41.585,42.65,-100.0,MAX_BEARISH,41.83,40.43,40.935,0.005892,0.027774,0.1399,0.6596,0.0,285.0,AT_OPEN,MID_SESSION,-0.015631,0,True,270.0,False,,2024-06-06,gapdown_continuation_short,SHORT,True,270.0,False,,40.88456,0.6499999999999986,0.0156306360466514,0.37119524870081577,False,False,285.0,0.0,after_4hr,at_open,42.75,42.5,42.62,0.25,0.14276740334646792,42.75,True,5.0,0.25,0.006011783094865937,0.14276740334646792,0.10-0.25 ATR,at_open,pre_ft,0.0,0.0,0.0,1.4149999999999991,0.034026692316941186,0.8080635029410079
AA,2024-06-11,GAP_DN,-0.027795,0.027795,2-5%,1.6336,40.05,41.195,-100.0,NEUTRAL,40.45,39.62,40.21,0.009988,0.010737,0.2449,0.2632,265.0,15.0,MID_SESSION,FIRST_30MIN,0.003995,1,False,,False,,2024-06-10,gapdown_continuation_short,SHORT,False,,False,,39.396559999999994,-0.1600000000000037,-0.003995006242197346,-0.09794319294809237,False,False,15.0,265.0,first_30min,after_4hr,41.0,40.945,41.0,0.054999999999999716,0.0336679725759058,41.0,True,10.0,0.5700000000000003,0.014232209737827723,0.3489226248775712,0.25-0.50 ATR,first_30min,pre_ft_early,0.0,0.0,0.0,1.5200000000000031,0.03795255930087399,0.9304603330068579
